code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1060,Securities (with stock exchange price),asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1060,
1069,Accumulated depreciation on securities,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1069,
1090,Salary-Pass-Through Account,asset,current_asset,debit,0,,,asset_current,1,,ch_coa_1090,
1091,Transfer account: Salaries,asset,current_asset,debit,0,,,asset_current,1,,ch_coa_1091,
1099,Transfer account: miscellaneous,asset,current_asset,debit,0,,,asset_current,1,,ch_coa_1099,
1100,Accounts receivable from goods and services (Debtors),asset,receivable,debit,0,receivables,,asset_receivable,1,,ch_coa_1100,
1101,Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,ch_coa_1101,
1109,Del credere (Acc. depr. on debtors),asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1109,
1140,Advances and loans,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1140,
1149,Advances and loans adjustments,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1149,
1170,"Input Tax (VAT) receivable on material, goods, services, energy",asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1170,
1171,"Input Tax (VAT) receivable on investments, other operating expenses",asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1171,
1176,Withholding Tax (WT) receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,ch_coa_1176,
1180,Receivables from social insurances and social security institutions,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1180,
1189,Withholding tax,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1189,
1190,Other short-term receivables,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1190,
1199,Accumulated depreciation on short-terms receivables,asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1199,
1200,Goods / Merchandise (Trade),asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1200,
1207,Accumulated depreciation on Goods / Merchandise (Trade),asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1207,
1208,Downpayment on Goods / Merchandise (Trade),asset,current_asset,debit,0,,,asset_current,0,,ch_coa_1208,
