code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1001,Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_cn_common_account_1001,
1002,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_cn_common_account_1002,
1002.01,Bank Suspense Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_100201,
1003,Deposit Central Bank Funds,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_cn_large_bis_account_1003,
1004,Liquidity Transfer,asset,current_asset,debit,0,,,asset_current,1,,l10n_cn_large_bis_account_1004,
1005,Credit Card,liability,credit_card,credit,0,,,liability_credit_card,1,,l10n_cn_large_bis_account_1005,
1006,Outstanding Receipts,asset,current_asset,debit,0,,,asset_current,1,,account_journal_payment_debit_account_id,
1007,Outstanding Payments,asset,current_asset,debit,0,,,asset_current,1,,account_journal_payment_credit_account_id,
1011,Deposit Peers,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_1011,
1012,Other Monetary Funds,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1012,
1021,Settlement Reserve Fund,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_1021,
1031,Deposit Margin,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_1031,
1101,Trading Financial Assets,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_1101,
1102,Derivative Financial Assets,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_1102,
1111,Financial Assets Under Resale Agreements,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_large_bis_account_1111,
1121,Notes Receivable,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1121,
1122,Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_cn_common_account_1122,
1122.01,Account Receivable (Pos),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_cn_common_account_112201,
