code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
112000,Savings account,asset,current_asset,debit,0,,Assets / Cash and Cash Equivalents / Savings Accounts,asset_current,0,,co_puc_112000,
112500,Funds,asset,current_asset,debit,0,,Assets / Cash and Cash Equivalents / Funds,asset_current,0,,co_puc_112500,
120500,Shares,asset,current_asset,debit,0,,Assets / Investments / Stocks,asset_current,0,,co_puc_120500,
121000,Quotas or parts of social interest,asset,current_asset,debit,0,,Assets / Investments / Quotas or Shares of Social Interest,asset_current,0,,co_puc_121000,
121500,Bonds,asset,current_asset,debit,0,,Assets / Investments / Bonds,asset_current,0,,co_puc_121500,
122000,Banknotes,asset,current_asset,debit,0,,Assets / Investments / Notes,asset_current,0,,co_puc_122000,
122500,Certificates,asset,current_asset,debit,0,,Assets / Investments / Certificates,asset_current,0,,co_puc_122500,
123000,Commercial papers,asset,current_asset,debit,0,,Assets / Investments / Commercial Papers,asset_current,0,,co_puc_123000,
123500,Titles,asset,current_asset,debit,0,,Assets / Investments / Securities,asset_current,0,,co_puc_123500,
124000,Bank or financial acceptances,asset,current_asset,debit,0,,Assets / Investments / Bank or Financial Acceptances,asset_current,0,,co_puc_124000,
124500,Fiduciary rights,asset,current_asset,debit,0,,Assets / Investments / Fiduciary Rights,asset_current,0,,co_puc_124500,
125000,Traded investment repurchase rights,asset,current_asset,debit,0,,Assets / Investments / Repurchase Rights on Negotiated Investments,asset_current,0,,co_puc_125000,
125500,Compulsory investments,asset,current_asset,debit,0,,Assets / Investments / Mandatory,asset_current,0,,co_puc_125500,
126000,Participating accounts,asset,current_asset,debit,0,,Assets / Investments / Joint Venture Accounts,asset_current,0,,co_puc_126000,
129500,Others,asset,current_asset,debit,0,,Assets / Investments / Other Investments,asset_current,0,,co_puc_129500,
129900,Provisions,asset,current_asset,debit,0,,Assets / Investments / Provisions,asset_current,0,,co_puc_129900,
130500,Customers,asset,receivable,debit,0,receivables,Assets / Debtors / Clients,asset_receivable,1,,co_puc_130500,
130507,POS Customers,asset,receivable,debit,0,receivables,Assets / Debtors / Clients,asset_receivable,1,,co_puc_130507,
131000,Business checking accounts,asset,receivable,debit,0,receivables,Assets / Debtors / Commercial Current Accounts,asset_receivable,1,,co_puc_131000,
131500,Accounts receivable from parent company,asset,receivable,debit,0,receivables,Assets / Debtors / Accounts Receivable from Parent Company,asset_receivable,1,,co_puc_131500,
132000,Accounts receivable from related parties,asset,receivable,debit,0,receivables,Assets / Debtors / Accounts Receivable from Related Parties,asset_receivable,1,,co_puc_132000,
132300,Accounts receivable from director,asset,receivable,debit,0,receivables,Assets / Debtors / Accounts Receivable from Directors,asset_receivable,1,,co_puc_132300,
132500,Accounts receivable from partners and shareholders,asset,receivable,debit,0,receivables,Assets / Debtors / Accounts Receivable from Partners and Shareholders,asset_receivable,1,,co_puc_132500,
132800,Contributions receivable,asset,receivable,debit,0,receivables,Assets / Debtors / Contributions Receivable,asset_receivable,1,,co_puc_132800,
133000,Advances,asset,current_asset,debit,0,,Assets / Debtors / Advances and Down Payments,asset_current,0,,co_puc_133000,
133200,Joint operating accounts,asset,current_asset,debit,0,,Assets / Debtors / Joint Operation Accounts,asset_current,0,,co_puc_133200,
133500,Deposits,asset,current_asset,debit,0,,Assets / Debtors / Deposits,asset_current,0,,co_puc_133500,
134000,Purchase and sale promises,asset,current_asset,debit,0,,Assets / Debtors / Purchase and Sale Agreements,asset_current,0,,co_puc_134000,
134500,Cash receipts,asset,current_asset,debit,0,,Assets / Debtors / Income Receivable,asset_current,0,,co_puc_134500,
135000,Withholding on contracts,asset,current_asset,debit,0,,Assets / Debtors / Retention on Contracts,asset_current,0,,co_puc_135000,
135500,Advance payment of taxes and contributions or balances in favor,asset,current_asset,debit,0,,Assets / Debtors / Advance Payments of Taxes and Contributions or Balances in Favor,asset_current,0,,co_puc_135500,
135505,VAT Receivable,asset,current_asset,debit,0,,Assets / Debtors / Advance Payments of Taxes and Contributions or Balances in Favor,asset_current,0,,co_puc_135505,
135515,Withheld at source,asset,current_asset,debit,0,,Assets / Debtors / Advance Payments of Taxes and Contributions or Balances in Favor,asset_current,0,,co_puc_135515,
135517,Sales Tax Withheld,asset,current_asset,debit,0,,Assets / Debtors / Advance Payments of Taxes and Contributions or Balances in Favor,asset_current,0,,co_puc_135517,
135518,Industry and commerce tax withheld,asset,current_asset,debit,0,,Assets / Debtors / Advance Payments of Taxes and Contributions or Balances in Favor,asset_current,0,,co_puc_135518,
136000,Claims,asset,current_asset,debit,0,,Assets / Debtors / Claims,asset_current,0,,co_puc_136000,
136500,Accounts receivable from employees,asset,current_asset,debit,0,,Assets / Debtors / Accounts Receivable from Employees,asset_current,0,,co_puc_136500,
137000,Loans to individuals,asset,current_asset,debit,0,,Assets / Debtors / Loans to Individuals,asset_current,0,,co_puc_137000,
138000,Others,asset,current_asset,debit,0,,Assets / Debtors / Miscellaneous Debtors,asset_current,0,,co_puc_138000,
138500,Traded portfolio repurchase rights,asset,current_asset,debit,0,,Assets / Debtors / Repurchase Rights on Negotiated Portfolio,asset_current,0,,co_puc_138500,
139000,Difficult to collect debts,asset,current_asset,debit,0,,Assets / Debtors / Bad Debts,asset_current,0,,co_puc_139000,
139900,Provisions,asset,current_asset,debit,0,,Assets / Debtors / Provisions,asset_current,0,,co_puc_139900,
140500,Raw materials,asset,current_asset,debit,0,,Assets / Inventories / Raw Materials,asset_current,0,,co_puc_140500,
141000,Products in process,asset,current_asset,debit,0,,Assets / Inventories / Work in Process,asset_current,0,,co_puc_141000,
141500,Construction works in progress,asset,current_asset,debit,0,,Assets / Inventories / Construction in Progress,asset_current,0,,co_puc_141500,
141700,Urban planning works,asset,current_asset,debit,0,,Assets / Inventories / Urban Development Works,asset_current,0,,co_puc_141700,
142000,Execution contracts,asset,current_asset,debit,0,,Assets / Inventories / Contracts in Execution,asset_current,0,,co_puc_142000,
142500,Crops in development,asset,current_asset,debit,0,,Assets / Inventories / Crops in Development,asset_current,0,,co_puc_142500,
142800,Agricultural plantations,asset,current_asset,debit,0,,Assets / Inventories / Agricultural Plantations,asset_current,0,,co_puc_142800,
143000,Finished products,asset,current_asset,debit,0,,Assets / Inventories / Finished Goods,asset_current,0,,co_puc_143000,
143500,Goods not manufactured by the company,asset,current_asset,debit,0,,Assets / Inventories / Merchandise Not Manufactured by the Company,asset_current,0,,co_puc_143500,
144000,Real estate for sale,asset,current_asset,debit,0,,Assets / Inventories / Real Estate for Sale,asset_current,0,,co_puc_144000,
144500,Livestock,asset,current_asset,debit,0,,Assets / Inventories / Livestock,asset_current,0,,co_puc_144500,
145000,Land,asset,current_asset,debit,0,,Assets / Inventories / Land,asset_current,0,,co_puc_145000,
145500,"Materials, spare parts and accessories",asset,current_asset,debit,0,,"Assets / Inventories / Materials, Spare Parts, and Accessories",asset_current,0,,co_puc_145500,
146000,Containers and packaging,asset,current_asset,debit,0,,Assets / Inventories / Containers and Packaging,asset_current,0,,co_puc_146000,
146500,Inventories in transit,asset,current_asset,debit,0,,Assets / Inventories / Inventory in Transit,asset_current,0,,co_puc_146500,
146501,Stock Variation,expense,expense,debit,0,,Assets / Inventories / Inventory in Transit,expense,0,,co_puc_146501,
149900,Provisions,asset,current_asset,debit,0,,Assets / Inventories / Provisions,asset_current,0,,co_puc_149900,
150400,Land,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Land",asset_non_current,0,,co_puc_150400,
150600,Materials for oil projects,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Petroleum Project Materials",asset_non_current,0,,co_puc_150600,
150800,Constructions in progress,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Construction in Progress",asset_non_current,0,,co_puc_150800,
151200,Machinery and equipment in assembly,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Machinery and Equipment in Assembly",asset_non_current,0,,co_puc_151200,
151600,Constructions and buildings,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Buildings and Constructions",asset_non_current,0,,co_puc_151600,
152000,Machinery and equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Machinery and Equipment",asset_non_current,0,,co_puc_152000,
152400,Office furnitures,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Office Equipment",asset_non_current,0,,co_puc_152400,
152800,Computer and communication equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Computer and Communication Equipment",asset_non_current,0,,co_puc_152800,
153200,Medical and scientific equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Medical-Scientific Equipment",asset_non_current,0,,co_puc_153200,
153600,Hotel and restaurant equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Hotel and Restaurant Equipment",asset_non_current,0,,co_puc_153600,
154000,Fleet and transport equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Transportation Fleet and Equipment",asset_non_current,0,,co_puc_154000,
154400,River and/or maritime fleet and equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / River and/or Maritime Fleet and Equipment",asset_non_current,0,,co_puc_154400,
154800,Air fleet and equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Air Fleet and Equipment",asset_non_current,0,,co_puc_154800,
155200,Railway fleet and equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Railway Fleet and Equipment",asset_non_current,0,,co_puc_155200,
155600,"Aqueducts, plants and networks",asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Aqueducts, Plants, and Networks",asset_non_current,0,,co_puc_155600,
156000,Surveillance equipment,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Surveillance Armament",asset_non_current,0,,co_puc_156000,
156200,Containers and packaging,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Containers and Packaging",asset_non_current,0,,co_puc_156200,
156400,Agricultural and forestry plantations,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Agricultural and Forest Plantations",asset_non_current,0,,co_puc_156400,
156800,Communication routes,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Communication Routes",asset_non_current,0,,co_puc_156800,
157200,Mines and quarry,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Mines and Quarries",asset_non_current,0,,co_puc_157200,
157600,Artesian wells,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Artesian Wells",asset_non_current,0,,co_puc_157600,
158000,"Fields, sites",asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Deposits",asset_non_current,0,,co_puc_158000,
158400,Livestock,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Livestock",asset_non_current,0,,co_puc_158400,
158800,"Property, plant and equipment in transit",asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Property, Plant, and Equipment in Transit",asset_non_current,0,,co_puc_158800,
159200,Accumulated depreciation,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Accumulated Depreciation",asset_non_current,0,,co_puc_159200,
159600,Deferred depreciation,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Deferred Depreciation",asset_non_current,0,,co_puc_159600,
159700,Accumulated amortization,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Accumulated Amortization",asset_non_current,0,,co_puc_159700,
159800,Accumulated depletion,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Accumulated Depletion",asset_non_current,0,,co_puc_159800,
159900,Provisions,asset,non_current_asset,debit,0,,"Assets / Property, Plant, and Equipment / Provisions",asset_non_current,0,,co_puc_159900,
