code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
0.111301,0-PayPal Account 1,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,account_account_template_0_111301,
0.111401,0-Funds in transit in treasury,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_111401,
0.111403,0-Funds in transit from PayPal to Banks,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_111403,
0.111501,0-Investment 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_111501,
0.112001,0-Trade accounts receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_112001,
0.112002,0-Accounts receivable from related companies,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_112002,
0.112003,0-Accounts receivable from employees,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_112003,
0.112004,0-Other accounts receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_112004,
0.112005,0-Short-term investments,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_112005,
0.112011,0-Trade accounts receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_112011,
0.113101,0-Product inventory for sale,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_113101,
0.113102,0-Consumables inventory,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_113102,
0.121111,0-Land 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_121111,
0.121121,0-Land 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_121121,
0.122111,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122111,
0.122121,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122121,
0.122211,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122211,
0.122221,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122221,
0.122301,0-Machinery and building equipment,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122301,
0.122302,0-Major tools,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122302,
0.122303,0-Office furniture and office equipment,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122303,
0.122304,0-Computer equipment,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122304,
0.122305,0-Vehicles,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_122305,
0.131101,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_131101,
0.131201,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_131201,
0.132101,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_132101,
0.132201,0-Building 1,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_132201,
0.133001,0-Dep. ac. of machinery and equipment of buildings,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_133001,
0.133002,0-Major tools ac. dept.,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_133002,
0.133003,0-Dep. ac. of machinery and equipment of buildings,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_133003,
0.133004,0-Dep. ac. of computer equipment,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_133004,
0.133005,0-Vehicle ac. dept.,asset,current_asset,debit,0,,,asset_current,0,,account_account_template_0_133005,
0.141001,0-Prepaid insurance policies,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_141001,
0.142001,0-Deposits on telephone rights,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_142001,
0.142002,0-Deposits on Internet connections,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_142002,
0.142003,0-Deposits on leased premises,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_template_0_142003,
0.211001,0-Accounts payable to suppliers,liability,payable,credit,0,payables,,liability_payable,1,,account_account_template_0_211001,
0.211002,0-Accounts payable to employees,liability,payable,credit,0,payables,,liability_payable,1,,account_account_template_0_211002,
0.211003,0-Provisions payable,liability,payable,credit,0,payables,,liability_payable,1,,account_account_template_0_211003,
0.211004,0-Accounts payable to related companies,liability,payable,credit,0,payables,,liability_payable,1,,account_account_template_0_211004,
0.212101,0-Sales tax payable,liability,current_liability,credit,0,,,liability_current,0,,account_account_template_0_212101,
0.212102,0-Sales tax paid,asset,current_asset,debit,0,,,asset_current,1,,account_account_template_0_212102,
0.212201,0-Income tax payable,liability,current_liability,credit,0,,,liability_current,1,,account_account_template_0_212201,
0.212202,0-Income tax deductions,liability,current_liability,credit,0,,,liability_current,1,,account_account_template_0_212202,
0.212203,0-Income tax withholdings,liability,current_liability,credit,0,,,liability_current,1,,account_account_template_0_212203,
0.310001,0-Partner 1,equity,equity,credit,0,,,equity,0,,account_account_template_0_310001,
0.320001,0-Legal reserve,equity,equity,credit,0,,,equity,0,,account_account_template_0_320001,
0.330001,0-Reserve for improvements,equity,equity,credit,0,,,equity,0,,account_account_template_0_330001,
0.330002,0-Reserve for projects,equity,equity,credit,0,,,equity,0,,account_account_template_0_330002,
