code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
0010,Patents,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0010,
0020,Trademarks,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0020,
0030,Licenses,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0030,
0040,Software,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0040,
0050,Accumulated patents amortization,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0050,
0051,Accumulated trademarks amortization,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0051,
0052,Accumulated licenses amortization,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0052,
0053,Accumulated software amortization,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0053,
0060,Freehold property,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0060,
0070,Leasehold property,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0070,
0080,Plant and machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0080,
0090,Office equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0090,
0100,Computers,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0100,
0110,Furniture and fixtures,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0110,
0120,Warehouse equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0120,
0130,Motor vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0130,
0140,Accumulated leasehold property depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0140,
0141,Accumulated plant and machinery depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0141,
0142,Accumulated office equipment depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0142,
0143,Accumulated computers depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0143,
0144,Accumulated furniture and fixtures depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0144,
0145,Accumulated warehouse equipment depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0145,
0146,Accumulated motor vehicles depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,cy_0146,
0150,Long-term loan,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0150,
0160,Other long-term investments,asset,non_current_asset,debit,0,,,asset_non_current,0,,cy_0160,
1000,Stock,asset,current_asset,debit,0,,,asset_current,0,,cy_1000,
1010,Work in progress,asset,current_asset,debit,0,,,asset_current,0,,cy_1010,
1020,Raw materials,asset,current_asset,debit,0,,,asset_current,0,,cy_1020,
1090,Advance payments,asset,prepayment,debit,0,,,asset_prepayments,0,,cy_1090,
1100,Accounts receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,cy_1100,
1110,Overpayment,asset,current_asset,debit,0,,,asset_current,0,,cy_1110,
1120,Other debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,cy_1120,
1140,Accrued income,asset,receivable,debit,0,receivables,,asset_receivable,1,,cy_1140,
1150,Employee advances (business expenses),asset,receivable,debit,0,receivables,,asset_receivable,1,,cy_1150,
1160,Prepaid expenses,asset,current_asset,debit,0,,,asset_current,0,,cy_1160,
1170,Short-term loans,asset,current_asset,debit,0,,,asset_current,0,,cy_1170,
1180,Other short-term investments,asset,current_asset,debit,0,,,asset_current,0,,cy_1180,
