code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
012000,Intangible results of research and development,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Nehmotné výsledky výzkumu a vývoje,asset_non_current,0,,chart_cz_012000,
013000,Software,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Software,asset_non_current,0,,chart_cz_013000,
014000,Other valuable rights,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Ostatní ocenitelná práva,asset_non_current,0,,chart_cz_014000,
015000,Goodwill,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Goodwill,asset_non_current,0,,chart_cz_015000,
016000,Emission allowances,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Povolenky na emise,asset_non_current,0,,chart_cz_016000,
017000,Preferential limits,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Preferenční limity,asset_non_current,0,,chart_cz_017000,
019000,Other intangible fixed assets,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý nehmotný majetek / Ostatní dlouhodobý nehmotný majetek,asset_non_current,0,,chart_cz_019000,
021000,Buildings,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - odpisovaný / Stavby,asset_non_current,0,,chart_cz_021000,
022000,Tangible movable assets and groups thereof,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - odpisovaný / Hmotné movité věci a jejich soubory,asset_non_current,0,,chart_cz_022000,
025000,Growing units of permanent crops,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - odpisovaný / Pěstitelské celky trvalých porostů,asset_non_current,0,,chart_cz_025000,
026000,Adult animals and groups thereof,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - odpisovaný / Dospělá zvířata a jejich skupiny,asset_non_current,0,,chart_cz_026000,
027000,Valuation difference on acquired assets,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - odpisovaný / Oceňovací rozdíl k nabytému majetku,asset_non_current,0,,chart_cz_027000,
029000,Other tangible fixed assets,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - odpisovaný / Jiný dlouhodobý hmotný majetek,asset_non_current,0,,chart_cz_029000,
031000,Land,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - neodpisovaný / Pozemky,asset_non_current,0,,chart_cz_031000,
032000,Works of art and collections,asset,non_current_asset,debit,0,,Dlouhodobý majetek / Dlouhodobý hmotný majetek - neodpisovaný / Umělecká díla a sbírky,asset_non_current,0,,chart_cz_032000,
