code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
11010202,Outstanding Receipts,asset,current_asset,debit,0,,Active / Current assets / Cash and cash equivalents / Banks,asset_current,1,,ec11010201,
11010203,Outstanding Payments,asset,current_asset,debit,0,,Active / Current assets / Cash and cash equivalents / Banks,asset_current,1,,ec11010202,
11010301,Interbank transfers,asset,current_asset,debit,0,,Active / Current assets / Cash and cash equivalents / Transfers,asset_current,1,,l10n_ec_ifrs_liquidity_transfer,
11010401,Securities in custody,asset,current_asset,debit,0,,Active / Current assets / Cash and cash equivalents / Securities in custody,asset_current,0,,ec11010401,
110201,Financial assets at fair value through profit or loss,asset,current_asset,debit,0,,Active / Current assets / Financial assets,asset_current,0,,ec110201,
110202,Available-for-sale financial assets,asset,current_asset,debit,0,,Active / Current assets / Financial assets,asset_current,0,,ec110202,
110203,Financial assets held to maturity,asset,current_asset,debit,0,,Active / Current assets / Financial assets,asset_current,0,,ec110203,
110204,Provision for impairment,asset,current_asset,debit,0,,Active / Current assets / Financial assets,asset_current,0,,ec110204,
1102050101,Accounts receivable from local unrelated customers,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets / Unrelated notes and accounts receivable / Non-interest bearing notes and accounts receivable from unrelated ordinary activities interest-bearing,asset_receivable,1,,ec1102050101,
1102050102,Accounts receivable from unrelated foreign customers,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets / Unrelated notes and accounts receivable / Non-interest bearing notes and accounts receivable from unrelated ordinary activities interest-bearing,asset_receivable,1,,ec1102050102,
1102050103,Accounts receivable from customers at point of sale,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets / Unrelated notes and accounts receivable / Non-interest bearing notes and accounts receivable from unrelated ordinary activities interest-bearing,asset_receivable,1,,ec1102050103,
1102050201,Customer checks to be deposited,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Unrelated notes and accounts receivable / Customer checks,asset_current,0,,ec1102050201,
1102050202,Protested checks,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets / Unrelated notes and accounts receivable / Customer checks,asset_receivable,1,,ec1102050202,
11020601,Local customer related notes and accounts receivable,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets / Related notes and accounts receivable,asset_receivable,1,,ec11020601,
11020602,Foreign customer related notes and accounts receivable,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets / Related notes and accounts receivable,asset_receivable,1,,ec11020602,
11020701,Salary advances,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Accounts receivable from employees,asset_current,0,,ec11020701,
11020702,Thirteenth salary advance,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Accounts receivable from employees,asset_current,0,,ec11020702,
11020703,Fourteenth salary advance,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Accounts receivable from employees,asset_current,0,,ec11020703,
11020704,Profit sharing advance,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Accounts receivable from employees,asset_current,0,,ec11020704,
11020705,Employee loans,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Accounts receivable from employees,asset_current,0,,ec11020705,
11020706,Payroll overdraft advance,asset,current_asset,debit,0,,Active / Current assets / Financial assets / Accounts receivable from employees,asset_current,0,,ec11020706,
110208,Other related accounts receivable,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets,asset_receivable,1,,ec110208,
110209,Other accounts receivable,asset,receivable,debit,0,receivables,Active / Current assets / Financial assets,asset_receivable,1,,ec110209,
110210,Allowance for doubtful accounts,asset,current_asset,debit,0,,Active / Current assets / Financial assets,asset_current,0,,ec110210,
110301,Raw material inventories,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110301,
110302,Work in process inventories,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110302,
110303,Inventories of supplies or materials to be consumed in the production process,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110303,
110304,Inventories of supplies or materials to be consumed in the provision of services,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110304,
110305,Inventories of finished goods and merchandise in stock - produced by the company,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110305,
110306,Inventories of finished goods and merchandise in stock - purchased from third parties,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110306,
110307,Goods in transit,asset,current_asset,debit,0,expense,Active / Current assets / Inventories,asset_current,0,,ec110307,default_for_expense
110308,Provision for inventories at net realizable value,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110308,
110309,Provision for physical deterioration of inventories,asset,current_asset,debit,0,,Active / Current assets / Inventories,asset_current,0,,ec110309,
110310,Inventories of finished goods and merchandise in stock - purchased from third parties variation,expense,expense,debit,0,,Active / Current assets / Inventories,expense,0,,ec110310,
110401,Prepaid insurance,asset,prepayment,debit,0,,Active / Current assets / Services and other prepayments,asset_prepayments,1,,ec110401,
110402,Prepaid leases,asset,prepayment,debit,0,,Active / Current assets / Services and other prepayments,asset_prepayments,1,,ec110402,
110403,Advances to suppliers,asset,prepayment,debit,0,,Active / Current assets / Services and other prepayments,asset_prepayments,1,,ec110403,
