code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1000,Cash Accounts,asset,cash_bank,debit,0,cash_bank,Assets / Current Assets / Cash,asset_cash,0,,l10n_ee_1000,
1001,Bank Accounts,asset,cash_bank,debit,0,cash_bank,Assets / Current Assets / Cash,asset_cash,0,,l10n_ee_1001,
1008,Transfer Accounts,asset,current_asset,debit,0,,Assets / Current Assets / Cash,asset_current,1,,l10n_ee_1008,
1009,Bank Suspense Account,asset,current_asset,debit,0,,Assets / Current Assets / Cash,asset_current,0,,l10n_ee_1009,
1010,Short-Term Financial Investments,asset,current_asset,debit,0,,Assets / Current Assets / Financial Investments,asset_current,0,,l10n_ee_1010,
1011,Depreciations on Short-Term Financial Investments,asset,current_asset,debit,0,,Assets / Current Assets / Financial Investments,asset_current,0,,l10n_ee_1011,
10200,Accounts Receivable,asset,receivable,debit,0,receivables,Assets / Current Assets / Receivables and Prepayments / Trade Receivables,asset_receivable,1,,l10n_ee_10200,
10201,Accounts Receivable (POS),asset,receivable,debit,0,receivables,Assets / Current Assets / Receivables and Prepayments / Trade Receivables,asset_receivable,1,,l10n_ee_10201,
10202,Doubtful Receivables,asset,receivable,debit,0,receivables,Assets / Current Assets / Receivables and Prepayments / Trade Receivables,asset_receivable,1,,l10n_ee_10202,
1021,Receivables from Related Parties,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Receivables from Related Parties,asset_current,0,,l10n_ee_1021,
1022,Prepaid and Deferred Taxes,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Prepaid and Deferred Taxes,asset_current,0,,l10n_ee_1022,
1023,Loan Receivables,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Loan Receivables,asset_current,0,,l10n_ee_1023,
10240,Interest Receivable,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Other Receivables,asset_current,0,,l10n_ee_10240,
10241,Dividend Receivable,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Other Receivables,asset_current,0,,l10n_ee_10241,
10242,Accounts Receivable from Social Insurance Board,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Other Receivables,asset_current,0,,l10n_ee_10242,
10243,Netting Account,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Other Receivables,asset_current,0,,l10n_ee_10243,
10244,Other Short-Term Receivables,asset,current_asset,debit,0,,Assets / Current Assets / Receivables and Prepayments / Other Receivables,asset_current,0,,l10n_ee_10244,
1025,Prepayments,asset,prepayment,debit,0,,Assets / Current Assets / Receivables and Prepayments / Prepayments,asset_prepayments,0,,l10n_ee_1025,
1030,Raw and Other Materials,asset,current_asset,debit,0,,Assets / Current Assets / Inventory / Raw and Other Materials,asset_current,0,,l10n_ee_1030,
1031,Work in Progress,asset,current_asset,debit,0,,Assets / Current Assets / Inventory / Work in Progress,asset_current,0,,l10n_ee_1031,
10320,Finished Goods from Agricultural Production,asset,current_asset,debit,0,,Assets / Current Assets / Inventory / Finished Goods,asset_current,0,,l10n_ee_10320,
10321,Other Finished Goods,asset,current_asset,debit,0,,Assets / Current Assets / Inventory / Finished Goods,asset_current,0,,l10n_ee_10321,
1033,Goods for Resale,asset,current_asset,debit,0,,Assets / Current Assets / Inventory / Goods for Resale,asset_current,0,,l10n_ee_1033,
1034,Prepayments to Suppliers,asset,current_asset,debit,0,,Assets / Current Assets / Inventory / Prepayments to Suppliers,asset_current,0,,l10n_ee_1034,
1040,Biological Assets,asset,current_asset,debit,0,,Assets / Current Assets / Biological Assets,asset_current,0,,l10n_ee_1040,
1100,Shares and Participations in Subsidiaries,asset,non_current_asset,debit,0,,Assets / Non-Current Assets / Investments in Subsidiaries and Affiliates / Shares and Participations in Subsidiaries,asset_non_current,0,,l10n_ee_1100,
1101,Shares and Participations in Affiliates,asset,non_current_asset,debit,0,,Assets / Non-Current Assets / Investments in Subsidiaries and Affiliates / Shares and Participations in Affiliates,asset_non_current,0,,l10n_ee_1101,
1110,"Other Shares, Stocks and Bonds",asset,non_current_asset,debit,0,,Assets / Non-Current Assets / Financial Investments,asset_non_current,0,,l10n_ee_1110,
1111,Other Long-Term Financial Investments,asset,non_current_asset,debit,0,,Assets / Non-Current Assets / Financial Investments,asset_non_current,0,,l10n_ee_1111,
