code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100101,Right of use Asset (IFRS 16),asset,fixed_asset,debit,0,,,asset_fixed,0,,egy_account_100101,
100102,Accumulated Depreciation right use asset (IFRS 16),asset,fixed_asset,debit,0,,,asset_fixed,0,,egy_account_100102,
100103,VAT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,egy_account_100103,
101004,Outstanding Receipts,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101004,
101005,Main Safe,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101005,
101006,Main Safe - Foreign Currency,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101006,
101007,Visa & Master Credit Cards,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101007,
101008,Gateway Credit Cards,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101008,
101009,Manual Visa & Master Cards,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101009,
101010,PayPal Account,asset,current_asset,debit,0,,,asset_current,0,,egy_account_101010,
102011,Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,egy_account_102011,
102012,Accounts Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,egy_account_102012,
102013,Post Dated Cheques Received,asset,current_asset,debit,0,,,asset_current,0,,egy_account_102013,
102014,Other Receivable,asset,current_asset,debit,0,,,asset_current,0,,egy_account_102014,
102015,Other Debtors,asset,current_asset,debit,0,,,asset_current,0,,egy_account_102015,
103016,Shipment Insurance,asset,current_asset,debit,0,,,asset_current,0,,egy_account_103016,
103017,Shipments Documentation Charges,asset,current_asset,debit,0,,,asset_current,0,,egy_account_103017,
103018,Shipment Other Charges,asset,current_asset,debit,0,,,asset_current,0,,egy_account_103018,
103019,Handling Difference in Inventory,asset,current_asset,debit,0,,,asset_current,0,,egy_account_103019,
103020,Items Delivered to Customs on temprary Base,asset,current_asset,debit,0,,,asset_current,0,,egy_account_103020,
104021,Prepaid Medical Insurance,asset,current_asset,debit,0,,,asset_current,0,,egy_account_104021,
