code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100,Cooperative social capital: mandatory contributions,liability,non_current_liability,credit,0,,Basic financing / Capital / Share capital,liability_non_current,0,,account_common_mainland_100,
1001,Cooperative social capital: voluntary contributions,liability,non_current_liability,credit,0,,Basic financing / Capital / Share capital,liability_non_current,0,,account_coop_1001,
10020,Collaborating partners,liability,non_current_liability,credit,0,,Basic financing / Capital / Share capital / Cooperative social capital: collaborating partners and associates or members,liability_non_current,0,,account_coop_10020,
10021,Associates or members,liability,non_current_liability,credit,0,,Basic financing / Capital / Share capital,liability_non_current,0,,account_coop_10021,
101,Assigned capital,equity,equity,credit,0,,Basic financing / Capital / Assigned capital,equity,0,,account_common_101,
102,Capital,equity,equity,credit,0,,Basic financing / Capital / Capital,equity,0,,account_common_102,
1030,"Partners for uncalled capital, social capital",liability,non_current_liability,credit,0,,Basic financing / Capital / Uncalled capital / Uncalled capital,liability_non_current,0,,account_common_mainland_1030,
1034,"Partners for uncalled capital, capital pending registration",liability,non_current_liability,credit,0,,Basic financing / Capital / Uncalled capital / Uncalled capital pending registration,liability_non_current,0,,account_common_mainland_1034,
1040,"Partners for uncalled non-monetary contributions, social capital",liability,non_current_liability,credit,0,,"Basic financing / Capital / Uncalled non-monetary contributions / Uncalled non-monetary contributions, capital",liability_non_current,0,,account_common_mainland_1040,
1044,"Partners for uncalled non-monetary contributions, capital pending registration",liability,non_current_liability,credit,0,,"Basic financing / Capital / Uncalled non-monetary contributions / Uncalled non-monetary contributions, capital pending registration",liability_non_current,0,,account_common_mainland_1044,
1070,Equity fund maturing in liquidation,liability,non_current_liability,credit,0,,Basic financing / Capital / Equity fund and other subordinated funds maturing in liquidation,liability_non_current,0,,account_coop_1070,
1071,Other subordinated funds maturing in liquidation,liability,non_current_liability,credit,0,,Basic financing / Capital / Equity fund and other subordinated funds maturing in liquidation,liability_non_current,0,,account_coop_1071,
108,Own shares or equity holdings in special situations,equity,equity,credit,0,,Basic financing / Capital / Own shares or equity holdings in special situations,equity,0,,account_common_108,
109,Own shares or equity holdings for reduction of capital,equity,equity,credit,0,,Basic financing / Capital / Own shares or equity holdings for reduction of capital,equity,0,,account_common_109,
110,Share premium or additional paid-in capital,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Share premium or additional paid-in capital,equity,0,,account_common_110,
112,Legal reserve,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Legal reserve,equity,0,,account_common_mainland_112,
113,Voluntary reserves,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Voluntary reserves,equity,0,,account_common_mainland_113,
1140,Reserves for parent company shares or equity holdings,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Special reserves / Reserves for parent company shares or equity holdings,equity,0,,account_common_1140,
1141,Statutory reserves,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Special reserves / Statutory reserves,equity,0,,account_common_1141,
1142,Redeemed capital reserve,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Special reserves / Redeemed capital reserve,equity,0,,account_common_1142,
1144,Reserves for own shares accepted as collateral,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Special reserves / Reserves for own shares accepted as collateral,equity,0,,account_common_1144,
11450,Benefit incorporation fund,liability,non_current_liability,credit,0,,Basic financing / Reserves and other equity instruments / Special reserves / Reimbursement or Restatement Fund,liability_non_current,0,,account_coop_11450,
11451,Asset revaluation fund,liability,non_current_liability,credit,0,,Basic financing / Reserves and other equity instruments / Special reserves / Reimbursement or Restatement Fund,liability_non_current,0,,account_coop_11451,
115,Reserves for actuarial gains and losses and other adjustments,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Reserves for actuarial gains and losses and other adjustments,equity,0,,account_common_115,
118,Contributions from equity holders or owners,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Contributions from equity holders or owners,equity,0,,account_common_118,
1181,Member contributions to cooperatives,liability,non_current_liability,credit,0,,Basic financing / Reserves and other equity instruments / Contributions from equity holders or owners,liability_non_current,0,,account_coop_1181,
119,Differences on translation of capital to euros,equity,equity,credit,0,,Basic financing / Reserves and other equity instruments / Differences on translation of capital to euros,equity,0,,account_common_119,
120,Retained earnings,liability,non_current_liability,credit,0,,Basic financing / Profit/loss pending distribution or application / Retained earnings,liability_non_current,0,,account_common_mainland_120,
121,Prior periods' losses,liability,non_current_liability,credit,0,,Basic financing / Profit/loss pending distribution or application / Prior periods' losses,liability_non_current,0,,account_common_mainland_121,
129,Profit/loss for the period,equity,retained_earnings,credit,0,,Basic financing / Profit/loss pending distribution or application / Profit/loss for the period,equity_unaffected,0,,account_common_mainland_129,
