code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1100,Sales of Goods and Services,income,income,credit,0,income,,income,,,l10n_et1100,default_for_income
1200,Foreign Exchange Currency Gain Account,income,other_income,credit,0,,,income_other,,,l10n_et6435,
120001,Cash Discount Gain,income,other_income,credit,0,,,income_other,,,l10n_et120001,
2102,Cash at bank in foreigh currency,asset,current_asset,debit,0,,,asset_current,,,l10n_et2102,
2104,Letter of Credit restricted account,asset,current_asset,debit,0,,,asset_current,,,l10n_et2104,
2201,Suspense,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_et2201,
2202,Cash shortage,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_et2202,
2203,Advance to staff,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_et2203,
2204,Cash Registers,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_et2204,
2211,Trade Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_et2211,
2212,VAT Receivable on Purchases,liability,current_liability,credit,0,,,liability_current,,,l10n_et2212,
2213,Withholding Receivable on Sales,liability,current_liability,credit,0,,,liability_current,,,l10n_et2213,
2214,VAT Withholding Receivable on Sales,liability,current_liability,credit,0,,,liability_current,,,l10n_et2214,
2215,Trade Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_et2215,
2251,Advance to contractors,asset,current_asset,debit,0,,,asset_current,,,l10n_et2251,
2252,Advance to consultant,asset,current_asset,debit,0,,,asset_current,,,l10n_et2252,
2253,Advance to supplier,asset,current_asset,debit,0,,,asset_current,,,l10n_et2253,
2254,Other Debtors,asset,current_asset,debit,0,,,asset_current,,,l10n_et2274,
2301,Goods in Transit,asset,current_asset,debit,0,expense,,asset_current,,,l10n_et2301,default_for_expense
2351,Stock,asset,current_asset,debit,0,,,asset_current,,,l10n_et2351,
2411,Work in Progress,asset,current_asset,debit,0,,,asset_current,,,l10n_et2411,
2412,Finished Goods,asset,current_asset,debit,0,,,asset_current,,,l10n_et2412,
2501,Construction of buildings,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2501,
2503,Construction of infrastructure,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2503,
2521,Vehicles and other vehicular transport,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2521,
2522,"Aircraft, etc",asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2522,
2523,Plant machinery and equipment,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2523,
2525,Buildings,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2525,
2527,Infrastructure,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2527,
2529,Furnishings and fixtures,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2529,
2530,Livestock and tansport animals,asset,fixed_asset,debit,0,,,asset_fixed,,,l10n_et2530,
3001,Grace period payables,liability,payable,credit,0,payables,,liability_payable,1,,l10n_et3001,
3002,Trade Creditors,liability,payable,credit,0,payables,,liability_payable,1,,l10n_et3002,
3003,Pension contribution payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_et3003,
3004,Salary payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_et3004,
3006,Witholding Payable,asset,current_asset,debit,0,,,asset_current,,,l10n_et3006,
3007,VAT Payable,asset,current_asset,debit,0,,,asset_current,,,l10n_et3007,
3008,Federal Income Tax,asset,current_asset,debit,0,,,asset_current,,,l10n_et3008,
3054,Other deposits,liability,current_liability,credit,0,,,liability_current,,,l10n_et3054,
3061,Retention on contract,liability,current_liability,credit,0,,,liability_current,,,l10n_et3061,
3103,Commercial Loan,liability,current_liability,credit,0,,,liability_current,,,l10n_et3103,
3153,Commercial Loan,liability,current_liability,credit,0,,,liability_current,,,l10n_et3153,
4010,Share capital / equity,equity,equity,credit,0,,,equity,,,l10n_et4001,
4020,Reserves,equity,equity,credit,0,,,equity,,,l10n_et4004,
5111,Cost of Goods and Services,expense,expense,debit,0,,,expense,,,l10n_et5111,
5901,Inventory Adjustments,expense,expense,debit,0,,,expense,,,l10n_et5901,
5911,Purchase Returns and Allowances,expense,expense,debit,0,,,expense,,,l10n_et5911,
5921,Other,expense,expense,debit,0,,,expense,,,l10n_et5921,
6111,Salaries to permanent staff,expense,expense,debit,0,,,expense,,,l10n_et6111,
6113,Wages to contract staff,expense,expense,debit,0,,,expense,,,l10n_et6113,
6114,Wages to casual staff,expense,expense,debit,0,,,expense,,,l10n_et6114,
6115,Wages to external contract staff,expense,expense,debit,0,,,expense,,,l10n_et6115,
6116,Miscellaneous payments to staff,expense,expense,debit,0,,,expense,,,l10n_et6116,
6121,Allowances to permanent staff,expense,expense,debit,0,,,expense,,,l10n_et6121,
6123,Allowances to contract staff,expense,expense,debit,0,,,expense,,,l10n_et6123,
6124,Allowances to external contract staff,expense,expense,debit,0,,,expense,,,l10n_et6124,
6131,Contribution to permanent staff pensions,expense,expense,debit,0,,,expense,,,l10n_et6131,
6211,"Uniforms, bedding",expense,expense,debit,0,,,expense,,,l10n_et6211,
6212,Office supplies,expense,expense,debit,0,,,expense,,,l10n_et6212,
6213,Printing,expense,expense,debit,0,,,expense,,,l10n_et6213,
6214,Medical supplies,expense,expense,debit,0,,,expense,,,l10n_et6214,
6215,Educational supplies,expense,expense,debit,0,,,expense,,,l10n_et6215,
6216,Food,expense,expense,debit,0,,,expense,,,l10n_et6216,
6217,Fuel and lubricants,expense,expense,debit,0,,,expense,,,l10n_et6217,
6218,Other material and supplies,expense,expense,debit,0,,,expense,,,l10n_et6218,
6219,Miscellaneous equipment,expense,expense,debit,0,,,expense,,,l10n_et6219,
6221,"Agriculture, forestry and marine inputs",expense,expense,debit,0,,,expense,,,l10n_et6221,
6222,Veterinary supplies and drugs,expense,expense,debit,0,,,expense,,,l10n_et6222,
6223,Research and development supplies,expense,expense,debit,0,,,expense,,,l10n_et6223,
6231,Per diem,expense,expense,debit,0,,,expense,,,l10n_et6231,
6232,Transport fees,expense,expense,debit,0,,,expense,,,l10n_et6232,
6233,Official entertainment,expense,expense,debit,0,,,expense,,,l10n_et6233,
6241,Maintenance and repair of vehicles and other transport,expense,expense,debit,0,,,expense,,,l10n_et6241,
6243,"Maintenance and repair of plant, and equipment",expense,expense,debit,0,,,expense,,,l10n_et6243,
6244,"Maintenance and repair of buildings, furnishings and fixtures",expense,expense,debit,0,,,expense,,,l10n_et6244,
6245,Maintenance and repair of infrastructure,expense,expense,debit,0,,,expense,,,l10n_et6245,
6251,Contracted professional services,expense,expense,debit,0,,,expense,,,l10n_et6251,
6252,Rent,expense,expense,debit,0,,,expense,,,l10n_et6252,
6253,Advertising,expense,expense,debit,0,,,expense,,,l10n_et6253,
6254,Insurance,expense,expense,debit,0,,,expense,,,l10n_et6254,
6255,Freight,expense,expense,debit,0,,,expense,,,l10n_et6255,
6256,Fees and charges,expense,expense,debit,0,,,expense,,,l10n_et6256,
6257,Electricity charges,expense,expense,debit,0,,,expense,,,l10n_et6257,
6258,Telecommunication charges,expense,expense,debit,0,,,expense,,,l10n_et6258,
6259,Water and other utilities,expense,expense,debit,0,,,expense,,,l10n_et6259,
6260,Foreign Exchange Currency Loss Account,expense,expense,debit,0,,,expense,,,l10n_et6436,
626001,Cash Discount Loss,expense,expense,debit,0,,,expense,,,l10n_et626001,
6271,Local training,expense,expense,debit,0,,,expense,,,l10n_et6271,
6272,External training,expense,expense,debit,0,,,expense,,,l10n_et6272,
6311,Depreciation of vehicles and other vehicular transport,expense,expense,debit,0,,,expense,,,l10n_et6311,
6313,"Depreciation of plant, machinery and equipment",expense,expense,debit,0,,,expense,,,l10n_et6313,
6314,"Depreciation of buildings, furnishings and fixtures",expense,expense,debit,0,,,expense,,,l10n_et6314,
6315,Depreciation of livestock and transport animals,expense,expense,debit,0,,,expense,,,l10n_et6315,
6321,Pre-construction activities,expense,expense,debit,0,,,expense,,,l10n_et6321,
6322,Construction of buildings,expense,expense,debit,0,,,expense,,,l10n_et6322,
6324,Construction of infrastructure,expense,expense,debit,0,,,expense,,,l10n_et6324,
6431,Payments on the principal of foreign debt,expense,expense,debit,0,,,expense,,,l10n_et6431,
6432,Payments of interest and bank charges on foreign debt,expense,expense,debit,0,,,expense,,,l10n_et6432,
6433,Payments on the principal of local debt,expense,expense,debit,0,,,expense,,,l10n_et6433,
6434,Payments of interest and bank charges on local debt,expense,expense,debit,0,,,expense,,,l10n_et6434,
