code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1021,Development costs,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1021,
1031,Patents,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1031,
1033,Copyrights,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1033,
1035,Trademarks,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1035,
1037,License fees,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1037,
1039,Concession rights,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1039,
1041,"License fees, computer programmes",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1041,
1043,Telephone connections,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1043,
1045,Alarm connections,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1045,
1049,Other intangible rights,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1049,
1051,Goodwill,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1051,
1055,Merger account,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1055,
1057,"Goodwill, merger",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1057,
1061,Group goodwill,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1061,
1071,Advertising and marketing research expenses,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1071,
1073,"Improvement expenses, owner flat",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1073,
1075,"Improvement expenses, rented flat",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1075,
1081,Computer programmes,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1081,
1089,Other capitalised long-term expenses,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1089,
1091,Advance payments for intangible assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1091,
1101,Land and water areas,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1101,
1105,Connection charges,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1105,
1109,"Revaluation, land and waters",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1109,
1111,Right of tenancy,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1111,
1113,"Connection charges, leased real estate",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1113,
1121,Buildings 7% depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1121,
1125,Buildings 4% depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1125,
1131,Equipment in buildings 25% depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1131,
1135,Air raid shelter etc. max 25% straight line depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1135,
1141,Structures 20% depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1141,
1143,Other buildings and structures,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1143,
1145,Revaluation (old buildings),asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1145,
1151,"Right of tenancy, buildings",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1151,
1161,Machines and hardware,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1161,
1165,"Machinery and equipment, production",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1165,
1166,Production equipment and machinery 25% residual depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1166,
1173,Cars,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1173,
1175,Cars for business use,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1175,
1179,Other vehicles and vessels,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1179,
1201,Furniture and other movables,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1201,
1209,Furniture to be hired out,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1209,
1211,"Furniture and other movables, holiday residence",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1211,
1213,"Furniture and other movables, employer dwelling",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1213,
1241,Non-used machinery and equipment,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1241,
1249,Other machinery and equipment,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1249,
1301,Soil resources,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1301,
1303,Land and water constructions,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1303,
1305,Asphalt surfaces,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1305,
1315,Living fixed assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1315,
1329,"Other intangible assets, depreciable",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1329,
1331,Art objects,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1331,
1335,Collection objects,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1335,
1339,"Other tangible assets, non-depreciable",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1339,
1379,Other tangible assets (other assets),asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1379,
1381,"Advance payments, tangible assets",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1381,
1391,"Acquiring of fixed assets,construction in progress",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1391,
1401,Daughter company shares,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1401,
1403,Parent company shares,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1403,
1405,Sister company shares,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1405,
1407,Other group holdings,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1407,
1409,"Revaluation, group holdings",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1409,
1411,Long-term receivables from group companies,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1411,
1413,Capital loans given to group companies,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1413,
1421,Shares in associated undertaking,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1421,
1423,Right of ownership in association undertaking,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1423,
1425,Shares in participating interests undertaking,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1425,
1427,Right of ownership in participating interests undertaking,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1427,
1429,"Revaluation, participating interests",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1429,
1431,Long-term receivables from participating interests undertaking,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1431,
1441,"Shares, owner flat",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1441,
1447,Shares in listed companies,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1447,
1453,Other shares,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1453,
1457,"Right of ownership, bank",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1457,
1461,"Right of ownership, investment fund",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1461,
1465,"Right of ownership, telephone",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1465,
1467,Other rights of ownership,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1467,
1469,"Revaluation, other shares",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1469,
1471,Long-term loan receivables,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1471,
1473,Long-term bonds,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1473,
1475,Long-term certificates of receivables,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1475,
1477,Long-term option loans,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1477,
1479,Long-term convertible bonds,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1479,
1481,Long-term loanswith no interest,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1481,
1483,"Connection charges, receivables",asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1483,
1489,Other long-term receivables,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1489,
1499,Other receivables (other assets),asset,non_current_asset,debit,0,,,asset_non_current,0,,account_1499,
1501,Raw materials and consumables,asset,current_asset,debit,0,,,asset_current,0,,account_1501,
1511,Work in progress,asset,current_asset,debit,0,,,asset_current,0,,account_1511,
1521,Finished products,asset,current_asset,debit,0,,,asset_current,0,,account_1521,
1531,Goods,asset,current_asset,debit,0,,,asset_current,0,,account_1531,
1533,Goods in transit,asset,current_asset,debit,0,,,asset_current,0,,account_1533,
1541,Real estates,asset,current_asset,debit,0,,,asset_current,0,,account_1541,
1543,Securities,asset,current_asset,debit,0,,,asset_current,0,,account_1543,
1549,Other inventories,asset,current_asset,debit,0,,,asset_current,0,,account_1549,
1551,Advance payments stocks,asset,current_asset,debit,0,,,asset_current,0,,account_1551,
1601,Long-term trade debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1601,
1621,"Long-term trade debtors, foreign currency",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1621,
1623,Long-term receivables from hire purchases,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1623,
1631,"Long-term trade debtors, group companies, long-term",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1631,
1633,"Long-term trade debtors, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1633,
1635,"Long-term loan receivables, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1635,
1639,"Other long-term receivables, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1639,
1641,"Long-term trade debtors,participating interests undertaking",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1641,
1643,"Long-term prepayment and accrued income, participating interests undertaking",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1643,
1645,Long-term loan receivables participating interests undertaking,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1645,
1649,Other long-term receivables participating interests undertaking,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1649,
1651,Long-term receivables from employees,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1651,
1653,Long-term receivables from management,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1653,
1655,Long-term receivables from shareholders,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1655,
1656,Long-term receivables from shareholders (taxable),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1656,
1657,"Other long-term loans, immediate circle",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1657,
1659,Other long-term loan receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1659,
1665,Long-term security deposits,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1665,
1667,Paid long-term rental securities,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1667,
1669,Other long-term debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1669,
1671,Subscribed capital unpaid,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1671,
1681,Long-term prepayments and accrued income,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1681,
1691,Deferred tax assets,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1691,
1701,Accounts receivable (point of sale),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1701,
1702,Trade debtors 2,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1702,
1703,Trade debtors 3,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1703,
1705,Shop receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1705,
1707,Commission receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1707,
1710,Accounts receivable old system,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1710,
1711,Credit card receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1711,
1713,Bank card receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1713,
1715,"Sales receivables, advance invoices",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1715,
1717,Factoring receivables in transit,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1717,
1718,"Factoring receivables, invoicing account",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1718,
1719,"Factoring receivables, hire purchases",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1719,
1720,Card receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1720,
1721,Sales receivables in foreign currency,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1721,
1723,Receivables from hire purchases,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1723,
1727,Adjusting sales receivables/clearing account,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1727,
1729,Other sales receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1729,
1731,"Trade debtors, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1731,
1733,"Prepaymayment and accrued income, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1733,
1735,"Loan receivables, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1735,
1739,"Other receivables, group companies",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1739,
1741,"Trade debtors, participating interests undertaking",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1741,
1743,"Prepayment and accrued income, participating interests undertaking",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1743,
1745,"Loan receivables, participating interests undertaking",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1745,
1749,"Other receivables, participating interests undertaking",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1749,
1751,Receivables from employees,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1751,
1753,Receivables from management,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1753,
1755,Receivables from shareholders,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1755,
1756,Receivables from shareholders (taxable),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1756,
1757,"Other loans, immediata circle",asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1757,
1759,Other loan receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_1759,
