code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101100,Subscribed capital - uncalled,equity,equity,credit,0,,Capital and reserves / Capital,equity,0,,pcg_1011,
101200,"Subscribed capital - called up, unpaid",equity,equity,credit,0,,Capital and reserves / Capital,equity,0,,pcg_1012,
101300,"Subscribed capital - called up, paid",equity,equity,credit,0,,Capital and reserves / Capital,equity,0,,pcg_1013,
101310,Capital not written off,equity,equity,credit,0,,Capital and reserves / Capital,equity,0,,pcg_10131,
101320,Capital written off,equity,equity,credit,0,,Capital and reserves / Capital,equity,0,,pcg_10132,
101800,Subscribed capital subject to particular regulations,equity,equity,credit,0,,Capital and reserves / Capital,equity,0,,pcg_1018,
102000,Trust funds,equity,equity,credit,0,,Capital and reserves,equity,0,,pcg_102,
104100,Share premiums,equity,equity,credit,0,,Capital and reserves / Premiums on share capital,equity,0,,pcg_1041,
104200,Merger premiums,equity,equity,credit,0,,Capital and reserves / Premiums on share capital,equity,0,,pcg_1042,
104300,Contribution premiums,equity,equity,credit,0,,Capital and reserves / Premiums on share capital,equity,0,,pcg_1043,
104400,Premiums on conversion of bonds into shares,equity,equity,credit,0,,Capital and reserves / Premiums on share capital,equity,0,,pcg_1044,
104500,Equity warrants,equity,equity,credit,0,,Capital and reserves / Premiums on share capital,equity,0,,pcg_1045,
105000,Revaluation differences,equity,equity,credit,0,,Capital and reserves,equity,0,,pcg_105_account,
106100,Legal reserve,equity,equity,credit,0,,Capital and reserves / Reserves,equity,0,,pcg_1061,
106200,Undistributable reserves,equity,equity,credit,0,,Capital and reserves / Reserves,equity,0,,pcg_1062,
106300,Statutory or contractual reserves,equity,equity,credit,0,,Capital and reserves / Reserves,equity,0,,pcg_1063,
106400,Tax-regulated reserves,equity,equity,credit,0,,Capital and reserves / Reserves,equity,0,,pcg_1064,
106800,Other reserves,equity,equity,credit,0,,Capital and reserves / Reserves,equity,0,,pcg_1068,
107000,Difference on equity accounted investments,equity,equity,credit,0,,Capital and reserves,equity,0,,pcg_107,
108000,Drawings account,equity,equity,credit,0,,Capital and reserves,equity,0,,pcg_108,
109000,Shareholders: Subscribed capital uncalled,equity,equity,credit,0,,Capital and reserves,equity,0,,pcg_109,
110000,Profit carried forward,equity,equity,credit,0,,Retained earnings,equity,0,,pcg_110,
119000,Loss carried forward,equity,equity,credit,0,,Retained earnings,equity,0,,pcg_119,
120000,Profit for the financial year,equity,equity,credit,0,,Result for the year,equity,0,,pcg_120,
120900,Withholding tax on dividends,equity,equity,credit,0,,Result for the year,equity,0,,pcg_1209,
129000,Loss for the financial year,equity,equity,credit,0,,Result for the year,equity,0,,pcg_129,
131000,Equipment grants,equity,equity,credit,0,,Investment grants,equity,0,,pcg_131_account,
139000,Investment grants recognised in the income statement,equity,equity,credit,0,,Investment grants,equity,0,,pcg_139_account,
140000,Regulated provisions,liability,non_current_liability,credit,0,,,liability_non_current,0,,pcg_14_account,
143000,Regulated provisions for inventories - Price increases,liability,non_current_liability,credit,0,,,liability_non_current,0,,pcg_143_account,
145000,Depreciation by derogation,liability,non_current_liability,credit,0,,,liability_non_current,0,,pcg_145,
148000,Other tax-regulated provisions,liability,non_current_liability,credit,0,,,liability_non_current,0,,pcg_148,
151100,Provisions for litigation,liability,non_current_liability,credit,0,,Provisions / Provisions for risks,liability_non_current,0,,pcg_1511,
151200,Provisions for customer warranties,liability,non_current_liability,credit,0,,Provisions / Provisions for risks,liability_non_current,0,,pcg_1512,
151400,Provisions for fines and penalties,liability,non_current_liability,credit,0,,Provisions / Provisions for risks,liability_non_current,0,,pcg_1514,
151500,Provisions for foreign exchange losses,liability,non_current_liability,credit,0,,Provisions / Provisions for risks,liability_non_current,0,,pcg_1515,
151600,Provisions for losses on contracts,liability,non_current_liability,credit,0,,Provisions / Provisions for risks,liability_non_current,0,,pcg_1516,
151800,Other provisions for liabilities,liability,non_current_liability,credit,0,,Provisions / Provisions for risks,liability_non_current,0,,pcg_1518,
152100,Provisions for pensions and similar obligations,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1521_account,
152200,Provisions for restructuring,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1522_account,
152300,Provisions for taxation,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1523_account,
152400,Provisions for fixed asset renewal - concession entities,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1524_account,
152500,Provisions for major maintenance and repairs,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1525_account,
152600,Provisions for repairs,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1526_account,
152700,Other provisions for charges,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,pcg_1527_account,
161000,Convertible debenture loans,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_161,
161800,Accrued interest on convertible bonds,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_1618,
162000,Bonds representing net liabilities given in trust,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_162,
163000,Other debenture loans,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_163,
163800,Accrued interest on other bonds,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_1638,
164000,Loans from credit institutions,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_164,
164800,Accrued interest on bank loans,liability,non_current_liability,credit,0,,Loans and similar debts payable,liability_non_current,0,,pcg_1648,
165100,Deposits,liability,non_current_liability,credit,0,,Loans and similar debts payable / Deposits and sureties received,liability_non_current,0,,pcg_1651,
165500,Sureties,liability,non_current_liability,credit,0,,Loans and similar debts payable / Deposits and sureties received,liability_non_current,0,,pcg_1655,
165800,Accrued interest on deposits and guarantees received,liability,non_current_liability,credit,0,,Loans and similar debts payable / Deposits and sureties received,liability_non_current,0,,pcg_1658,
166100,Employee profit sharing - Blocked accounts,liability,non_current_liability,credit,0,,Loans and similar debts payable / Employee profit share,liability_non_current,0,,pcg_1661,
166200,Employee profit sharing - Profit share funds,liability,non_current_liability,credit,0,,Loans and similar debts payable / Employee profit share,liability_non_current,0,,pcg_1662,
166800,Accrued interest on employee profit-sharing,liability,non_current_liability,credit,0,,Loans and similar debts payable / Employee profit share,liability_non_current,0,,pcg_1668,
167100,Loans and debts with special conditions - Issues of non-voting shares,liability,non_current_liability,credit,0,,Loans and similar debts payable / Loans and debts payable subject to particular conditions,liability_non_current,0,,pcg_1671,
167180,Accrued interest on redeemable shares,liability,non_current_liability,credit,0,,Loans and similar debts payable / Loans and debts payable subject to particular conditions,liability_non_current,0,,pcg_16718,
167400,Loans and debts with special conditions - Advances by the state subject to conditions,liability,non_current_liability,credit,0,,Loans and similar debts payable / Loans and debts payable subject to particular conditions,liability_non_current,0,,pcg_1674,
167480,Accrued interest on conditional advances,liability,non_current_liability,credit,0,,Loans and similar debts payable / Loans and debts payable subject to particular conditions,liability_non_current,0,,pcg_16748,
167500,Loans and debts with special conditions - Participating loans,liability,non_current_liability,credit,0,,Loans and similar debts payable / Loans and debts payable subject to particular conditions,liability_non_current,0,,pcg_1675,
167580,Accrued interest on participating loans,liability,non_current_liability,credit,0,,Loans and similar debts payable / Loans and debts payable subject to particular conditions,liability_non_current,0,,pcg_16758,
168100,Other loans and similar debts payable - Other loans,liability,non_current_liability,credit,0,,Loans and similar debts payable / Other loans and similar debts payable,liability_non_current,0,,pcg_1681,
168500,Other loans and similar debts payable - Capitalised life annuities,liability,non_current_liability,credit,0,,Loans and similar debts payable / Other loans and similar debts payable,liability_non_current,0,,pcg_1685,
168700,Other loans and similar debts payable - Other debts payable,liability,non_current_liability,credit,0,,Loans and similar debts payable / Other loans and similar debts payable,liability_non_current,0,,pcg_1687,
168800,Accrued interest,liability,non_current_liability,credit,0,,Loans and similar debts payable / Other loans and similar debts payable,liability_non_current,0,,pcg_1688,
169000,Debt redemption premiums,asset,current_asset,debit,0,,Loans and similar debts payable,asset_current,0,,pcg_169,
171000,Debts payable related to participating interests (group),liability,non_current_liability,credit,0,,Debts payable related to participating interests,liability_non_current,0,,pcg_171,
174000,Debts payable related to participating interests (apart from group),liability,non_current_liability,credit,0,,Debts payable related to participating interests,liability_non_current,0,,pcg_174,
178000,Debts payable related to joint ventures,liability,non_current_liability,credit,0,,Debts payable related to participating interests,liability_non_current,0,,pcg_178_account,
181000,Reciprocal branch accounts,liability,non_current_liability,credit,0,,Reciprocal branch and joint venture accounts,liability_non_current,0,,pcg_181,
186000,Goods and services exchanged between establishments (expenses),liability,non_current_liability,credit,0,,Reciprocal branch and joint venture accounts,liability_non_current,0,,pcg_186,
187000,Goods and services exchanged between establishments (income),liability,non_current_liability,credit,0,,Reciprocal branch and joint venture accounts,liability_non_current,0,,pcg_187,
188000,Reciprocal joint venture accounts,liability,non_current_liability,credit,0,,Reciprocal branch and joint venture accounts,liability_non_current,0,,pcg_188,
201100,Incorporation costs,asset,fixed_asset,debit,0,,Intangible fixed assets / Intangible fixed assets,asset_fixed,0,,pcg_2011,
201200,Start-up costs,asset,fixed_asset,debit,0,,Intangible fixed assets / Intangible fixed assets,asset_fixed,0,,pcg_2012,
