code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100001,Liquidity Transfer,asset,current_asset,debit,0,,Assets,asset_current,1,,ge_account_100001,
110110,Cash on Hand,asset,cash_bank,debit,0,cash_bank,Assets / Cash on Hand,asset_cash,0,,ge_account_110110,
120001,Bank Suspense,asset,current_asset,debit,0,,Assets / Cash in Bank Accounts,asset_current,0,,ge_account_120001,
120110,Cash in Bank Local Currency,asset,cash_bank,debit,0,cash_bank,Assets / Cash in Bank Accounts,asset_cash,0,,ge_account_120110,
120210,Cash in Bank Foreign Currency,asset,cash_bank,debit,0,cash_bank,Assets / Cash in Bank Accounts,asset_cash,0,,ge_account_120210,
120310,Outstanding Receipts,asset,current_asset,debit,0,,Assets / Cash in Bank Accounts,asset_current,1,,account_journal_payment_debit_account_id,
120410,Outstanding Payments,asset,current_asset,debit,0,,Assets / Cash in Bank Accounts,asset_current,1,,account_journal_payment_credit_account_id,
120990,Other Bank Accounts,asset,cash_bank,debit,0,cash_bank,Assets / Cash in Bank Accounts,asset_cash,0,,ge_account_120990,
130110,Current Portion of Long-Term Investments,asset,current_asset,debit,0,,Assets / Short Term Investments,asset_current,0,,ge_account_130110,
130990,Other Short-Term Investments,asset,current_asset,debit,0,,Assets / Short Term Investments,asset_current,0,,ge_account_130990,
140110,Accounts Receivable - Trade and Services,asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140110,
140120,Accounts Receivable (POS),asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140120,
140130,Current Portion of Long-Term Receivables,asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140130,
140140,Allowance for Expected Credit Losses (ECL),asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140140,
140310,Receivables from Employees,asset,current_asset,debit,0,,Assets / Accounts Receivable,asset_current,0,,ge_account_140310,
140320,Receivables from Management / Supervisory Bodies,asset,current_asset,debit,0,,Assets / Accounts Receivable,asset_current,0,,ge_account_140320,
140410,Receivables from Loans to Partners,asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140410,
140510,Receivables from Affiliated Enterprises (I/C),asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140510,
140610,VAT Receivable,asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140610,
140710,Owner Current Account,asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140710,
140990,Other Short-Term Receivables,asset,receivable,debit,0,receivables,Assets / Accounts Receivable,asset_receivable,1,,ge_account_140990,
150110,Advances Paid to Suppliers,asset,current_asset,debit,0,,Assets / Advances,asset_current,0,,ge_account_150110,
150120,Advances to Contractors,asset,current_asset,debit,0,,Assets / Advances,asset_current,0,,ge_account_150120,
150310,Payroll Advances,asset,current_asset,debit,0,,Assets / Advances,asset_current,0,,ge_account_150310,
150510,Advances Paid to Affiliated Enterprises (I/C),asset,current_asset,debit,0,,Assets / Advances,asset_current,0,,ge_account_150510,
160110,Goods,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160110,
160210,Raw Materials and Supplies,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160210,
160230,Work-in-Process Inventory,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160230,
160410,Finished Goods,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160410,
160510,Consumable Materials,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160510,
160520,Maintenance & Operating Supplies,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160520,
160530,Fuel,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160530,
160610,Cost of Production,asset,current_asset,debit,0,,Assets / Inventory,asset_current,1,,ge_account_160610,
160810,Goods in Transit,asset,current_asset,debit,0,,Assets / Inventory,asset_current,1,,ge_account_160810,
160990,Other Inventory,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_160990,
161001,Intermediate Inventory Account,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_161001,
161002,Inventory Adjustments / Differences,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_161002,
161003,Stock Valuation,asset,current_asset,debit,0,,Assets / Inventory,asset_current,0,,ge_account_161003,
170110,Prepaid Medical Insurance,asset,prepayment,debit,0,,Assets / Prepaid Expenses,asset_prepayments,0,,ge_account_170110,
170120,Prepaid Vehicle Insurance,asset,prepayment,debit,0,,Assets / Prepaid Expenses,asset_prepayments,0,,ge_account_170120,
170190,Prepaid Other Insurance,asset,prepayment,debit,0,,Assets / Prepaid Expenses,asset_prepayments,0,,ge_account_170190,
170250,Prepaid Sponsorship,asset,prepayment,debit,0,,Assets / Prepaid Expenses,asset_prepayments,0,,ge_account_170250,
170910,Other Prepaid Expenses,asset,current_asset,debit,0,,Assets / Prepaid Expenses,asset_current,0,,ge_account_170910,
170920,Prepaid Other Tax,asset,current_asset,debit,0,,Assets / Prepaid Expenses,asset_current,0,,ge_account_170920,
170990,Other Prepayments,asset,prepayment,debit,0,,Assets / Prepaid Expenses,asset_prepayments,0,,ge_account_170990,
180110,Dividends Receivable,asset,receivable,debit,0,receivables,Assets / Accrued Receivables,asset_receivable,1,,ge_account_180110,
180120,Interest Receivable,asset,receivable,debit,0,receivables,Assets / Accrued Receivables,asset_receivable,1,,ge_account_180120,
180210,Accrued Revenue / Unbilled Services (Service WIP),asset,receivable,debit,0,receivables,Assets / Accrued Receivables,asset_receivable,1,,ge_account_180210,
180910,Other Accrued Receivables,asset,current_asset,debit,0,,Assets / Accrued Receivables,asset_current,0,,ge_account_180910,
190110,Refundable Deposits,asset,current_asset,debit,0,,Assets / Other Current Assets,asset_current,0,,ge_account_190110,
190910,Other Current Assets,asset,current_asset,debit,0,,Assets / Other Current Assets,asset_current,0,,ge_account_190910,
210001,Transit Account for Fixed Assets,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_210001,
210110,Land,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_210110,
210120,Construction in Progress,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_210120,
211210,Buildings and Constructions,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_211210,
211310,Machinery and Equipment,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_211310,
211410,Office Equipment,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_211410,
211420,Furniture and Fixtures,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_211420,
211510,Vehicles,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_211510,
212610,Leasehold Improvements,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_212610,
213810,Right-of-Use Asset (IFRS 16),asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_213810,
216990,Other Fixed Assets,asset,fixed_asset,debit,0,,Non Current Assets / Fixed Assets,asset_fixed,0,,ge_account_216990,
221210,Depreciation Buildings & Construction,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_221210,
221310,Depreciation Machinery and Equipment,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_221310,
221410,Depreciation Office Equipment,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_221410,
221420,Depreciation Furniture and Fixtures,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_221420,
221510,Depreciation Vehicles,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_221510,
222610,Depreciation Leasehold Improvements,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_222610,
223810,Depreciation Right-of-Use Assets,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_223810,
225990,Depreciation Other Fixed Assets,asset,fixed_asset,debit,0,,Non Current Assets / Accumulated Depreciation PPE,asset_fixed,0,,ge_account_225990,
256110,Licenses,asset,non_current_asset,debit,0,,Non Current Assets / Intangible Assets Cost,asset_non_current,0,,ge_account_256110,
256210,Computer Software,asset,non_current_asset,debit,0,,Non Current Assets / Intangible Assets Cost,asset_non_current,0,,ge_account_256210,
256310,Franchises,asset,non_current_asset,debit,0,,Non Current Assets / Intangible Assets Cost,asset_non_current,0,,ge_account_256310,
256410,Patents,asset,non_current_asset,debit,0,,Non Current Assets / Intangible Assets Cost,asset_non_current,0,,ge_account_256410,
256510,Goodwill,asset,non_current_asset,debit,0,,Non Current Assets / Intangible Assets Cost,asset_non_current,0,,ge_account_256510,
256990,Other Intangible Assets,asset,non_current_asset,debit,0,,Non Current Assets / Intangible Assets Cost,asset_non_current,0,,ge_account_256990,
266110,Amortisation Licenses,asset,non_current_asset,debit,0,,Non Current Assets / Accumulated Amortisation Intangibles,asset_non_current,0,,ge_account_266110,
266210,Amortisation Computer Software,asset,non_current_asset,debit,0,,Non Current Assets / Accumulated Amortisation Intangibles,asset_non_current,0,,ge_account_266210,
266310,Amortisation Franchises,asset,non_current_asset,debit,0,,Non Current Assets / Accumulated Amortisation Intangibles,asset_non_current,0,,ge_account_266310,
266410,Amortisation Patents,asset,non_current_asset,debit,0,,Non Current Assets / Accumulated Amortisation Intangibles,asset_non_current,0,,ge_account_266410,
266510,Amortisation Goodwill,asset,non_current_asset,debit,0,,Non Current Assets / Accumulated Amortisation Intangibles,asset_non_current,0,,ge_account_266510,
266990,Amortisation Other Intangibles,asset,non_current_asset,debit,0,,Non Current Assets / Accumulated Amortisation Intangibles,asset_non_current,0,,ge_account_266990,
270510,Intercompany Loans Receivable (I/C),asset,non_current_asset,debit,0,,Non Current Assets / Long Term Receivables,asset_non_current,0,,ge_account_270510,
270990,Other Long-Term Receivables,asset,non_current_asset,debit,0,,Non Current Assets / Long Term Receivables,asset_non_current,0,,ge_account_270990,
280110,Equity Investments,asset,non_current_asset,debit,0,,Non Current Assets / Long Term Investments,asset_non_current,0,,ge_account_280110,
280210,Debt Investments,asset,non_current_asset,debit,0,,Non Current Assets / Long Term Investments,asset_non_current,0,,ge_account_280210,
310110,Accounts Payable - Trade and Services,liability,payable,credit,0,payables,Liabilities / Short Term Liabilities,liability_payable,1,,ge_account_310110,
310210,Bills to receive,liability,current_liability,credit,0,,Liabilities / Short Term Liabilities,liability_current,1,,ge_account_310210,
310310,Salaries Payable,liability,current_liability,credit,0,,Liabilities / Short Term Liabilities,liability_current,1,,ge_account_310310,
310315,Liabilities to Employees (Non-Salary),liability,payable,credit,0,payables,Liabilities / Short Term Liabilities,liability_payable,1,,ge_account_310315,
310510,Liabilities to Affiliated Enterprises (I/C),liability,payable,credit,0,payables,Liabilities / Short Term Liabilities,liability_payable,1,,ge_account_310510,
310610,Deferred Income (Advances Received),liability,current_liability,credit,0,,Liabilities / Short Term Liabilities,liability_current,0,,ge_account_310610,
310710,Credit card,liability,credit_card,credit,0,,Liabilities / Short Term Liabilities,liability_credit_card,0,,ge_account_310710,
310990,Other Short-Term Liabilities,liability,current_liability,credit,0,,Liabilities / Short Term Liabilities,liability_current,0,,ge_account_310990,
320110,Short-Term Loans,liability,current_liability,credit,0,,Liabilities / Short Term Loans,liability_current,0,,ge_account_320110,
320210,Current Portion of Long-Term Loans,liability,current_liability,credit,0,,Liabilities / Short Term Loans,liability_current,0,,ge_account_320210,
320510,Loans from Affiliated Enterprises (I/C),liability,current_liability,credit,0,,Liabilities / Short Term Loans,liability_current,0,,ge_account_320510,
320990,Other Short-Term Financial Liabilities,liability,current_liability,credit,0,,Liabilities / Short Term Loans,liability_current,0,,ge_account_320990,
330010,General Tax Card,liability,payable,credit,0,payables,Liabilities / Tax and Government Liabilities,liability_payable,1,,ge_account_330010,
331110,Corporate Income Taxes,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_331110,
331210,Withholding Tax (WHT) Accrued,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_331210,
331211,Withholding Tax (WHT) Settled,expense,expense,debit,0,,Liabilities / Tax and Government Liabilities,expense,0,,ge_account_331211,
331212,Withholding Tax (WHT) Transition Account,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_331212,
331310,Employee Personal Income Tax (PIT) Accrued,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,1,,ge_account_331310,
331311,Employee Personal Income Tax (PIT) Prepaid Settled,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_331311,
332010,Pension Contribution Accrued,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_332010,
332011,Pension Contribution Prepaid Settled,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_332011,
333001,VAT Settlement Account,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_333001,
333002,VAT Output,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_333002,
333010,VAT Payable,liability,payable,credit,0,payables,Liabilities / Tax and Government Liabilities,liability_payable,1,,ge_account_333010,
333011,VAT Accrued on Customer advances,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_333011,
333040,VAT Payable on Imports,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_333040,
333060,Reverse Charge VAT Payable,liability,current_liability,credit,0,,Liabilities / Tax and Government Liabilities,liability_current,0,,ge_account_333060,
334002,Input VAT Pending Invoice,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_334002,
334010,Input VAT Local Purchases,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_334010,
334020,Input VAT Advances to Suppliers,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_334020,
334030,Input VAT on Imports,asset,current_asset,debit,0,,Liabilities / Tax and Government Liabilities,asset_current,0,,ge_account_334030,
