code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1.1.02.01,General Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110201,
1.1.02.02,Accounts Receivable Affiliated Companies,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110202,
1.1.02.03,Loans to Personnel,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110203,
1.1.02.04,Other Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110204,
1.1.02.05,General Accounts Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110205,
1.1.03.01,Unpaid VAT,asset,current_asset,debit,0,,,asset_current,0,,cta110301,
1.1.03.02,VAT withholdings received,asset,current_asset,debit,0,,,asset_current,0,,cta110302,
1.2.01.01,"Property, Plant and Equipment",asset,current_asset,debit,0,,,asset_current,0,,cta120101,
1.2.01.02,Technology,asset,fixed_asset,debit,0,,,asset_fixed,0,Technological products or services bought for your business,cta120102,
1.2.01.03,Land,asset,fixed_asset,debit,0,,,asset_fixed,0,Purchases of lands without buildings,cta120103,
1.2.01.04,Construction,asset,fixed_asset,debit,0,,,asset_fixed,0,Construction of buildings and costs associated to buildings,cta120104,
1.2.01.05,Installations,asset,fixed_asset,debit,0,,,asset_fixed,0,"Purchases of installations related to buildings, like solar panels or heater",cta120105,
1.2.01.06,Machines & tools,asset,fixed_asset,debit,0,,,asset_fixed,0,Machinery and tools directly related to your business,cta120106,
1.2.01.07,Other property,asset,fixed_asset,debit,0,,,asset_fixed,0,"Other type of property, like plants, machinery or various equipment",cta120107,
1.2.01.08,Furniture & material,asset,fixed_asset,debit,0,,,asset_fixed,0,Large expenses related to workplaces,cta120108,
1.2.01.09,Vehicle,asset,fixed_asset,debit,0,,,asset_fixed,0,"Purchase of a car, including second hand or after-lease contract",cta120109,
1.2.01.10,Vehicle accessories,asset,fixed_asset,debit,0,,,asset_fixed,0,All accessories purchases related to your professional vehicle,cta120110,
