code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1.1.02.01,General Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110201,
1.1.02.02,Accounts Receivable Affiliated Companies,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110202,
1.1.02.03,Loans to Personnel,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110203,
1.1.02.04,Other Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110204,
1.1.02.05,General Accounts Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,cta110205,
1.1.03.01,ISV receivable,asset,current_asset,debit,0,,,asset_current,0,,cta110301,
1.1.03.02,ISV withholdings received,asset,current_asset,debit,0,,,asset_current,0,,cta110302,
1.2.01.01,"Property, Plant and Equipment",asset,current_asset,debit,0,,,asset_current,0,,cta120101,
1.2.02.01,Accumulated Depreciation,asset,current_asset,debit,0,,,asset_current,0,,cta120201,
1.3.01.01,Unamortized Expenses,asset,current_asset,debit,0,,,asset_current,0,,cta130101,
1.3.02.01,Prepaid Expenses,asset,current_asset,debit,0,,,asset_current,0,,cta130201,
1.3.03.01,Organizational Expenses,asset,current_asset,debit,0,,,asset_current,0,,cta130501,
1.3.04.01,Other Assets,asset,current_asset,debit,0,,,asset_current,0,,cta130601,
2.1.01.01,Accounts and notes payable,liability,payable,credit,0,payables,,liability_payable,1,,cta210101,
2.1.02.01,ISV Payable,liability,current_liability,credit,0,,,liability_current,0,,cta210201,
2.1.03.01,Taxes,liability,current_liability,credit,0,,,liability_current,0,,cta210301,
2.2.01.01,Provision for severance indemnities,liability,current_liability,credit,0,,,liability_current,0,,cta220101,
2.3.01.01,Advances,liability,current_liability,credit,0,,,liability_current,0,,cta230101,
3.1.01.01,"Authorized, Subscribed and Paid-in Capital",equity,equity,credit,0,,,equity,0,,cta310101,
3.1.01.02,Reservations,equity,equity,credit,0,,,equity,0,,cta310102,
3.1.01.03,Profit and loss,equity,equity,credit,0,,,equity,0,,cta310103,
4.1.01.01,Sales,income,income,credit,0,income,,income,0,,cta410101,default_for_income
4.1.01.02,Sales Discounts,income,income,credit,0,,,income,0,,cta410102,
4.1.01.03,Earn an account,income,other_income,credit,0,,,income_other,0,,cta410103,
4.2.01.01,Other Income,income,income,credit,0,,,income,0,,cta420101,
4.2.01.02,Cash Discount Gain,income,other_income,credit,0,,,income_other,0,,cta420102,
5.1.01.01,Cost of sales,expense,expense,debit,0,expense,,expense,0,,cta510101,default_for_expense
6.1.01.01,Cost of sales,expense,expense,debit,0,,,expense,0,,cta610101,
6.2.01.01,Administrative Expenses,expense,expense,debit,0,,,expense,0,,cta620101,
6.2.02.01,Other Operating Expenses,expense,expense,debit,0,,,expense,0,,cta620201,
6.2.02.02,Cash Discount Loss,expense,expense,debit,0,,,expense,0,,cta620202,
6.3.01.01,Non-Deductible Expenses,expense,expense,debit,0,,,expense,0,,cta630101,
7.1.01.01,Other Financial Expenses,expense,expense,debit,0,,,expense,0,,cta710101,
7.1.01.02,Interests,expense,expense,debit,0,,,expense,0,,cta710102,
