code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
000000,Receivables for recoded but not paid in capital in joint-stock company,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Receivables for recorded but not paid in capital and non-current financial assets,asset_non_current,0,,hr_000000,
001000,Receivables for repeated share issues for recorded but not paid capital,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Receivables for recorded but not paid in capital and non-current financial assets,asset_non_current,0,,hr_001000,
002000,Receivables for recoded but not paid in capital in private limited company(analytics by owners),asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Receivables for recorded but not paid in capital and non-current financial assets,asset_non_current,0,,hr_002000,
003000,Receivables for stake in capital of limited partnership,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Receivables for recorded but not paid in capital and non-current financial assets,asset_non_current,0,,hr_003000,
004000,Receivables for other business stakes in capital,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Receivables for recorded but not paid in capital and non-current financial assets,asset_non_current,0,,hr_004000,
010000,Research and development,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_010000,
011000,"Concession rights, patents, commodity and service brands",asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_011000,
012000,Software and other rights,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_012000,
013000,Goodwill,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_013000,
014000,Other intangible assets,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_014000,
015000,Advance payments for purchase of intangible assets,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_015000,
016000,Cryptocurrencies,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_016000,
017000,Intangible assets in preparation,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_017000,
018000,Value adjustment of intangible assets,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_018000,
019000,Accumulated depreciation of intangible assets,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Intangible asset,asset_non_current,0,,hr_019000,
020000,Land,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_020000,
021000,Rights to use land,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_021000,
023000,Buildings,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_023000,
024000,Flats for employees,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_024000,
026000,Advance payments for purchase of land and buildings,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_026000,
027000,Land and buildings under construction,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_027000,
028000,Value adjustment of land and buildings,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_028000,
029000,Accumulated depreciation of buildings,asset,fixed_asset,debit,0,,Receivables for issued capital and non-current assets / Land and buildings,asset_fixed,0,,hr_029000,
030000,Plant,asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_030000,
031000,Equipment,asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_031000,
032000,"Tools, transportation equipment and vehicle",asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_032000,
033000,"Not deductible VAT prepayments (for cars, purchases after 1.1.2018. )",asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_033000,
034000,Agricultural equipment and machinery,asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_034000,
035000,"Other property, plant and equipment",asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_035000,
036000,"Advance payments for purchase of property, plant and equipment",asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_036000,
037000,Plant and equipment under construction,asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_037000,
038000,Value adjustment of plant and equipment,asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_038000,
039000,Accumulated depreciation of plant and equipment,asset,fixed_asset,debit,0,,"Receivables for issued capital and non-current assets / Plant, equipment, tools and transportation vehicles",asset_fixed,0,,hr_039000,
040000,Biological assets- growing crops,asset,non_current_asset,debit,0,,Receivables for issued capital and non-current assets / Biological assets,asset_non_current,0,,hr_040000,
041000,Biological assets- live stock,asset,current_asset,debit,0,,Receivables for issued capital and non-current assets / Biological assets,asset_current,0,,hr_041000,
