code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
0000,Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)-a1,asset,current_asset,debit,0,,,asset_current,,,kp_rrif0000,
0010,Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala po emisijama dionica-a1,asset,current_asset,debit,0,,,asset_current,,,kp_rrif0010,
0020,Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)-a1,asset,current_asset,debit,0,,,asset_current,,,kp_rrif0020,
0030,Potraživanja za temeljni ulog komanditora-a1,asset,current_asset,debit,0,,,asset_current,,,kp_rrif0030,
0040,Potraživanje za ostale uloge u kapital-a1,asset,current_asset,debit,0,,,asset_current,,,kp_rrif0040,
0100,"Izdatci za razvoj projekta (konstruiranje i test. prototipova i modela,alata,naprava i kalupa i sl.",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0100,
0101,"Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.).",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0101,
0102,Izdatci za istraživanje mineralnih blaga (MSFI 6),asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0102,
0110,"Ulaganje u koncesije idozvole(za resurse, ceste, ribarenje, linije, sirovine, itd.)",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0110,
0111,"Ulaganje u patente i tehnologiju, inovacije, teh.dokumentaciju za proizv. proizvoda ili pružanje usluga",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0111,
0112,Ulaganje u licenciju i frenčajz (Franchising),asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0112,
0113,"Robne marke, trgovačko ime, lista kupaca, industrijska prava, marketinška prava, usl. marke i sl.prava",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0113,
0114,Ulaganje u tržišni udio (otkup prava distribucije za neko područje),asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif0114,
01200,Ulaganje u računalni softwer,asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01200,
01201,Ulaganje u internetske stranice,asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01201,
01210,Ulaganje u autorska i dr. prava korištenja,asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01210,
01211,"Ulaganje u znanje (know how), dizajn",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01211,
01212,"Ulaganje u pravo reproduciranja (npr. filmova), pravo objave u izdavaštvu i sl.",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01212,
01213,"Ulaganja na tuđoj imovini radi uporabe ili poboljšanja (nekretnina, opreme i sl.)",asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01213,
01214,Ulaganje u dugogodišnje pravo uporabe (prema ugovoru),asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01214,
01215,Ulaganje u pravo suvlasništva opreme,asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01215,
01220,Založno pravo i hipoteke (realizirane),asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01220,
01221,Ostala dugogodišnja prava,asset,non_current_asset,debit,0,,,asset_non_current,,,kp_rrif01221,
