code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
11110001,Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,l10n_id_11110001,
11110010,Petty Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,l10n_id_11110010,
11120001,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,l10n_id_11120001,
11210010,Account Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_id_11210010,
11210011,Account Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_id_11210011,
11210012,VAT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_id_11210012,
11210013,STLG Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_id_11210013,
11210014,PPh 28A Prepaid,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_id_11210014,
11210030,VAT Purchase,asset,current_asset,debit,0,,,asset_current,0,,l10n_id_11210030,
11210040,Prepaid Expense,asset,current_asset,debit,0,,,asset_current,0,,l10n_id_11210040,
11300180,Inventory,asset,current_asset,debit,0,,,asset_current,0,,l10n_id_11300180,
11410010,Building Rent,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11410010,
11410020,Prepaid Insurance,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11410020,
11410030,Prepaid Advertisement-Free,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11410030,
11510010,Prepaid Tax PPh 21,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11510010,
11510020,Prepaid Tax Pph 22,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11510020,
11510030,Prepaid Tax Pph 23,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11510030,
11510040,Prepaid Tax Pph 25,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11510040,
11800000,Down Payment,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_id_11800000,
12210010,Office Building,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_id_12210010,
12210020,Vehicle,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_id_12210020,
12210030,Office Supplies,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_id_12210030,
12281010,Accumulation Building Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_id_12281010,
12281020,Accumulation Vehicle Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_id_12281020,
12281030,Accumulation Office Supplies Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_id_12281030,
21100010,Account Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_id_21100010,
21100011,VAT Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_id_21100011,
21100012,STLG Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_id_21100012,
21100013,Employee Liabilities,liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21100013,
21100014,Tax Payable PPh 29,liability,payable,credit,0,payables,,liability_payable,1,,l10n_id_21100014,
21100020,Shareholder Deposit,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_21100020,
21100030,Third-Party Deposit,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_21100030,
21100040,Salary Deposit,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_21100040,
21210010,Tax Payable PPh 21,liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21210010,
21210020,Tax Payable PPh 22,liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21210020,
21210030,Tax Payable PPh 23,liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21210030,
21210040,Tax Payable PPh 25,liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21210040,
21210050,Tax Payable 4(2),liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21210050,
21210060,Tax Payable PPh 26,liability,current_liability,credit,0,,,liability_current,1,,l10n_id_21210060,
21221010,VAT Sales,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_21221010,
22110010,Bank Loan,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_22110010,
22110020,Leasing Deposit,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_22110020,
25110010,Accrued Payable Electricity,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110010,
25110020,Accrued Payable Jamsostek,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110020,
25110030,Accrued Payable Water,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110030,
25110040,Accrued Payable Telp & Internet,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110040,
25110050,Accrued Payable Security Management,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110050,
25110060,Accrued Payable Bank,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110060,
25110070,Accrued Payable PBB,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110070,
25110080,Accrued Payable Business License,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110080,
25110090,Accrued Payable Insurance,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110090,
25110100,Accrued Payable Education,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110100,
25110110,Accrued Payable Health Insurance/BPJS,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_25110110,
28110010,Advance Sales,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_28110010,
28110020,Customer Deposit,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_28110020,
28110030,Deferred Revenue,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_28110030,
29000000,Interim Stock,liability,current_liability,credit,0,,,liability_current,0,,l10n_id_29000000,
31100010,Authorized Capital,equity,equity,credit,0,,,equity,0,,l10n_id_31100010,
31100020,Paid Capital,equity,equity,credit,0,,,equity,0,,l10n_id_31100020,
31100030,Unpaid Capital,equity,equity,credit,0,,,equity,0,,l10n_id_31100030,
31100040,Prive (Personal Retrieval),equity,equity,credit,0,,,equity,0,,l10n_id_31100040,
31210010,Capital Reserves,equity,equity,credit,0,,,equity,0,,l10n_id_31210010,
31510010,Past Profit & Loss,equity,equity,credit,0,,,equity,0,,l10n_id_31510010,
