code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100,Development costs,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_100,
101,"Concessions, patents, licences, trade marks and similar rights and assets",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_101,
102,Goodwill,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_102,
103,Payments on account,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_103,
110,Investment property,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_110,
111,Land and buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_111,
112,Plant and machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_112,
113,"Fixtures, fittings, tools and equipment",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_113,
114,Payments on account and assets in course of construction,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_114,
120,Shares in group undertakings,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_120,
121,Loans to group undertakings,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_121,
122,Participating interests,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_122,
123,Loans to undertakings in which the company has a participating interest,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_123,
1240,Listed shares,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1240,
1241,Unlisted shares,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1241,
1242,Other securities held as fixed assets (equity right),asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1242,
1243,Debentures,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1243,
1244,Other securities held as fixed assets (creditor's right),asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1244,
1245,Shares of collective investment funds,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1245,
1246,Other securities held as fixed assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1246,
1250,Loans,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1250,
1251,Deposits and guarantees paid,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1251,
1252,Long-term receivables,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_1252,
2000,Inventories of raw materials,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2000,
2001,Inventories of consumable materials and supplies,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2001,
2002,Inventories of packaging,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2002,
2010,Inventories of work in progress,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2010,
2011,Contracts in progress - goods,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2011,
2012,Contracts in progress - services,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2012,
2013,Buildings under construction,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2013,
2020,Inventories of finished goods,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2020,
2021,Inventories of semi-finished goods,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2021,
2022,"Inventories of residual goods (waste, rejected and recuperable material)",asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2022,
2023,Inventories of merchandise,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2023,
2024,Inventories of land for resale,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2024,
2025,Inventories of buildings for resale,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2025,
203,Payments on account,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_203,
2100,Customers due within one year,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ie_account_2100,
2101,Customers (PoS) due within one year,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ie_account_2101,
2102,Customers - Receivable bills of exchange due within one year,asset,current_asset,debit,0,,,asset_current,1,,l10n_ie_account_2102,
2103,Doubtful or disputed customers due within one year,asset,current_asset,debit,0,,,asset_current,1,,l10n_ie_account_2103,
2104,Customers - Unbilled sales due within one year,asset,current_asset,debit,0,,,asset_current,1,,l10n_ie_account_2104,
2105,Customers with a credit balance due within one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_2105,
2106,Value adjustments of receivables due within one year,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2106,
211,Amounts owed by group undertakings,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_211,
212,Amounts owed by undertakings in which the company has a participating interest,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_212,
2130,Other debtors,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2130,
2131,VAT receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ie_account_2131,
2132,VAT paid,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2132,
214,Subscribed capital called but unpaid,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ie_account_214,
215,Prepayments,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_215,
2160,Accrued income,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2160,
2161,Deferred expenses,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_2161,
220,Shares in group undertakings,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_220,
221,Other investments,asset,current_asset,debit,0,,,asset_current,0,,l10n_ie_account_221,
30,Debenture loans: due and payable within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_30,
31,Amounts owed to credit institutions: due and payable within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_31,
32,Called-up share capital presented as a liability due within one year,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_32,
33,Payments received on account,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_33,
34,Suppliers due within one year,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ie_account_34,
35,Bills of exchange payable within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_35,
36,Amounts owed to group undertakings due within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_36,
37,Amounts owed to undertakings with which the company is linked by virtue of participating interests due within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_37,
3800,Income tax,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3800,
3801,Withholding tax on wages and salaries,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3801,
3802,Withholding tax on financial investment income,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3802,
3803,VAT received,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3803,
3804,VAT payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ie_account_3804,
3805,Other indirect taxes,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3805,
3806,Foreign VAT,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3806,
3807,Other foreign taxes,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3807,
381,Pay Related Social insurance (PRSI),liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_381,
3820,Received deposits and guarantees within one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_3820,
3821,Amounts payable to partners and shareholders (others than from affiliated undertakings) within one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_3821,
3822,"Amounts payable to directors, managers, statutory auditors and similar within one year",liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_3822,
3823,Amounts payable to staff within one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_3823,
3824,Other miscellaneous debts within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_3824,
39,Deferred income to be recognized within one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_39,
40,Debenture loans: due and payable after more than one year,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_40,
41,Amounts owed to credit institutions: due and payable after more than one year,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_41,
42,Called-up share capital presented as a liability due after more than one year,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_42,
43,Down payments received after more than one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_43,
44,Suppliers due after more than one year,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ie_account_44,
45,Bills of exchange payable after more than one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_45,
46,Amounts owed to group undertakings due after more than one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_46,
47,Amounts owed to undertakings with which the company is linked by virtue of participating interests due after more than one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_47,
480,Received deposits and guarantees due after more than one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_480,
481,Amounts payable to partners and shareholders (others than from affiliated undertakings) due after more than one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_481,
482,"Amounts payable to directors, managers, statutory auditors and similar due after more than one year",liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_482,
483,Amounts payable to staff due after more than one year,liability,current_liability,credit,0,,,liability_current,1,,l10n_ie_account_483,
484,Other miscellaneous debts due after more than one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_484,
49,Deferred income to be recognized after more than one year,liability,current_liability,credit,0,,,liability_current,0,,l10n_ie_account_49,
500,Provisions for pensions and similar obligations,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_500,
5010,Provisions for taxation,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_5010,
5011,Deferred tax provisions,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_5011,
5020,Operating provisions,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_5020,
5021,Financial provisions,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ie_account_5021,
5100,Called-up capital,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5100,
5101,"Capital of individual companies, corporate partnerships and similar",equity,equity,credit,0,,,equity,0,,l10n_ie_account_5101,
5110,Share premium,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5110,
5111,Merger premium,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5111,
5112,Contribution premium,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5112,
5113,Premiums on conversion of bonds into shares,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5113,
5114,Capital contribution without issue of shares,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5114,
5120,Reserves in application of the equity method,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5120,
5121,Temporarily not taxable currency translation adjustments,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5121,
5122,Other revaluation reserves,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5122,
5130,Legal reserve,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5130,
5131,Reserves for own shares or own corporate units,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5131,
5132,Reserves provided for by the articles of association,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5132,
51330,Other reserves available for distribution,equity,equity,credit,0,,,equity,0,,l10n_ie_account_51330,
51331,Reserves in application of fair value,equity,equity,credit,0,,,equity,0,,l10n_ie_account_51331,
51332,Reserves not available for distribution not mentioned above,equity,equity,credit,0,,,equity,0,,l10n_ie_account_51332,
5140,Results brought forward in the process of assignment,equity,equity,credit,0,,,equity,0,,l10n_ie_account_5140,
5141,Results brought forward (assigned),equity,equity,credit,0,,,equity,0,,l10n_ie_account_5141,
515,Result for the financial year,equity,retained_earnings,credit,0,,,equity_unaffected,0,,l10n_ie_account_515,
60,Purchase of Raw materials and consumables,expense,expense,debit,0,expense,,expense,0,,l10n_ie_account_60,default_for_expense
61,Other external expenses,expense,expense,debit,0,,,expense,0,,l10n_ie_account_61,
620,Wages and salaries,expense,expense,debit,0,,,expense,0,,l10n_ie_account_620,
621,Social insurance costs,expense,expense,debit,0,,,expense,0,,l10n_ie_account_621,
622,Other retirement benefit costs,expense,expense,debit,0,,,expense,0,,l10n_ie_account_622,
623,Other compensation costs,expense,expense,debit,0,,,expense,0,,l10n_ie_account_623,
630,Value adjustments in respect of fixed assets,expense,expense,debit,0,,,expense,0,,l10n_ie_account_630,
631,Extraordinary value adjustments in respect of current assets,expense,expense,debit,0,,,expense,0,,l10n_ie_account_631,
640,Cash Discount Loss,expense,expense,debit,0,,,expense,0,,l10n_ie_account_640,
641,Cash Difference Loss,expense,expense,debit,0,,,expense,0,,l10n_ie_account_641,
642,Other operating expenses,expense,expense,debit,0,,,expense,0,,l10n_ie_account_642,
65,Value adjustments in respect of financial assets and investments held as current assets - Expense,expense,expense,debit,0,,,expense,0,,l10n_ie_account_65,
660,Interest payable and similar expenses,expense,expense,debit,0,,,expense,0,,l10n_ie_account_660,
661,Foreign currency exchange losses,expense,expense,debit,0,,,expense,0,,l10n_ie_account_661,
67,Tax on profit or loss,expense,expense,debit,0,,,expense,0,,l10n_ie_account_67,
68,Other taxes not shown under the above items,expense,expense,debit,0,,,expense,0,,l10n_ie_account_68,
70,Sales,income,income,credit,0,income,,income,0,,l10n_ie_account_70,default_for_income
71,Variation in stocks of finished goods and in work in progress,income,income,credit,0,,,income,0,,l10n_ie_account_71,
72,Own work capitalized,income,income,credit,0,,,income,0,,l10n_ie_account_72,
730,Cash Discount Gain,income,income,credit,0,,,income,0,,l10n_ie_account_730,
731,Cash Difference Gain,income,income,credit,0,,,income,0,,l10n_ie_account_731,
732,Other operating income,income,income,credit,0,,,income,0,,l10n_ie_account_732,
74,Income from shares in group undertakings,income,income,credit,0,,,income,0,,l10n_ie_account_74,
75,Income from participating interests,income,income,credit,0,,,income,0,,l10n_ie_account_75,
760,Income from other financial assets,income,income,credit,0,,,income,0,,l10n_ie_account_760,
761,Foreign currency exchange gains,income,income,credit,0,,,income,0,,l10n_ie_account_761,
762,Income from other financial assets,income,income,credit,0,,,income,0,,l10n_ie_account_762,
77,Other interest receivable and similar income,income,income,credit,0,,,income,0,,l10n_ie_account_77,
78,Value adjustments in respect of financial assets and investments held as current assets - Income,income,income,credit,0,,,income,0,,l10n_ie_account_78,
