code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100100,Land and buildings,asset,fixed_asset,debit,0,,Fixed Assets,asset_fixed,0,,il_account_100100,
100110,Land and buildings depreciation,asset,non_current_asset,debit,0,,Fixed Assets,asset_non_current,0,,il_account_100110,
100200,Machinery and equipment,asset,fixed_asset,debit,0,,Fixed Assets,asset_fixed,0,,il_account_100200,
100210,Machinery and equipment depreciation,asset,non_current_asset,debit,0,,Fixed Assets,asset_non_current,0,,il_account_100210,
100300,Vehicles,asset,fixed_asset,debit,0,,Fixed Assets,asset_fixed,0,,il_account_100300,
100310,Vehicles depreciation,asset,non_current_asset,debit,0,,Fixed Assets,asset_non_current,0,,il_account_100310,
100400,Other property,asset,fixed_asset,debit,0,,Fixed Assets,asset_fixed,0,,il_account_100400,
100410,Other property depreciation,asset,non_current_asset,debit,0,,Fixed Assets,asset_non_current,0,,il_account_100410,
100420,Intangible Assets,asset,non_current_asset,debit,0,,Fixed Assets,asset_non_current,0,,il_account_100420,
101110,Stock Valuation,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101110,
101120,Stock Interim Account (Received),asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101120,
101130,Stock Interim Account (Delivered),asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101130,
101140,Inventory - Raw materials,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101140,
101150,Inventory - Work in progress,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101150,
101160,Inventory - Finished goods,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101160,
101200,Account Receivable,asset,receivable,debit,0,receivables,Current Assets,asset_receivable,1,,il_account_101200,
101201,Account Receivable(POS),asset,receivable,debit,0,receivables,Current Assets,asset_receivable,1,,il_account_101201,
101250,Allowance for credit losses,asset,current_asset,debit,0,,Current Assets,asset_current,1,,il_account_101250,
101310,VAT - Inputs,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101310,
101320,VAT - Fixed Assets,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101320,
101330,VAT - Import Transactions,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101330,
101340,VAT - PA Import Transactions,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101340,
101350,Prepayments,asset,current_asset,debit,0,,Current Assets,asset_current,0,,il_account_101350,
101410,Bank Deposit,asset,cash_bank,debit,0,cash_bank,Bank And Cash,asset_cash,0,,il_account_101410,
101420,Cheques,asset,cash_bank,debit,0,cash_bank,Bank And Cash,asset_cash,0,,il_account_101420,
101430,Financial Assets,asset,cash_bank,debit,0,cash_bank,Bank And Cash,asset_cash,0,,il_account_101430,
101440,Petty Cash,asset,cash_bank,debit,0,cash_bank,Bank And Cash,asset_cash,0,,il_account_101440,
