code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
10031,Inventories,asset,current_asset,debit,0,,,asset_current,0,,p10031,
10040,Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,p10040,
10041,Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,p10041,
10051,SGST Receivable,asset,current_asset,debit,0,,,asset_current,0,,p10051,
10052,CGST Receivable,asset,current_asset,debit,0,,,asset_current,0,,p10052,
10053,IGST Receivable,asset,current_asset,debit,0,,,asset_current,0,,p10053,
100531,IGST Paid on SEZ/Export Sales,asset,current_asset,debit,0,,,asset_current,0,,p100531,
10054,IGST SEZ/Export Control Account,asset,current_asset,debit,0,,,asset_current,0,,p10054,
10055,CESS Receivable,asset,current_asset,debit,0,,,asset_current,0,,p10055,
10056,Tax Receivable,asset,current_asset,debit,0,,,asset_current,0,,p10056,
10057,Reverse Charge GST on Purchase,asset,current_asset,debit,0,,,asset_current,0,,p10057,
10058,TDS Receivable,asset,current_asset,debit,0,,,asset_current,0,,p10058,
10059,Tax Current Account - Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,p10059,
100595,TDS (Withholding Control),asset,current_asset,debit,0,,,asset_current,0,,p100595,
10061,Deposit Account,asset,current_asset,debit,0,,,asset_current,0,,p10061,
10071,Prepaid Insurance,asset,current_asset,debit,0,,,asset_current,0,,p10071,
10084,Deferred Expenses,asset,current_asset,debit,0,,,asset_current,0,,p10084,
10085,Deferred Income,liability,current_liability,credit,0,,,liability_current,0,,p10085,
1011,Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1011,
1012,Land,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1012,
1013,Equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1013,
1014,Vehicle,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1014,
1015,Computer/Laptops (Assets),asset,fixed_asset,debit,0,,,asset_fixed,0,,p1015,
1016,Furniture,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1016,
1017,Air Conditionar,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1017,
1018,Misc Assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,p1018,
1111,Capital Account,equity,equity,credit,0,,,equity,0,,p1111,
1112,Reserve And Surplus Account,liability,current_liability,credit,0,,,liability_current,0,,p1112,
11211,Creditors,liability,payable,credit,0,payables,,liability_payable,1,,p11211,
11221,Bank OD Account,liability,current_liability,credit,0,,,liability_current,0,,p11221,
11222,Secured Loan Account,liability,current_liability,credit,0,,,liability_current,0,,p11222,
11223,Unsecured Loan Account,liability,current_liability,credit,0,,,liability_current,0,,p11223,
11231,TDS Payable,liability,current_liability,credit,0,,,liability_current,0,,p11231,
11232,SGST Payable,liability,current_liability,credit,0,,,liability_current,0,,p11232,
11233,CGST Payable,liability,current_liability,credit,0,,,liability_current,0,,p11233,
11234,IGST Payable,liability,current_liability,credit,0,,,liability_current,0,,p11234,
112341,IGST SEZ/Export Control Account,liability,current_liability,credit,0,,,liability_current,0,,p112341,
112342,IGST Payable - Export,liability,current_liability,credit,0,,,liability_current,0,,p112342,
11235,CESS Payable,liability,current_liability,credit,0,,,liability_current,0,,p11235,
11236,Tax Payable,liability,current_liability,credit,0,,,liability_current,0,,p11236,
11237,GST RCM Control Account,liability,current_liability,credit,0,,,liability_current,0,,p11237,
11239,Tax Current Account - Payable,liability,payable,credit,0,payables,,liability_payable,1,,p11239,
11241,Wages Payable,liability,current_liability,credit,0,,,liability_current,0,,p11241,
11242,Interest Payable,liability,current_liability,credit,0,,,liability_current,0,,p11242,
11243,Notes Payable,liability,current_liability,credit,0,,,liability_current,0,,p11243,
11244,TDS Deducted,liability,current_liability,credit,0,,,liability_current,0,,p11244,
11245,TCS Collected,liability,current_liability,credit,0,,,liability_current,0,,p11245,
20011,Local Sales,income,income,credit,0,income,,income,0,,p20011,default_for_income
20012,Retail Sales,income,income,credit,0,,,income,0,,p20012,
20013,Export Sales,income,income,credit,0,,,income,0,,p20013,
20021,Local Services,income,income,credit,0,,,income,0,,p20021,
20022,Export Services,income,income,credit,0,,,income,0,,p20022,
2010,Interest Revenues,income,income,credit,0,,,income,0,,p2010,
2011,Gain on Sale of Assets,income,income,credit,0,,,income,0,,p2011,
2012,Write off Income,income,income,credit,0,,,income,0,,2012,
2013,Foreign Exchange Profit,income,other_income,credit,0,,,income_other,0,,p2013,
2100,Electricity Expense,expense,expense,debit,0,,,expense,0,,p2100,
2101,Salary Expense,expense,expense,debit,0,,,expense,0,,p2101,
2102,Office Rent,expense,expense,debit,0,,,expense,0,,p2102,
2103,House Keeping Expense,expense,expense,debit,0,,,expense,0,,p2103,
2104,Postage And Courier Expense,expense,expense,debit,0,,,expense,0,,p2104,
2105,Internet Expense,expense,expense,debit,0,,,expense,0,,p2105,
2106,Telephone Expense,expense,expense,debit,0,,,expense,0,,p2106,
2107,Purchase Expense,expense,expense,debit,0,expense,,expense,0,,p2107,default_for_expense
2108,Computer/Laptop Accessories,expense,expense,debit,0,,,expense,0,,p2108,
2109,News Paper And Magazine,expense,expense,debit,0,,,expense,0,,p2109,
2110,Business Promotion,expense,expense,debit,0,,,expense,0,,p2110,
2111,Entertainment Expense,expense,expense,debit,0,,,expense,0,,p2111,
2112,Professional Services,expense,expense,debit,0,,,expense,0,,p2112,
211210,Professional Fees,expense,expense,debit,0,,,expense,0,,p211210,
211220,Audit Fees,expense,expense,debit,0,,,expense,0,,p211220,
211230,Job Work Expense,expense,expense,debit,0,,,expense,0,,p211230,
211240,Advertisement Expense,expense,expense,debit,0,,,expense,0,,p211240,
211250,Commission/Brokerage Expense,expense,expense,debit,0,,,expense,0,,p211250,
2113,Bank Charges,expense,expense,debit,0,,,expense,0,,p2113,
2114,Diwali Bonus/Gift,expense,expense,debit,0,,,expense,0,,p2114,
2115,Parts Purchase,expense,expense,debit,0,,,expense,0,,p2115,
2116,Repairing Expense,expense,expense,debit,0,,,expense,0,,p2116,
2117,Foreign Exchange Loss,expense,expense,debit,0,,,expense,0,,p2117,
21181,Sales Commission Expense,expense,expense,debit,0,,,expense,0,,p21181,
21182,Stationary Expense,expense,expense,debit,0,,,expense,0,,p21182,
21183,Travelling Expense,expense,expense,debit,0,,,expense,0,,p21183,
2121,Opening Stock,expense,expense,debit,0,,,expense,0,,p2121,
2122,Purchase Stock,expense,expense,debit,0,,,expense,0,,p2122,
2123,Closing Stock,expense,expense,debit,0,,,expense,0,,p2123,
2131,Loss on Sale of Assets,expense,expense,debit,0,,,expense,0,,p2131,
2132,Write Off Expense,expense,expense,debit,0,,,expense,0,,p2132,
213201,Round off Expense,expense,expense,debit,0,,,expense,0,,p213201,
213202,Round off Income,income,income,credit,0,,,income,0,,p213202,
213300,Depreciation Account,expense,expense,debit,0,,,expense,0,,p213300,
300001,House Rent Allowance Expense,expense,expense,debit,0,,,expense,0,,p300001,
300002,Other Allowance Expense,expense,expense,debit,0,,,expense,0,,p300002,
300003,Bonus to Employee Expense,expense,expense,debit,0,,,expense,0,,p300003,
300004,Supplementary Allowance Expense,liability,current_liability,credit,0,,,liability_current,0,,p300004,
300005,Performance Bonus,liability,current_liability,credit,0,,,liability_current,0,,p300005,
300006,Employee Reimbursement Expense,liability,payable,credit,0,payables,,liability_payable,1,,p300006,
300007,Provident fund - Employee Payable,liability,current_liability,credit,0,,,liability_current,0,,p300007,
300008,Provident fund - Employer Payable,liability,current_liability,credit,0,,,liability_current,0,,p300008,
300009,Advance to Employee,liability,current_liability,credit,0,,,liability_current,0,,p300009,
300010,Salary Exp Payable,liability,current_liability,credit,0,,,liability_current,1,,p300010,
300011,Leave Travel Allowance Expense,liability,current_liability,credit,0,,,liability_current,0,,p300011,
300012,Professional Tax Payable,liability,current_liability,credit,0,,,liability_current,0,,p300012,
