code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1101,Planting costs,asset,non_current_asset,debit,0,,,asset_non_current,0,,1101,
1106,Software,asset,non_current_asset,debit,0,,,asset_non_current,0,,1106,
1108,Startup,asset,non_current_asset,debit,0,,,asset_non_current,0,,1108,
1111,Provision for depreciation of start-up costs,asset,non_current_asset,debit,0,,,asset_non_current,0,,1111,
1116,Provision for software amortization,asset,non_current_asset,debit,0,,,asset_non_current,0,,1116,
1118,Goodwill amortization provision,asset,non_current_asset,debit,0,,,asset_non_current,0,,1118,
1201,Buildings,asset,non_current_asset,debit,0,,,asset_non_current,0,,1201,
1202,Plant and machinery,asset,non_current_asset,debit,0,,,asset_non_current,0,,1202,
1204,Commercial equipment,asset,non_current_asset,debit,0,,,asset_non_current,0,,1204,
1205,Office machines,asset,non_current_asset,debit,0,,,asset_non_current,0,,1205,
1206,Furniture,asset,non_current_asset,debit,0,,,asset_non_current,0,,1206,
1207,Vehicles,asset,non_current_asset,debit,0,,,asset_non_current,0,,1207,
1208,Durable packaging,asset,non_current_asset,debit,0,,,asset_non_current,0,,1208,
1211,Building depreciation fund,asset,non_current_asset,debit,0,,,asset_non_current,0,,1211,
1212,Provision for depreciation of plant and machinery,asset,non_current_asset,debit,0,,,asset_non_current,0,,1212,
1214,Allowance for depreciation of business equipment,asset,non_current_asset,debit,0,,,asset_non_current,0,,1214,
1215,Provision for depreciation of office machines,asset,non_current_asset,debit,0,,,asset_non_current,0,,1215,
1216,Furniture depreciation fund,asset,non_current_asset,debit,0,,,asset_non_current,0,,1216,
1217,Provision for vehicle depreciation,asset,non_current_asset,debit,0,,,asset_non_current,0,,1217,
1218,Durable packaging depreciation fund,asset,non_current_asset,debit,0,,,asset_non_current,0,,1218,
1220,Fixed assets suppliers on account,asset,non_current_asset,debit,0,,,asset_non_current,0,,1220,
1301,Active mortgages,asset,fixed_asset,debit,0,,,asset_fixed,0,,1301,
1401,Consumable materials,asset,current_asset,debit,0,,,asset_current,0,,1401,
1404,Goods,asset,current_asset,debit,0,,,asset_current,0,,1404,
1410,Suppliers down payments,asset,current_asset,debit,0,,,asset_current,0,,1410,
1501,Customer receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,1501,
1502,Miscellaneous trade receivables,asset,current_asset,debit,0,,,asset_current,1,,1502,
1503,Clients expenses in advance,asset,current_asset,debit,0,,,asset_current,1,,1503,
1505,Bills of exchange receivable,asset,current_asset,debit,0,,,asset_current,1,,1505,
1506,Change them at a discount,asset,current_asset,debit,0,,,asset_current,1,,1506,
1507,Change in collection,asset,current_asset,debit,0,,,asset_current,1,,1507,
1508,Accounts receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,1508,
1509,Invoices to be issued,asset,current_asset,debit,0,,,asset_current,1,,1509,
1510,Outstanding receivables,asset,current_asset,debit,0,,,asset_current,1,,1510,
1511,Outstanding bills of exchange,asset,current_asset,debit,0,,,asset_current,1,,1511,
1531,Receivables to be settled,asset,current_asset,debit,0,,,asset_current,1,,1531,
1540,Allowance for doubtful accounts,asset,current_asset,debit,0,,,asset_current,1,,1540,
1541,Provision for credit risks,asset,current_asset,debit,0,,,asset_current,1,,1541,
1601,VAT credit,asset,current_asset,debit,0,,,asset_current,0,,1601,
1602,VAT down payment,asset,current_asset,debit,0,,,asset_current,0,,1602,
1605,VAT receivables,asset,current_asset,debit,0,,,asset_current,0,,1605,
1607,Down payment taxes,asset,current_asset,debit,0,,,asset_current,0,,1607,
1608,Tax credits,asset,current_asset,debit,0,,,asset_current,0,,1608,
1609,Receivables for withholdings incurred,asset,current_asset,debit,0,,,asset_current,0,,1609,
1610,Receivables for deposits,asset,current_asset,debit,0,,,asset_current,0,,1610,
1611,Credits for withholding taxes suffered (support),asset,current_asset,debit,0,,,asset_current,1,,1611,
1620,Staff down payments,asset,current_asset,debit,0,,,asset_current,0,,1620,
1630,Social security institution receivables,asset,current_asset,debit,0,,,asset_current,0,,1630,
1640,Miscellaneous debtors,asset,current_asset,debit,0,,,asset_current,0,,1640,
1901,Accrued income,asset,current_asset,debit,0,,,asset_current,0,,1901,
1902,Prepaid expenses,asset,current_asset,debit,0,,,asset_current,0,,1902,
2101,Net worth,equity,equity,credit,0,,,equity,0,,2101,
2102,Operating profit,income,income,credit,0,,,income,0,,2102,
2103,Operating loss,expense,expense,debit,0,,,expense,0,,2103,
2104,Extra management withdrawals,income,income,credit,0,,,income,0,,2104,
2105,Holder withholdings incurred,equity,equity,credit,0,,,equity,0,,2105,
2201,Provision for taxes,liability,current_liability,credit,0,,,liability_current,0,,2201,
2204,Liability fund,liability,current_liability,credit,0,,,liability_current,0,,2204,
2205,Provision for future expenses,liability,current_liability,credit,0,,,liability_current,0,,2205,
2211,Scheduled maintenance fund,liability,current_liability,credit,0,,,liability_current,0,,2211,
2301,TFRL debts,liability,current_liability,credit,0,,,liability_current,0,,2301,
2410,Mortgages payable,liability,current_liability,credit,0,,,liability_current,0,,2410,
2411,Banks grants,liability,current_liability,credit,0,,,liability_current,0,,2411,
2420,Banks in collection,liability,current_liability,credit,0,,,liability_current,0,,2420,
2421,Banks RIBA account in collection,liability,current_liability,credit,0,,,liability_current,0,,2421,
2422,Banks account bills in collection,liability,current_liability,credit,0,,,liability_current,0,,2422,
2423,Bank account advances on invoices,liability,current_liability,credit,0,,,liability_current,0,,2423,
2440,Debts to other lenders,liability,current_liability,credit,0,,,liability_current,0,,2440,
2501,Accounts payable,liability,payable,credit,0,payables,,liability_payable,1,,2501,
2503,Bills of exchange,liability,current_liability,credit,0,,,liability_current,1,,2503,
2520,Invoices to be received,liability,current_liability,credit,0,,,liability_current,1,,2520,
2521,Debts to be settled,liability,current_liability,credit,0,,,liability_current,1,,2521,
2530,Customers down payments,liability,current_liability,credit,0,,,liability_current,1,,2530,
2601,VAT debt,liability,current_liability,credit,0,,,liability_current,0,,2601,
2602,Payables for withholding taxes to be paid,liability,current_liability,credit,0,,,liability_current,0,,2602,
2603,Debts for withholding taxes to be paid (support),liability,current_liability,credit,0,,,liability_current,1,,2603,
2605,Treasury VAT,liability,payable,credit,0,payables,,liability_payable,1,,2605,
2606,Taxes payable,liability,current_liability,credit,0,,,liability_current,0,,2606,
2607,Funds with VAT Split Payment,liability,payable,credit,0,payables,,liability_payable,1,,2607,
2608,VAT Split Payment,liability,current_liability,credit,0,,,liability_current,0,,2608,
2609,Debts for withholdings to be paid (Pension Fund),liability,payable,credit,0,payables,,liability_payable,1,,2609,
2610,Debts for withholding taxes to be paid (Enasarco),liability,payable,credit,0,payables,,liability_payable,1,,2610,
2611,Debts for withholding taxes to be paid,liability,payable,credit,0,payables,,liability_payable,1,,2611,
2619,Payables for deposits,liability,current_liability,credit,0,,,liability_current,0,,2619,
2620,Staff salaries,liability,current_liability,credit,0,,,liability_current,0,,2620,
2621,Staff liquidations,liability,current_liability,credit,0,,,liability_current,0,,2621,
2622,Customers disposal,liability,current_liability,credit,0,,,liability_current,0,,2622,
2630,Social security debts,liability,current_liability,credit,0,,,liability_current,0,,2630,
2640,Miscellaneous creditors,liability,current_liability,credit,0,,,liability_current,0,,2640,
2701,Accrued expenses,liability,current_liability,credit,0,,,liability_current,0,,2701,
2702,Deferred income,liability,current_liability,credit,0,,,liability_current,0,,2702,
2801,Opening balance,liability,current_liability,credit,0,,,liability_current,0,,2801,
2802,Closing balance sheet,liability,current_liability,credit,0,,,liability_current,0,,2802,
2810,VAT liquidations,liability,current_liability,credit,0,,,liability_current,0,,2810,
2811,Social security institutions,liability,current_liability,credit,0,,,liability_current,0,,2811,
2901,Third-party assets,,off_balance,,0,,,off_balance,0,,2901,off_balance
2902,Depositors of goods,,off_balance,,0,,,off_balance,0,,2902,off_balance
2911,Goods to be received,,off_balance,,0,,,off_balance,0,,2911,off_balance
2912,Supplier commitments,,off_balance,,0,,,off_balance,0,,2912,off_balance
2913,Commitments for leased assets,,off_balance,,0,,,off_balance,0,,2913,off_balance
2914,Lease creditors,,off_balance,,0,,,off_balance,0,,2914,off_balance
2916,Customer engagements,,off_balance,,0,,,off_balance,0,,2916,off_balance
2917,Goods to be delivered,,off_balance,,0,,,off_balance,0,,2917,off_balance
2921,Risks for discounted effects,,off_balance,,0,,,off_balance,0,,2921,off_balance
2922,Banks discounted effects,,off_balance,,0,,,off_balance,0,,2922,off_balance
2926,Risks for surety bonds,,off_balance,,0,,,off_balance,0,,2926,off_balance
2927,Creditors for surety bonds,,off_balance,,0,,,off_balance,0,,2927,off_balance
2931,Risks for endorsements,,off_balance,,0,,,off_balance,0,,2931,off_balance
2932,Creditors for endorsements,,off_balance,,0,,,off_balance,0,,2932,off_balance
3101,Goods w/sales,income,income,credit,0,income,,income,0,,3101,default_for_income
3103,Reimbursement of sales expenses,income,income,credit,0,,,income,0,,3103,
3110,Returns on sales,income,income,credit,0,,,income,0,,3110,
3111,Rebates and rebates payable,income,income,credit,0,,,income,0,,3111,
3112,Premiums on sales,income,income,credit,0,,,income,0,,3112,
3201,Premiums on salesRent income,income,income,credit,0,,,income,0,,3201,
3202,Miscellaneous income,income,income,credit,0,,,income,0,,3202,
3210,Active rounding,income,income,credit,0,,,income,0,,3210,
3220,Miscellaneous ordinary capital gains,income,income,credit,0,,,income,0,,3220,
3230,Miscellaneous ordinary contingent assets,income,income,credit,0,,,income,0,,3230,
3240,Sundry ordinary non-existent assets,income,income,credit,0,,,income,0,,3240,
4101,Goods purchased,expense,expense,debit,0,expense,,expense,0,,4101,default_for_expense
4102,Consumables purchased,expense,expense,debit,0,,,expense,0,,4102,
4105,Goods contributions,expense,expense,debit,0,,,expense,0,,4105,
4110,Returns on purchases,expense,expense,debit,0,,,expense,0,,4110,
4111,Active rebates and discounts,expense,expense,debit,0,,,expense,0,,4111,
4112,Rewards on purchases,expense,expense,debit,0,,,expense,0,,4112,
4121,Goods initial existences,expense,expense,debit,0,,,expense,0,,4121,
4122,Existing consumables,expense,expense,debit,0,,,expense,0,,4122,
4131,Goods closing inventory,expense,expense,debit,0,,,expense,0,,4131,
4132,Consumables closing inventories,expense,expense,debit,0,,,expense,0,,4132,
4201,Transportation costs,expense,expense,debit,0,,,expense,0,,4201,
4202,Energy costs,expense,expense,debit,0,,,expense,0,,4202,
4203,Advertising costs,expense,expense,debit,0,,,expense,0,,4203,
4204,Consulting costs,expense,expense,debit,0,,,expense,0,,4204,
4205,Postal costs,expense,expense,debit,0,,,expense,0,,4205,
4206,Telephone costs,expense,expense,debit,0,,,expense,0,,4206,
4207,Insurance costs,expense,expense,debit,0,,,expense,0,,4207,
4208,Supervisory costs,expense,expense,debit,0,,,expense,0,,4208,
4209,Costs for the premises,expense,expense,debit,0,,,expense,0,,4209,
4210,Motor vehicle operating costs,expense,expense,debit,0,,,expense,0,,4210,
4211,Maintenance and repair costs,expense,expense,debit,0,,,expense,0,,4211,
4212,Commissions payable,expense,expense,debit,0,,,expense,0,,4212,
4213,Collection fees,expense,expense,debit,0,,,expense,0,,4213,
4301,Rents payable,expense,expense,debit,0,,,expense,0,,4301,
4302,Leasing fees,expense,expense,debit,0,,,expense,0,,4302,
4401,Wages and salaries,expense,expense,debit,0,,,expense,0,,4401,
4402,Social charges,expense,expense,debit,0,,,expense,0,,4402,
4403,TFRL,expense,expense,debit,0,,,expense,0,,4403,
4404,Other personnel costs,expense,expense,debit,0,,,expense,0,,4404,
4501,Amortization of start-up costs,expense,expense,debit,0,,,expense,0,,4501,
4506,Software amortization,expense,expense,debit,0,,,expense,0,,4506,
4508,Goodwill amortization,expense,expense,debit,0,,,expense,0,,4508,
4601,Building depreciation,expense,expense,debit,0,,,expense,0,,4601,
4602,Depreciation of plant and machinery,expense,expense,debit,0,,,expense,0,,4602,
4604,Commercial equipment depreciation,expense,expense,debit,0,,,expense,0,,4604,
4605,Depreciation of office machines,expense,expense,debit,0,,,expense,0,,4605,
4606,Furniture depreciation,expense,expense,debit,0,,,expense,0,,4606,
4607,Vehicle depreciation,expense,expense,debit,0,,,expense,0,,4607,
4608,Durable packaging depreciation,expense,expense,debit,0,,,expense,0,,4608,
4701,Durable packaging depreciation,expense,expense,debit,0,,,expense,0,,4701,
4702,Depreciation of tangible fixed assets,expense,expense,debit,0,,,expense,0,,4702,
4706,Impairment of receivables,expense,expense,debit,0,,,expense,0,,4706,
4814,Provision for liability,expense,expense,debit,0,,,expense,0,,4814,
4821,Provision for future expenses,expense,expense,debit,0,,,expense,0,,4821,
4823,Provision for planned maintenance,expense,expense,debit,0,,,expense,0,,4823,
4901,Miscellaneous tax charges,expense,expense,debit,0,,,expense,0,,4901,
4903,Miscellaneous charges,expense,expense,debit,0,,,expense,0,,4903,
4905,Losses on receivables,expense,expense,debit,0,,,expense,0,,4905,
4910,Passive rounding,expense,expense,debit,0,,,expense,0,,4910,
4920,Miscellaneous ordinary capital losses,expense,expense,debit,0,,,expense,0,,4920,
4930,Miscellaneous ordinary contingent liabilities,expense,expense,debit,0,,,expense,0,,4930,
4940,Miscellaneous ordinary nonexistent liabilities,expense,expense,debit,0,,,expense,0,,4940,
5110,Interest income from customers,income,other_income,credit,0,,,income_other,0,,5110,
5115,Bank interest income,income,other_income,credit,0,,,income_other,0,,5115,
5116,Postal interest income,income,other_income,credit,0,,,income_other,0,,5116,
5140,Miscellaneous financial income,income,other_income,credit,0,,,income_other,0,,5140,
5201,Interest expense from/to suppliers,expense,expense,debit,0,,,expense,0,,5201,
5202,Bank interest expense,expense,expense,debit,0,,,expense,0,,5202,
5203,Bank overdrafts,expense,expense,debit,0,,,expense,0,,5203,
5210,Interest expense on mortgages,expense,expense,debit,0,,,expense,0,,5210,
5240,Miscellaneous financial charges,expense,expense,debit,0,,,expense,0,,5240,
8101,Taxes for the year,expense,expense,debit,0,,,expense,0,,8101,
9101,Economic performance account,expense,expense,debit,0,,,expense,0,,9101,
9102,État patrimonial,expense,expense,debit,0,,,expense,0,,9102,
