code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
110000,Buildings and Structures,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110000,
110100,Buildings and Structures - Accumulated Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110100,
110200,Machinery and Equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110200,
110300,Machinery and Equipment - Accumulated Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110300,
110400,"Tools, Furniture and Fixtures",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110400,
110500,"Tools, Furniture and Fixtures - Accumulated Depreciation",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110500,
110600,Land,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_jp_110600,
121000,Current Assets,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_121000,
121100,Stock Valuation Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_121100,
121200,Stock Interim Account (Received),asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_121200,
121300,Stock Interim Account (Delivered),asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_121300,
122000,Merchandise,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122000,
122100,Finished Goods,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122100,
122200,Semi-finished Goods,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122200,
122300,Inventory in Transit,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122300,
122400,Work in Process,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122400,
122500,Raw Materials,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122500,
122600,Materials,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122600,
122700,Advance Payments,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122700,
122800,Prepaid Expenses,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122800,
122900,Advances Paid,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_122900,
123000,Suspense Payments,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123000,
123100,Lease/Guarantee Deposits,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123100,
123200,Consumption Tax - Purchase,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123200,
123300,Bad Debt Allowance,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123300,
123400,Accrued Income,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123400,
123500,Securities,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123500,
123600,Liquidity Transfer,asset,current_asset,debit,0,,,asset_current,1,,l10n_jp_123600,
123700,Outstanding Payments,asset,current_asset,debit,0,,,asset_current,1,,l10n_jp_123700,
123800,Outstanding Receipts,asset,current_asset,debit,0,,,asset_current,1,,l10n_jp_123800,
123900,Bank Suspense Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_123900,
124000,Deposit,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_120003,
124100,Time Deposit,asset,current_asset,debit,0,,,asset_current,0,,l10n_jp_120004,
126000,Accounts Receivable - Trade,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_jp_126000,
126200,Accounts Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_jp_126200,
126300,Notes Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_jp_126300,
126400,Notes Discount,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_jp_126400,
210000,Non-current Liabilities,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210000,
210100,Software,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210100,
210200,Software in Progress,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210200,
210300,Other Intangible Asset,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210300,
210400,Investment Securities,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210400,
210500,Shares of Subsidiaries and Associates,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210500,
210600,Long-term Loans Receivable,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210600,
210700,Long-term Prepaid Expenses,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210700,
210800,Deferred Organization Expenses,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_jp_210800,
220000,Accounts Payable - Trade,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220000,
220200,Notes Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220200,
220400,Short-term Loans Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220400,
220500,Current Portion of Long-term Loans Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220500,
220600,Accounts Payable - Other,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220600,
220700,Accounts Payable - Credit Card,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220700,
220800,Dividends Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_jp_220800,
220900,Capital Stock,equity,equity,credit,0,,,equity,0,,l10n_jp_220900,
221000,Legal Capital Surplus,equity,equity,credit,0,,,equity,0,,l10n_jp_221000,
221100,Other Capital Surplus,equity,equity,credit,0,,,equity,0,,l10n_jp_221100,
221200,Legal Retained Earnings,equity,equity,credit,0,,,equity,0,,l10n_jp_221200,
221300,Reserve for Special Depreciation,equity,equity,credit,0,,,equity,0,,l10n_jp_221300,
221400,Voluntary Retained Earnings,equity,equity,credit,0,,,equity,0,,l10n_jp_221400,
221500,Retained Earnings Brought Forward,equity,equity,credit,0,,,equity,0,,l10n_jp_221500,
330000,Current Liabilities,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330000,
330200,Accrued Expenses,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330200,
330300,Income Taxes Payable,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330300,
330400,Advances Received,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330400,
330500,Deposits Received,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330500,
330600,Suspense Receipt,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330600,
330700,Provision for Bonuses,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330700,
330800,Consumption Tax - Sales,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330800,
330900,Bonds Payable,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_330900,
331000,Long-term Loans Payable,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_331000,
331100,Provision for Retirement Benefits,liability,current_liability,credit,0,,,liability_current,0,,l10n_jp_331100,
410000,Net Sales,income,income,credit,0,income,,income,0,,l10n_jp_410000,default_for_income
424000,Foreign Exchange Gain,income,income,credit,0,,,income,0,,l10n_jp_424000,
425000,Cash Discount Gain,income,other_income,credit,0,,,income_other,0,,l10n_jp_425000,
425200,Purchase Price Difference,income,other_income,credit,0,,,income_other,0,,l10n_jp_425200,
425300,Inventory Adjustment,income,other_income,credit,0,,,income_other,0,,l10n_jp_425300,
425400,Interest Income,income,other_income,credit,0,,,income_other,0,,l10n_jp_425400,
425500,Dividend Income,income,other_income,credit,0,,,income_other,0,,l10n_jp_425500,
