code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
0010,Software,asset,non_current_asset,debit,0,,,asset_non_current,0,,ke0010,
0020,Patents & Trademarks,asset,non_current_asset,debit,0,,,asset_non_current,0,,ke0020,
0030,Fixtures and fittings,asset,fixed_asset,debit,0,,,asset_fixed,0,,ke0030,
0040,Land and buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,ke0040,
0050,Motor vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,,ke0050,
0060,Office equipment (inc computer equipment),asset,fixed_asset,debit,0,,,asset_fixed,0,,ke0060,
0070,Plant and machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,,ke0070,
0080,Financial assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,ke0080,
0090,Biological assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,ke0090,
1001,Stock,asset,current_asset,debit,0,,,asset_current,1,,ke1001,
100110,Stock Interim (Received),asset,current_asset,debit,0,,,asset_current,1,,ke100110,
100120,Stock Interim (Delivered),asset,current_asset,debit,0,,,asset_current,1,,ke100120,
1002,Work in Progress,asset,current_asset,debit,0,,,asset_current,0,,ke1002,
1003,Finished Goods,asset,current_asset,debit,0,,,asset_current,0,,ke1003,
1100,Debtors Control Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,ke1100,
110010,Debtors Control Account (POS),asset,receivable,debit,0,receivables,,asset_receivable,1,,ke110010,
1101,Sundry Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,ke1101,
1102,Other Debtors,asset,current_asset,debit,0,,,asset_current,0,,ke1102,
1103,Prepayments,asset,prepayment,debit,0,,,asset_prepayments,0,,ke1103,
1110,Purchase Tax Control Account,asset,current_asset,debit,0,,,asset_current,0,,ke1110,
1111,KRA - VAT receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,ke1111,
1120,Withholding Tax Advance on Sales,asset,current_asset,debit,0,,,asset_current,1,,ke1120,
112001,Withholding Tax Advance on Sales - Transition account,asset,current_asset,debit,0,,,asset_current,1,,ke112001,
120011,Deferred Expenses (Automatics),asset,current_asset,debit,0,,,asset_current,0,,ke120011,
2100,Creditors Control Account,liability,payable,credit,0,payables,,liability_payable,1,,ke2100,
2101,Sundry Creditors,liability,current_liability,credit,0,,,liability_current,0,,ke2101,
2102,Other Creditors,liability,current_liability,credit,0,,,liability_current,0,,ke2102,
2103,Accruals,liability,current_liability,credit,0,,,liability_current,0,,ke2103,
2104,Company Credit Card,liability,credit_card,credit,0,,,liability_credit_card,0,,ke2104,
2105,Bad debt provision,liability,current_liability,credit,0,,,liability_current,0,,ke2105,
21055,Catering Levy Received,liability,current_liability,credit,0,,,liability_current,0,,ke21055,
2106,Catering Levy due to Tourism Fund,liability,payable,credit,0,payables,,liability_payable,1,,ke2106,
211000,Deferred Revenue,liability,current_liability,credit,0,,,liability_current,0,,ke211000,
2200,Sales Tax Control Account,liability,current_liability,credit,0,,,liability_current,0,,ke2200,
2201,KRA - VAT payable,liability,payable,credit,0,payables,,liability_payable,1,,ke2201,
2202,Manual Adjustments & VAT,liability,current_liability,credit,0,,,liability_current,0,,ke2202,
2203,Withholding Tax Payable,liability,current_liability,credit,0,,,liability_current,1,,ke2203,
220301,Withholding Tax Payable - Transition account,liability,current_liability,credit,0,,,liability_current,1,,ke220301,
2210,P.A.Y.E. & NI,liability,payable,credit,0,payables,,liability_payable,1,,ke2210,
2220,Net Wages,liability,payable,credit,0,payables,,liability_payable,1,,ke2220,
2230,Pension Fund,liability,payable,credit,0,payables,,liability_payable,1,,ke2230,
2231,SHIF (Formerly NHIF),liability,payable,credit,0,payables,,liability_payable,1,,ke2231,
2232,HELB,liability,payable,credit,0,payables,,liability_payable,1,,ke2232,
2233,Payroll Medical Insurance,liability,payable,credit,0,payables,,liability_payable,1,,ke2233,
2234,Life Insurance,liability,payable,credit,0,payables,,liability_payable,1,,ke2234,
2235,Education Insurance,liability,payable,credit,0,payables,,liability_payable,1,,ke2235,
2240,Corporation Tax,liability,payable,credit,0,payables,,liability_payable,1,,ke2240,
2300,Loans,liability,non_current_liability,credit,0,,,liability_non_current,0,,ke2300,
2310,Hire Purchase,liability,non_current_liability,credit,0,,,liability_non_current,0,,ke2310,
2320,Mortgages,liability,non_current_liability,credit,0,,,liability_non_current,0,,ke2320,
3000,Called up share capital,equity,equity,credit,0,,,equity,0,,ke3000,
3010,Share premium account,equity,equity,credit,0,,,equity,0,,ke3010,
3020,Revaluation reserve,equity,equity,credit,0,,,equity,0,,ke3020,
3030,Other reserves,equity,equity,credit,0,,,equity,0,,ke3030,
3040,Capital,equity,equity,credit,0,,,equity,0,,ke3040,
4001,Sales category 1,income,income,credit,0,income,,income,0,,ke4001,default_for_income
4002,Sales category 2,income,income,credit,0,,,income,0,,ke4002,
4003,Sales category 3,income,income,credit,0,,,income,0,,ke4003,
4004,Sales category 4,income,income,credit,0,,,income,0,,ke4004,
4005,Bank Interest received,income,income,credit,0,,,income,0,,ke4005,
4006,Investment Interest received,income,income,credit,0,,,income,0,,ke4006,
4007,Revenue Income,income,income,credit,0,,,income,0,,ke4007,
400710,Cash Discount Gain,income,other_income,credit,0,,,income_other,0,,ke400710,
4008,Profits/Losses on disposals of assets,income,income,credit,0,,,income,0,,ke4008,
4010,Other Income,income,other_income,credit,0,,,income_other,0,,ke4010,
5001,Cost of sales 1,expense,direct_cost,debit,0,expense,,expense_direct_cost,0,,ke5001,default_for_expense
500105,Stock Variation,expense,expense,debit,0,,,expense,0,,ke500105,
5002,Cost of sales 2,expense,direct_cost,debit,0,,,expense_direct_cost,0,,ke5002,
5003,Cost of sales 3,expense,direct_cost,debit,0,,,expense_direct_cost,0,,ke5003,
5004,Cost of sales 4,expense,direct_cost,debit,0,,,expense_direct_cost,0,,ke5004,
5101,Marketing,expense,expense,debit,0,,,expense,0,,ke5101,
5102,Exhibitions and events,expense,expense,debit,0,,,expense,0,,ke5102,
5103,PR,expense,expense,debit,0,,,expense,0,,ke5103,
5104,Distribution vehicles,expense,expense,debit,0,,,expense,0,,ke5104,
5105,Distribution salaries and wages,expense,expense,debit,0,,,expense,0,,ke5105,
5106,Shipping,expense,expense,debit,0,,,expense,0,,ke5106,
5107,Directors pension,expense,expense,debit,0,,,expense,0,,ke5107,
5108,Directors remuneration,expense,expense,debit,0,,,expense,0,,ke5108,
5109,Gross Salaries,expense,expense,debit,0,,,expense,0,,ke5109,
510910,NSSF Employer Contribution,expense,expense,debit,0,,,expense,0,,ke510910,
510920,AHL Employer Contribution,expense,expense,debit,0,,,expense,0,,ke510920,
510930,NITA,expense,expense,debit,0,,,expense,0,,ke510930,
5110,Employers SDL & UIF,expense,expense,debit,0,,,expense,0,,ke5110,
5111,Subcontractors payments,expense,expense,debit,0,,,expense,0,,ke5111,
5112,Rent and rates,expense,expense,debit,0,,,expense,0,,ke5112,
5113,Light / heat and power,expense,expense,debit,0,,,expense,0,,ke5113,
5114,Repairs and maintenance,expense,expense,debit,0,,,expense,0,,ke5114,
5115,Car hire,expense,expense,debit,0,,,expense,0,,ke5115,
5116,Car fuel,expense,expense,debit,0,,,expense,0,,ke5116,
5117,Car maintenance,expense,expense,debit,0,,,expense,0,,ke5117,
5118,Telephone,expense,expense,debit,0,,,expense,0,,ke5118,
5119,Internet & hosting,expense,expense,debit,0,,,expense,0,,ke5119,
5120,Mobiles,expense,expense,debit,0,,,expense,0,,ke5120,
5121,Stationery,expense,expense,debit,0,,,expense,0,,ke5121,
5122,Office consumables,expense,expense,debit,0,,,expense,0,,ke5122,
5123,Postage and Carriage,expense,expense,debit,0,,,expense,0,,ke5123,
5124,Books,expense,expense,debit,0,,,expense,0,,ke5124,
5125,Network costs,expense,expense,debit,0,,,expense,0,,ke5125,
5126,Software expenses,expense,expense,debit,0,,,expense,0,,ke5126,
5127,Other computer costs,expense,expense,debit,0,,,expense,0,,ke5127,
