code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
10100,Stock of Raw Materials & Supplies,asset,current_asset,debit,0,,A14 Stock of Raw Materials & Supplies,asset_current,1,,l10n_kh_account_10100,
10200,Stock of Goods,asset,current_asset,debit,0,,A15 Stock of Goods,asset_current,1,,l10n_kh_account_10200,
10210,Stock Interim (Received),asset,current_asset,debit,0,,A15 Stock of Goods,asset_current,1,,l10n_kh_account_10210,
10220,Stock Interim (Delivered),asset,current_asset,debit,0,,A15 Stock of Goods,asset_current,1,,l10n_kh_account_10220,
10300,Stock of Finished Products,asset,current_asset,debit,0,,A16 Stock of Finished Products,asset_current,0,,l10n_kh_account_10300,
10400,Products in progress,asset,current_asset,debit,0,,A17 Products in progress,asset_current,0,,l10n_kh_account_10400,
10500,Accounts Receivable / Trade Debtors,asset,receivable,debit,0,receivables,A18 Accounts Receivable / Trade Debtors,asset_receivable,1,,l10n_kh_account_10500,
10501,Accounts Receivable / Trade Debtors (PoS),asset,receivable,debit,0,receivables,A18 Accounts Receivable / Trade Debtors,asset_receivable,1,,l10n_kh_account_10501,
10600,Other Accounts Receivable,asset,receivable,debit,0,receivables,A19 Other Accounts Receivable,asset_receivable,1,,l10n_kh_account_10600,
10700,Prepaid Expenses,asset,prepayment,debit,0,,A20 Prepaid Expenses,asset_prepayments,0,,l10n_kh_account_10700,
10800,Cash on Hand,asset,cash_bank,debit,0,cash_bank,A21 Cash on Hand,asset_cash,0,,l10n_kh_account_10800,
10900,Cash in Banks,asset,cash_bank,debit,0,cash_bank,A22 Cash in Banks,asset_cash,0,,l10n_kh_account_10900,
10901,Bank Suspense Account,asset,current_asset,debit,0,,A22 Cash in Banks,asset_current,0,,l10n_kh_account_10901,
10902,Liquidity Transfer,asset,current_asset,debit,0,,A22 Cash in Banks,asset_current,1,,l10n_kh_account_10902,
11000,Credit on Prepayment on income tax,asset,current_asset,debit,0,,A23 Credit on Prepayment on income tax,asset_current,0,,l10n_kh_account_11000,
11100,Value added tax credit,asset,receivable,debit,0,receivables,A24 Value added tax credit,asset_receivable,1,,l10n_kh_account_11100,
11200,Other Taxes Receivable,asset,receivable,debit,0,receivables,A25 Other Taxes Receivable,asset_receivable,1,,l10n_kh_account_11200,
11201,Withholding tax receivable,asset,receivable,debit,0,receivables,A25 Other Taxes Receivable,asset_receivable,1,,l10n_kh_account_11201,
11300,Other current assets,asset,current_asset,debit,0,,A26 Other current assets,asset_current,0,,l10n_kh_account_11300,
11301,VAT Input,asset,current_asset,debit,0,,A26 Other current assets,asset_current,0,,l10n_kh_account_11301,
11302,WHT Credit,asset,current_asset,debit,0,,A26 Other current assets,asset_current,0,,l10n_kh_account_11302,
11303,Other Taxes Paid,asset,current_asset,debit,0,,A26 Other current assets,asset_current,0,,l10n_kh_account_11303,
11400,Gain/loss on currency translation of assets,asset,current_asset,debit,0,,A27 Gain/(loss) on currency translation of assets,asset_current,0,,l10n_kh_account_11400,
12100,Freehold Land,asset,fixed_asset,debit,0,,A2 Freehold Land,asset_fixed,0,,l10n_kh_account_12100,
12200,Improvement and Preparation of Land,asset,fixed_asset,debit,0,,A3 Improvement and Preparation of Land,asset_fixed,0,,l10n_kh_account_12200,
12300,Freehold Buildings,asset,fixed_asset,debit,0,,A4 Freehold Buildings,asset_fixed,0,,l10n_kh_account_12300,
12310,Accumulated Depreciation on Freehold Buildings,asset,fixed_asset,debit,0,,A4 Freehold Buildings,asset_fixed,0,,l10n_kh_account_12310,
12400,Freehold buildings on leasehold land,asset,fixed_asset,debit,0,,A5 Freehold buildings on leasehold land,asset_fixed,0,,l10n_kh_account_12400,
12500,Non-current assets in progress,asset,fixed_asset,debit,0,,A6 Non-current assets in progress,asset_fixed,0,,l10n_kh_account_12500,
12600,Plant and Equipment,asset,fixed_asset,debit,0,,A7 Plant and Equipment,asset_fixed,0,,l10n_kh_account_12600,
12620,Accumulated Depreciation on Plant and Equipment,asset,fixed_asset,debit,0,,A7 Plant and Equipment,asset_fixed,0,,l10n_kh_account_12620,
12700,Goodwill,asset,non_current_asset,debit,0,,A8 Goodwill,asset_non_current,0,,l10n_kh_account_12700,
12800,Preliminary business formation expenses,asset,non_current_asset,debit,0,,A9 Preliminary business formation expenses,asset_non_current,0,,l10n_kh_account_12800,
