code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
111101,Cash,asset,cash_bank,debit,0,cash_bank,Assets / Current Assets / Quick Assets / Cash and Cash Equivalents,asset_cash,0,,l10n_kr_111101,
111102,Current Deposit,asset,cash_bank,debit,0,cash_bank,Assets / Current Assets / Quick Assets / Cash and Cash Equivalents,asset_cash,0,,l10n_kr_111102,
111103,Ordinary Deposit,asset,cash_bank,debit,0,cash_bank,Assets / Current Assets / Quick Assets / Cash and Cash Equivalents,asset_cash,0,,l10n_kr_111103,
111201,Trading Securities,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Short-term Investments,asset_current,0,,l10n_kr_111201,
111202,Other short-term Financial Instruments,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Short-term Investments,asset_current,0,,l10n_kr_111202,
111203,Short-term Deposit,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Short-term Investments,asset_current,0,,l10n_kr_111203,
111204,Short-term Trading Securities,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Short-term Investments,asset_current,0,,l10n_kr_111204,
111205,Marketable Securities,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Short-term Investments,asset_current,0,,l10n_kr_111205,
111206,Held-to-Maturity Securities,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Short-term Investments,asset_current,0,,l10n_kr_111206,
111301,Accounts Receivable,asset,receivable,debit,0,receivables,Assets / Current Assets / Quick Assets / Trade Receivables,asset_receivable,1,,l10n_kr_111301,
111302,Allowance for Bad Debts - A／R,asset,receivable,debit,0,receivables,Assets / Current Assets / Quick Assets / Trade Receivables,asset_receivable,1,,l10n_kr_111302,
111303,Account Receivable (POS),asset,receivable,debit,0,receivables,Assets / Current Assets / Quick Assets / Trade Receivables,asset_receivable,1,,l10n_kr_111303,
111304,Allowance for Bad Debts - A／R (POS),asset,receivable,debit,0,receivables,Assets / Current Assets / Quick Assets / Trade Receivables,asset_receivable,1,,l10n_kr_111304,
111305,Notes Receivable,asset,receivable,debit,0,receivables,Assets / Current Assets / Quick Assets / Trade Receivables,asset_receivable,1,,l10n_kr_111305,
111306,Allowance for Bad Debts - N／R,asset,receivable,debit,0,receivables,Assets / Current Assets / Quick Assets / Trade Receivables,asset_receivable,1,,l10n_kr_111306,
111401,Prepaid Expenses,asset,prepayment,debit,0,,Assets / Current Assets / Quick Assets / Prepaid Expenses,asset_prepayments,0,,l10n_kr_111401,
111501,Deferred tax assets (Current),asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Deferred tax assets (Current Asset),asset_current,0,,l10n_kr_111501,
111601,Accrued revenue,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111601,
111602,Short-term Loans,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111602,
111603,Receivables,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111603,
111604,Advances to Vendors,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111604,
111605,Advances to Employees,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111605,
111606,VAT Receivable/Refund,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111606,
111607,Prepaid Taxes,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111607,
111608,Outstanding Receipts,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111608,
111609,Outstanding Payments,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111609,
111610,Bank Suspense Account,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,0,,l10n_kr_111610,
111611,Liquidity Transfer,asset,current_asset,debit,0,,Assets / Current Assets / Quick Assets / Other Cash and Cash Equivalents,asset_current,1,,l10n_kr_111611,
112101,Merchandise,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Merchandise,asset_current,0,,l10n_kr_112101,
112102,Merchandise Custom Duties Reimbursed,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Merchandise,asset_current,0,,l10n_kr_112102,
112201,Finished Goods,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Finished Goods,asset_current,0,,l10n_kr_112201,
112202,Finished Goods Custom Duties Reimbursed,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Finished Goods,asset_current,0,,l10n_kr_112202,
112301,Semi-Finished Goods,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Semi-Finished Goods,asset_current,0,,l10n_kr_112301,
112401,Work In Progress,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Work In Progress,asset_current,0,,l10n_kr_112401,
112501,Raw Materials,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Raw Materials,asset_current,0,,l10n_kr_112501,
112502,Raw Materials (Sub-Materials),asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Raw Materials,asset_current,0,,l10n_kr_112502,
112602,Supplies,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Supplies,asset_current,0,,l10n_kr_112602,
112701,Goods in transit,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Other Inventories,asset_current,0,,l10n_kr_112701,
112702,Stock Interim (Received),asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Other Inventories,asset_current,0,,l10n_kr_112702,
112703,Stock Interim (Delivered),asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Other Inventories,asset_current,0,,l10n_kr_112703,
112704,Cost of Production,asset,current_asset,debit,0,,Assets / Current Assets / Inventories / Other Inventories,asset_current,0,,l10n_kr_112704,
121101,Investment property,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Investment property,asset_non_current,0,,l10n_kr_121101,
121201,Long-term Financial Instruments,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Long-term securities,asset_non_current,0,,l10n_kr_121201,
121202,Restricted Bank and Cash,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Long-term securities,asset_non_current,0,,l10n_kr_121202,
121301,Investments accounted for using equity method,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Investments accounted for using equity method,asset_non_current,0,,l10n_kr_121301,
121401,Long-term Loans,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Long-term Loans,asset_non_current,0,,l10n_kr_121401,
121402,Long-term Receivables,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Long-term Loans,asset_non_current,0,,l10n_kr_121402,
121501,Long-term Trade Receivables,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Other Investments,asset_non_current,0,,l10n_kr_121501,
121502,Present Value Discount,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Other Investments,asset_non_current,0,,l10n_kr_121502,
121503,Allowance for Long-term Accounts Receivable Loan Loss,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Other Investments,asset_non_current,0,,l10n_kr_121503,
121504,dishonored bills and checks,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Other Investments,asset_non_current,0,,l10n_kr_121504,
121505,Allowance for bad debts and checks,asset,non_current_asset,debit,0,,Assets / Non-current assets / Investments / Other Investments,asset_non_current,0,,l10n_kr_121505,
122101,Land,asset,fixed_asset,debit,0,,"Assets / Non-current assets / Property, plant and equipment / Land",asset_fixed,0,,l10n_kr_122101,
122201,Buildings,asset,fixed_asset,debit,0,,"Assets / Non-current assets / Property, plant and equipment / Tangible Assets",asset_fixed,0,,l10n_kr_122201,
122202,Accu. Depreciation - Buildings,asset,fixed_asset,debit,0,,"Assets / Non-current assets / Property, plant and equipment / Tangible Assets",asset_fixed,0,,l10n_kr_122202,
122203,Construct,asset,fixed_asset,debit,0,,"Assets / Non-current assets / Property, plant and equipment / Tangible Assets",asset_fixed,0,,l10n_kr_122203,
122204,Accu. Depreciation - Construct,asset,fixed_asset,debit,0,,"Assets / Non-current assets / Property, plant and equipment / Tangible Assets",asset_fixed,0,,l10n_kr_122204,
122205,Machinery,asset,fixed_asset,debit,0,,"Assets / Non-current assets / Property, plant and equipment / Tangible Assets",asset_fixed,0,,l10n_kr_122205,
