code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101000,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_lk_account_101000,
101100,Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_lk_account_101100,
101200,Liquidity Transfer,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_lk_account_101200,
101300,Bank Suspense Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_101300,
111000,Trade Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_lk_account_111000,
111001,Trade Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_lk_account_111001,
112000,Due from Related Companies,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_lk_account_112000,
113000,Staff Loan Receivables,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_113000,
114000,VAT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_lk_account_114000,
114100,WHT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_lk_account_114100,
115000,Income Tax Refund Due,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_115000,
116000,Tax Paid,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_116000,
117000,Tax Withheld,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_117000,
118000,Other Taxes Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_lk_account_118000,
121000,Investment in Fixed Deposits,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_121000,
131000,Prepaid Expenses,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_lk_account_131000,
141000,Stock Valuation,asset,current_asset,debit,0,,,asset_current,0,,l10n_lk_account_141000,
141300,Cost of Production,asset,current_asset,debit,0,,,asset_current,1,,l10n_lk_account_141300,
141400,Work in Progress,asset,current_asset,debit,0,,,asset_current,1,,l10n_lk_account_141400,
151000,"Property, Plant and Equipment",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_lk_account_151000,
151100,Accumulated Depreciation - PPE,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_lk_account_151100,
161000,Intangible Assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_lk_account_161000,
161100,Accumulated Amortization,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_lk_account_161100,
171000,Investment in Quoted Shares,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_lk_account_171000,
181000,Deferred Tax Assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_lk_account_181000,
201000,Bank Overdraft,liability,current_liability,credit,0,,,liability_current,0,,l10n_lk_account_201000,
