code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1130,Software Acquisition Cost,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_account_template_1130,
1138,Amortization of Software Value (-),asset,non_current_asset,debit,0,,,asset_non_current,0,,account_account_template_1138,
1200,Land Acquisition Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1200,
1201,Change of Land Value after Revaluation,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1201,
1210,Acquisition Cost of Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1210,
1212,Buildings being Prepared for Use,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1212,
1217,Depreciation of the Acquisition Cost of Buildings (-),asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1217,
1220,Acquisition Cost of Machinery and Equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1220,
1222,Machinery and Equipment being Prepared for Use,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1222,
1227,Depreciation of the Acquisition Cost of Machinery and Equipment (-),asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1227,
1230,Acquisition Cost of Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1230,
1232,Vehicles being Prepared for Use,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1232,
1237,Depreciation of the Acquisition Cost of Vehicles (-),asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1237,
1240,"Acquisition Cost of Other Equipment, Appliances and Tools",asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1240,
1242,"Other Equipment, Appliances and Tools being Prepared for Use",asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1242,
1247,"Depreciation of the Acquisition Cost of Other Equipment, Appliances and Tools (-)",asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1247,
12500,Cost of the Acquisition of Land as Investment Property,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_12500,
12509,Value Loss of the Land as Investment Property (-),asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_12509,
12510,Cost of the Acquisition of Buildings as Investment Property,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_12510,
12517,Depreciation of the Acquisition Cost of Buildings as Investment Property (-),asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_12517,
12519,Value Loss of Buildings as Investment Property (-),asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_12519,
1260,Advance Payments for Long-Term Tangible Assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_template_1260,
