code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101,Subscribed capital,equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Subscribed capital",equity,0,,lu_2011_account_101,
102,Subscribed capital not called,asset,fixed_asset,debit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Subscribed capital not called",asset_fixed,0,,lu_2011_account_102,
103,Subscribed capital called but unpaid,asset,fixed_asset,debit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Subscribed capital called but unpaid",asset_fixed,0,,lu_2011_account_103,
104,"Capital of individual companies, corporate partnerships and similar",equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Capital of individual companies, corporate partnerships and similar",equity,0,,lu_2020_account_104,
105,Endowment of branches,equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Endowment of branches",equity,0,,lu_2011_account_105,
10611,Cash withdrawals (daily life),equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Account of the owner or the co-owners",equity,0,,lu_2011_account_10611,
10612,"Withdrawals of merchandise, finished products and services (at cost)",equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Account of the owner or the co-owners",equity,0,,lu_2011_account_10612,
10613,Private share of medical services expenses,equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Account of the owner or the co-owners",equity,0,,lu_2011_account_10613,
106141,Life insurance,equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Account of the owner or the co-owners",equity,0,,lu_2011_account_106141,
106142,Accident insurance,equity,equity,credit,0,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS / Subscribed capital or branches' assigned capital and owner's account / Account of the owner or the co-owners",equity,0,,lu_2011_account_106142,
