code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1111,Share Capital,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Corporate or Personal Capital,equity,0,,pcg_1111,
1112,Endowment Funds,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Corporate or Personal Capital,equity,0,,pcg_1112,
11171,Individual Capital,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Corporate or Personal Capital,equity,0,,pcg_11171,
11175,Owner's Account,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Corporate or Personal Capital,equity,0,,pcg_11175,
1119,"Shareholders, Uncalled Subscribed Capital",equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Corporate or Personal Capital,equity,0,,pcg_1119,
1121,Share Premiums,equity,equity,credit,0,,"Permanent Funding / Shareholders' Equity / Share, Merger and Contribution Premiums",equity,0,,pcg_1121,
1122,Merger Premiums,equity,equity,credit,0,,"Permanent Funding / Shareholders' Equity / Share, Merger and Contribution Premiums",equity,0,,pcg_1122,
1123,Contribution Premiums,equity,equity,credit,0,,"Permanent Funding / Shareholders' Equity / Share, Merger and Contribution Premiums",equity,0,,pcg_1123,
1130,Revaluation Differences,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Revaluation Differences,equity,0,,pcg_1130,
1140,Legal Reserve,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Legal Reserve,equity,0,,pcg_1140,
1151,Statutory or Contractual Reserves,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Other Reserves,equity,0,,pcg_1151,
1152,Optional Reserves,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Other Reserves,equity,0,,pcg_1152,
1155,Regulated Reserves,equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Other Reserves,equity,0,,pcg_1155,
1161,Retained Result (Credit Balance),equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Retained Result,equity,0,,pcg_1161,
1169,Retained Result (Debit Balance),equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Retained Result,equity,0,,pcg_1169,
1181,Net Results Pending Allocation (Credit Balance),equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Net Results Pending Allocation,equity,0,,pcg_1181,
1189,Net Results Pending Allocation (Debit Balance),equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Net Results Pending Allocation,equity,0,,pcg_1189,
1191,Net Result for the Fiscal Year (Credit Balance),equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Net Result for the Fiscal Year,equity,0,,pcg_1191,
1199,Net Result for the Fiscal Year (Debit Balance),equity,equity,credit,0,,Permanent Funding / Shareholders' Equity / Net Result for the Fiscal Year,equity,0,,pcg_1199,
1311,Investment Grants Received,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Investment Grants,equity,0,,pcg_1311,
1319,Investment Grants Recorded in the Income and Expense Account,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Investment Grants,equity,0,,pcg_1319,
1351,Provisions for Accelerated Depreciations,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Regulated Provisions,equity,0,,pcg_1351,
1352,Provisions for Capital Gains Pending Taxation,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Regulated Provisions,equity,0,,pcg_1352,
1354,Provisions for Investments,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Regulated Provisions,equity,0,,pcg_1354,
1355,Provisions for Reconstitution of Deposits,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Regulated Provisions,equity,0,,pcg_1355,
1356,Provisions for Acquisition and Construction of Housing,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Regulated Provisions,equity,0,,pcg_1356,
1358,Other Regulated Provisions,equity,equity,credit,0,,Permanent Funding / Related Shareholders' Equity / Regulated Provisions,equity,0,,pcg_1358,
1410,Bond Loans,liability,non_current_liability,credit,0,,Permanent Funding / Financial Debts / Bond Loans,liability_non_current,0,,pcg_1410,
1481,Loans from Credit Institutions,liability,non_current_liability,credit,0,,Permanent Funding / Financial Debts / Other Financial Liabilities,liability_non_current,0,,pcg_1481,
1482,Advances from the State,liability,non_current_liability,credit,0,,Permanent Funding / Financial Debts / Other Financial Liabilities,liability_non_current,0,,pcg_1482,
1483,Liabilities Related to Equity Investments,liability,non_current_liability,credit,0,,Permanent Funding / Financial Debts / Other Financial Liabilities,liability_non_current,0,,pcg_1483,
1484,Fund Notes,liability,non_current_liability,credit,0,,Permanent Funding / Financial Debts / Other Financial Liabilities,liability_non_current,0,,pcg_1484,
