code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
10010101,Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,account_template_1001_0101,
10030101,A petty cash fund,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,account_template_1003_0101,
11010101,Money in the bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,account_template_1101_0101,
11030101,Time deposits,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,account_template_1103_0101,
11040101,Bank payment terminal,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,account_template_1104_0101,
11090101,Money on the road,asset,current_asset,debit,0,,,asset_current,1,,account_template_1109_0101,
11100101,Other cash equivalents,asset,current_asset,debit,0,,,asset_current,0,,account_template_1110_0101,
12010101,Trade receivables Enterprise,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1201_0101,
12010201,Trade Receivable Individual,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1201_0201,
12010202,Trade Receivables Individual (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1201_0202,
12010301,Trade Receivables Related Party,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1201_0301,
12020101,Accounts receivable,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1202_0101,
12030101,Bad debt deduction,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1203_0101,
12040101,Prepaid CIT,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0101,
12040201,Prepaid VAT (PRC),asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0201,
12040301,Prepaid VAT,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0301,
12040302,Deferred VAT /Buildings/,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0302,
12040303,Deferred VAT /Machines and equipment/,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0303,
12040304,Deferred VAT /Exploratory assessment/,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0304,
12040401,Customs duty paid in advance,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0401,
12040501,Prepaid Real Estate Taxes,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0501,
12040601,Prepaid Land Charges,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0601,
12040701,Prepaid VAT (АТӨЯХАТ),asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0701,
12040801,Prepaid Air Pollution Tax,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0801,
12040901,Prepaid Excise Duty,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_0901,
12041001,Prepaid Natural Resource Usage Charges,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_1001,
12049901,Other taxes paid in advance,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1204_9901,
12049902,Prepaid Taxes - Current Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1204_9902,
12050101,"Prepaid ED, NDSH",asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1205_0101,
12050201,Prepaid Voluntary Insurance Premiums,asset,prepayment,debit,0,,,asset_prepayments,0,,account_template_1205_0201,
12060101,Payday Advances and Short Term Loans,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0101,
12060201,Payments and shortages,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0201,
12060301,Non-trade receivables Enterprise,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0301,
12060401,Non-trade receivables Individuals,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0401,
12060501,Non-trade receivables Related party,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0501,
12060601,Short-term loan receivables Enterprise,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0601,
12060701,Short-term loan receivables Individuals,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0701,
12060801,Short Term Loans Receivable Related Party,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0801,
12060901,Dividends Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_0901,
12061001,Pledged receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_1001,
12061101,Interest receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_1101,
12061201,Fixed Assets Trade Receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_1201,
12061301,Intangible assets trade receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_1301,
12061401,Investment trade receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_1401,
12069901,Other non-trade receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_1206_9901,
13010101,Liquid securities,asset,current_asset,debit,0,,,asset_current,0,,account_template_1301_0101,
13010201,Term deposits,asset,current_asset,debit,0,,,asset_current,0,,account_template_1301_0201,
13020101,Financial assets at fair value as other comprehensive income,asset,current_asset,debit,0,,,asset_current,0,,account_template_1302_0101,
13030101,Financial cost expressed as amortized cost,asset,current_asset,debit,0,,,asset_current,0,,account_template_1303_0101,
14010101,Inventory in warehouse,asset,current_asset,debit,0,,,asset_current,0,,account_template_1401_0101,
14010401,Difference in download cost,asset,current_asset,debit,0,,,asset_current,0,,account_template_1401_0401,
14010701,Animal,asset,current_asset,debit,0,,,asset_current,0,,account_template_1401_0701,
14010801,Livestock,asset,current_asset,debit,0,,,asset_current,0,,account_template_1401_0801,
14010901,Plant,asset,current_asset,debit,0,,,asset_current,0,,account_template_1401_0901,
14020101,Raw materials in storage,asset,current_asset,debit,0,,,asset_current,0,,account_template_1402_0101,
14030301,The part of fixed assets in the warehouse,asset,current_asset,debit,0,,,asset_current,0,,account_template_1403_0301,
14030401,Supplies in stock,asset,current_asset,debit,0,,,asset_current,0,,account_template_1403_0401,
14030501,Supplies in use,asset,current_asset,debit,0,,,asset_current,0,,account_template_1403_0501,
14030502,Depreciation of supplies in use,asset,current_asset,debit,0,,,asset_current,0,,account_template_1403_0502,
14040101,Work-in-Process - Direct Materials,asset,current_asset,debit,0,,,asset_current,0,,account_template_1404_0101,
