code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
102.02.01,Foreign currency bank transfers,asset,current_asset,debit,0,,Active / Bank / Foreign banks,asset_current,1,,cuenta102_02,
105.01.01,Domestic customers,asset,receivable,debit,0,receivables,Active / Clients / National customers,asset_receivable,1,,cuenta105_01,
105.01.02,National customers (PoS),asset,receivable,debit,0,receivables,Active / Clients / National customers,asset_receivable,1,,cuenta105_02,
105.02.01,Foreign Customers,asset,receivable,debit,0,receivables,Active / Clients / Foreign customers,asset_receivable,1,Debts of customers outside of Mexico,cuenta105_02_01,
107.01.01,Officers and Employees,asset,receivable,debit,0,receivables,Active / Sundry debtors / Officials and employees,asset_receivable,1,Loans to your employees,cuenta107_01_01,
107.05.01,Goods Shipped - No Invoices,asset,current_asset,debit,0,,Active / Sundry debtors / Other sundry debtors,asset_current,1,,cuenta107_05_01,
108.01.01,Allowance for doubtful accounts national,asset,current_asset,debit,0,,Active / Allowance for doubtful accounts / Allowance for doubtful accounts national,asset_current,1,,cuenta108_01,
108.02.01,Allowance for doubtful accounts foreign,asset,current_asset,debit,0,,Active / Allowance for doubtful accounts / Allowance for doubtful accounts foreign,asset_current,1,,cuenta108_02,
110.01.01,Employment subsidy to apply,asset,current_asset,debit,0,,Active / Employment subsidy to be applied / Employment subsidy to be applied,asset_current,1,,cuenta110_01,
113.01.01,VAT credit,asset,receivable,debit,0,receivables,Active / Tax credit / VAT receivable,asset_receivable,1,,cuenta113_01,
113.02.01,ISR Credit,asset,receivable,debit,0,receivables,Active / Tax credit / Income tax to recover,asset_receivable,1,,cuenta113_02_01,
113.02.02,ISR Withheld,asset,current_asset,debit,0,,Active / Tax credit / Income tax to recover,asset_current,0,,cuenta113_02_02,
113.08.01,Other taxes credit,asset,receivable,debit,0,receivables,Active / Tax credit / Other taxes in favour,asset_receivable,1,,cuenta113_08,
115.01.01,Inventory,asset,current_asset,debit,0,,Active / Inventory / Inventory,asset_current,0,"Goods stored in your warehouse, as part of your activity",cuenta115_01,
115.02.01,Raw materials,asset,current_asset,debit,0,,Active / Inventory / Raw materials and materials,asset_current,0,All goods purchased as raw materials used by your activity,cuenta115_02,
115.03.01,Production in progress,asset,current_asset,debit,0,,Active / Inventory / Production in progress,asset_current,0,,cuenta115_03,
115.04.01,Finished products,asset,current_asset,debit,0,,Active / Inventory / Finished products,asset_current,0,,cuenta115_04,
115.05.01,Goods in transit,asset,current_asset,debit,0,,Active / Inventory / Goods in transit,asset_current,1,Merchandise pending receipt if periodic valuation is used,cuenta115_05,
115.06.01,Goods held by third parties,asset,current_asset,debit,0,,Active / Inventory / Goods held by third parties,asset_current,0,,cuenta115_06,
118.01.01,Creditable VAT paid,asset,current_asset,debit,0,,Active / Creditable taxes paid / Creditable VAT paid,asset_current,0,,cuenta118_01,
118.01.02,Creditable VAT paid at 8%,asset,current_asset,debit,0,,Active / Creditable taxes paid / Creditable VAT paid,asset_current,0,,cuenta118_01_02,
118.02.01,Creditable import VAT paid,asset,current_asset,debit,0,,Active / Creditable taxes paid / Creditable import VAT paid,asset_current,0,,cuenta118_02,
118.03.01,IEPS creditable paid,asset,current_asset,debit,0,,Active / Creditable taxes paid / Creditable IEPS paid,asset_current,0,,cuenta118_03,
119.01.01,VAT due,asset,current_asset,debit,0,,Active / Taxes payable / VAT due,asset_current,1,,cuenta119_01,
119.01.02,Freight VAT due,asset,current_asset,debit,0,,Active / Taxes payable / VAT due,asset_current,1,,cuenta119_01_02,
119.01.03,Honorarium VAT due,asset,current_asset,debit,0,,Active / Taxes payable / VAT due,asset_current,1,,cuenta119_01_03,
119.01.04,Lease VAT due,asset,current_asset,debit,0,,Active / Taxes payable / VAT due,asset_current,1,,cuenta119_01_04,
119.02.01,Importation VAT due,asset,current_asset,debit,0,,Active / Taxes payable / Import VAT due,asset_current,1,,cuenta119_02,
119.03.01,IEPS due,asset,current_asset,debit,0,,Active / Taxes payable / IEPS pending payment,asset_current,1,,cuenta119_03,
120.01.01,Advance to national suppliers,asset,current_asset,debit,0,,Active / Advances to suppliers / Advance to national suppliers,asset_current,1,,cuenta120_01,
120.02.01,Advance payment to foreign suppliers,asset,current_asset,debit,0,,Active / Advances to suppliers / Advance payment to foreign suppliers,asset_current,1,,cuenta120_02,
153.01.01,Machinery & equipment,asset,fixed_asset,debit,0,,Active / Machinery and equipment / Machinery and equipment,asset_fixed,0,"Heavy machinery like cranes, harvesters, generators or specialized tools",cuenta153_01_01,
154.01.01,Vehicles,asset,fixed_asset,debit,0,,"Active / Automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers / Automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers",asset_fixed,0,"Purchase of a car, including second hand or after-lease contract",cuenta154_01_01,
155.01.01,Furniture & Office Equipment,asset,fixed_asset,debit,0,,Active / Office furniture and equipment / Office furniture and equipment,asset_fixed,0,"Furniture like desks, chairs, and sofas and office equipment like whiteboards, printers and shredders.",cuenta155_01_01,
156.01.01,Technology,asset,fixed_asset,debit,0,,Active / Computer equipment / Computer equipment,asset_fixed,0,"Computers, tablets and similar machines",cuenta156_01_01,
168.01.01,Renewable Energy Technology Installation,asset,fixed_asset,debit,0,,Active / Machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power (CHP) systems / Machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power (CHP) systems,asset_fixed,0,Machinery and equipment for energy generation from renewable sources or efficient electricity cogeneration systems,cuenta168_01_01,
169.01.01,Other Machines & Equipment,asset,fixed_asset,debit,0,,Active / Other machinery and equipment / Other machinery and equipment,asset_fixed,0,Other type of machinery or various equipment,cuenta169_01_01,
170.01.01,Upgrades and Retrofits,asset,fixed_asset,debit,0,,Active / Adaptations and improvements / Adaptations and improvements,asset_fixed,0,"Upgrades to machinery, vehicles and equipment.",cuenta170_01_01,
171.02.01,Acumulated Depreciation Machines & equipment,asset,fixed_asset,debit,0,,Active / Accumulated depreciation of fixed assets / Accumulated depreciation of machinery and equipment,asset_fixed,0,Cumulative depreciation General industrial machinery and heavy equipment used in production that does not fall into a more specific category,cuenta171_02_01,
171.03.01,Acumulated Depreciation Vehicles,asset,fixed_asset,debit,0,,"Active / Accumulated depreciation of fixed assets / Accumulated depreciation of cars, buses, cargo trucks, tractor-trailers, forklifts and trailers",asset_fixed,0,"Cumulative depreciation of all company vehicles, including cars, trucks, buses, and forklifts",cuenta171_03_01,
171.04.01,Acumulated Depreciation Furniture & office equipment,asset,fixed_asset,debit,0,,Active / Accumulated depreciation of fixed assets / Accumulated depreciation of office furniture and equipment,asset_fixed,0,"Cumulative depreciation for desks, chairs, filing cabinets, and other office furnishings",cuenta171_04_01,
171.05.01,Acumulated Depreciation Technology,asset,fixed_asset,debit,0,,Active / Accumulated depreciation of fixed assets / Accumulated depreciation of computer equipment,asset_fixed,0,"The cumulative depreciation of computer equipment such as laptops, servers, desktops, and peripherals",cuenta171_05_01,
171.16.01,Acumulated Depreciation Renewable Energy Technology Installation,asset,fixed_asset,debit,0,,Active / Accumulated depreciation of fixed assets / Accumulated depreciation of machinery and equipment for power generation from renewable sources or efficient co-generation systems,asset_fixed,0,"Cumulative depreciation of machinery and equipment used for generating energy from renewable sources (e.g., solar panels, wind turbines)",cuenta171_16_01,
171.17.01,Acumulated Depreciation Upgrades and Retrofits,asset,fixed_asset,debit,0,,Active / Accumulated depreciation of fixed assets / Accumulated depreciation of adaptations and improvements,asset_fixed,0,"Cumulative depreciation of significant improvements or adaptations made to existing assets (e.g., building renovations)",cuenta171_17_01,
171.18.01,Acumulated Depreciation Other Machines & equipment,asset,fixed_asset,debit,0,,Active / Accumulated depreciation of fixed assets / Accumulated depreciation of other machinery and equipment,asset_fixed,0,"Cumulative depreciation of machinery that is not strictly ""production"" or ""renewable energy""",cuenta171_18_01,
173.01.01,Deferred Expenses,asset,current_asset,debit,0,,Active / Deferred expenditure / Deferred expenditure,asset_current,1,Deferred expenses greater than one year that yield benefits over time,cuenta173_01,
179.01.01,Brands and Patents,asset,fixed_asset,debit,0,,Active / Trademarks and patents / Trademarks and patents,asset_fixed,0,Exclusive right granted by a state for a limited time to an inventor in exchange for publicly disclosing the invention.,cuenta179_01_01,
183.01.01,Acumulated Amortization of Deferred Expenses,asset,non_current_asset,debit,0,,Active / Accumulated amortisation of deferred assets / Accumulated amortisation of deferred expenses,asset_non_current,0,"Cumulative amortization of deferred charges, such as prepaid insurance or installation expenses that are amortized over time",cuenta183_01_01,
183.07.01,Acumulated Amortization Brands and Patents,asset,non_current_asset,debit,0,,Active / Accumulated amortisation of deferred assets / Accumulated amortisation of trademarks and patents,asset_non_current,0,"Cumulative amortization (value consumption) of intangible assets like purchased brands, trademarks, or patents",cuenta183_07_01,
201.01.01,National suppliers,liability,payable,credit,0,payables,Passive / Suppliers / National suppliers,liability_payable,1,,cuenta201_01,
201.01.02,Employee Reimbursement,liability,current_liability,credit,0,,Passive / Suppliers / National suppliers,liability_current,1,,cuenta201_01_02,
201.02.01,Foreign Suppliers,liability,payable,credit,0,payables,Passive / Suppliers / Foreign suppliers,liability_payable,1,Debts owed to suppliers located outside of Mexico,cuenta201_02_01,
205.02.01,Various Creditors,liability,payable,credit,0,payables,Passive / Short-term sundry creditors / Domestic short-term sundry creditors,liability_payable,1,Debts your company owes not related to your main business activity,cuenta205_02_01,
205.06.01,Goods Received - No Invoices,liability,current_liability,credit,0,,Passive / Short-term sundry creditors / Other short-term sundry creditors,liability_current,1,,cuenta205_06_01,
205.06.02,Other Various Short-Term Credits (Fonacot),liability,current_liability,credit,0,,Passive / Short-term sundry creditors / Other short-term sundry creditors,liability_current,1,,cuenta205_06_02,
206.01.01,Domestic customer advance,liability,current_liability,credit,0,,Passive / Customer advance / Domestic customer advance,liability_current,1,,cuenta206_01,
206.02.01,Advance payment from foreign customer,liability,current_liability,credit,0,,Passive / Customer advance / Advance payment from foreign customer,liability_current,1,,cuenta206_02,
206.05.01,Other customer advances,liability,current_liability,credit,0,,Passive / Customer advance / Other customer advances,liability_current,1,,cuenta206_05_01,
208.01.01,VAT carried forward collected,liability,current_liability,credit,0,,Passive / Taxes carried forward collected / VAT carried forward collected,liability_current,0,,cuenta208_01,
208.02.01,IEPS carried forward collected,liability,current_liability,credit,0,,Passive / Taxes carried forward collected / IEPS carried forward collected,liability_current,0,,cuenta208_02,
209.01.01,VAT carried forward not collected,liability,current_liability,credit,0,,Passive / Uncollected taxes carried forward / VAT carried forward not collected,liability_current,1,,cuenta209_01,
209.02.01,IEPS carried forward not collected,liability,current_liability,credit,0,,Passive / Uncollected taxes carried forward / IEPS carried forward not collected,liability_current,1,,cuenta209_02,
210.01.01,Provision of wages and salaries to pay,liability,current_liability,credit,0,,Passive / Provision for wages and salaries payable / Provision for wages and salaries payable,liability_current,1,,cuenta210_01,
210.02.01,Provision for vacation to pay,liability,current_liability,credit,0,,Passive / Provision for wages and salaries payable / Provision for holidays payable,liability_current,1,,cuenta210_02,
210.03.01,Provision for bonus to pay,liability,current_liability,credit,0,,Passive / Provision for wages and salaries payable / Provision for Christmas bonus payable,liability_current,1,,cuenta210_03,
210.04.01,Provision for savings fund to pay,liability,current_liability,credit,0,,Passive / Provision for wages and salaries payable / Savings fund provision payable,liability_current,1,,cuenta210_04,
211.01.01,Provision for employer IMSS to pay,liability,current_liability,credit,0,,Passive / Provision for social security contributions payable / Employer's IMSS provision payable,liability_current,1,,cuenta211_01,
211.02.01,Provision for SAR to pay,liability,current_liability,credit,0,,Passive / Provision for social security contributions payable / Provision for SAR payable,liability_current,1,,cuenta211_02,
211.03.01,Provision for infonavit to pay,liability,current_liability,credit,0,,Passive / Provision for social security contributions payable / Infonavit provision payable,liability_current,1,,cuenta211_03,
213.01.01,VAT payable,liability,payable,credit,0,payables,Passive / Taxes and duties payable / VAT payable,liability_payable,1,,cuenta213_01,
213.02.01,IEPS payable,liability,payable,credit,0,payables,Passive / Taxes and duties payable / IEPS payable,liability_payable,1,,cuenta213_02,
213.03.01,ISR payable,liability,payable,credit,0,payables,Passive / Taxes and duties payable / Income tax payable,liability_payable,1,,cuenta213_03,
213.07.01,Other taxes payable,liability,current_liability,credit,0,,Passive / Taxes and duties payable / Other taxes payable,liability_current,0,,cuenta213_07,
216.01.01,Withholding or income tax for wages and salaries,liability,current_liability,credit,0,,Passive / Taxes withheld / Taxes withheld from income tax on wages and salaries,liability_current,1,,cuenta216_01,
216.03.01,Withholding of income tax for leasing,liability,current_liability,credit,0,,Passive / Taxes withheld / Withholding of income tax for leasing,liability_current,0,,cuenta216_03,
216.04.01,Taxes withheld from income tax for professional services,liability,current_liability,credit,0,,Passive / Taxes withheld / Taxes withheld from income tax for professional services,liability_current,0,,cuenta216_04,
216.10.10,VAT withholding taxes,liability,current_liability,credit,0,,Passive / Taxes withheld / VAT withholding taxes,liability_current,1,,cuenta216_10,
216.10.20,VAT withholding tax effectively paid,liability,current_liability,credit,0,,Passive / Taxes withheld / VAT withholding taxes,liability_current,0,,cuenta216_10_20,
216.11.01,IMSS withholding tax,liability,current_liability,credit,0,,Passive / Taxes withheld / IMSS withholdings from workers,liability_current,1,,cuenta216_11,
260.01.01,Deferred Revenue,liability,current_liability,credit,0,,Passive / Deferred liabilities / Deferred liabilities,liability_current,0,,cuenta260_01_01,
302.01.01,Heritage,equity,equity,credit,0,,Stockholders' equity / Heritage / Heritage,equity,0,,cuenta302_01,
304.01.01,Profit from previous years,equity,equity,credit,0,,Stockholders' equity / Result of previous years / Profit from previous years,equity,0,,cuenta304_01,
305.01.01,Uncut results,equity,retained_earnings,credit,0,,Stockholders' equity / Result for the year / Profit for the year,equity_unaffected,0,,cuenta305_01,
401.01.01,Sales and/or services taxed at the general rate,income,income,credit,0,income,Income / Income / Sales and/or services taxed at the general rate,income,0,,cuenta401_01,default_for_income
402.01.01,"Returns, discounts or bonuses over sales and/or services at the general rate",income,other_income,credit,0,,"Income / Refunds, discounts or rebates on income / Refunds, discounts or rebates on sales and/or services at the general rate",income_other,0,,cuenta402_01,
402.04.01,Re-invoicing,income,income,credit,0,,"Income / Refunds, discounts or rebates on income / Refunds, discounts or rebates of other income",income,0,,cuenta402_04,
501.01.01,Cost of sales,expense,direct_cost,debit,0,,Costs / Cost of sale and/or service / Cost of sales,expense_direct_cost,0,,cuenta501_01,
501.01.02,Stock Variation,expense,expense,debit,0,,Costs / Cost of sale and/or service / Cost of sales,expense,0,,cuenta501_02,
501.02.01,Cost of Services (Labor),expense,direct_cost,debit,0,,Costs / Cost of sale and/or service / Cost of services (labour),expense_direct_cost,0,The cost of salaries and benefits of the people that directly execute services or manufacture goods,cuenta501_02_01,
503.01.01,"Returns, discounts or bonuses over purchases",income,other_income,credit,0,,"Costs / Returns, discounts or rebates on purchases / Returns, discounts or rebates on purchases",income_other,0,,cuenta503_01,
505.01.01,Purchases of Raw Materials,expense,expense,debit,0,,Costs / Cost of fixed assets / Cost of fixed asset sales,expense,0,,cuenta505_01,
601.01.01,Wages and salaries,expense,direct_cost,debit,0,,Expenditure / Overheads / Wages and salaries,expense_direct_cost,0,,cuenta601_01,
