code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
11,Fixed Assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_my_11,
1110,Furniture and Fixtures,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_my_1110,
1130,Equipment,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_my_1130,
1140,Decoration,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_my_1140,
1160,Investments,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_my_1160,
12,Current Assets,asset,current_asset,debit,0,,,asset_current,0,,l10n_my_12,
1240,Account Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_my_1240,
1241,Utility & Rental Deposit,asset,current_asset,debit,0,,,asset_current,1,,l10n_my_1241,
1242,Supplier Prepayments,asset,current_asset,debit,0,,,asset_current,0,,l10n_my_1242,
1243,Account Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_my_1243,
1245,Sundry Deposits,asset,current_asset,debit,0,,,asset_current,0,,l10n_my_1245,
1246,Other Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_my_1246,
124700,SST Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_my_124700,
1250,Stock Interim Account (Received),asset,current_asset,debit,0,,,asset_current,0,,l10n_my_1250,
1260,Stock Interim Account (Delivered),asset,current_asset,debit,0,,,asset_current,0,,l10n_my_1260,
1270,Stock Valuation Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_my_1270,
21,Non-current Liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_my_21,
22,Current Liabilities,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_22,
2210,Accruals,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_2210,
22101,Accruals - KWSP,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_22101,
22102,Accruals - PCB,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_22102,
22103,Accruals - SOCSO,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_22103,
22104,Accruals - EIS,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_22104,
2211,Account Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_my_2211,
2212,Receipt in Advance (Customer Prepayments),liability,current_liability,credit,0,,,liability_current,0,,l10n_my_2212,
2213,SST Control Account,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_2213,
2214,Provision for Taxation,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_2214,
2215,Proposed Dividend,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_2215,
2216,Other Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_my_2216,
221700,SST Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_my_221700,
31,Paid Capital,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_31,
32,Accumulated Profit & Loss,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_32,
33,Profit & Loss Account,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_33,
34,Short-term Borrowing,liability,current_liability,credit,0,,,liability_current,0,,l10n_my_34,
41,Trade Income,income,income,credit,0,income,,income,0,,l10n_my_41,default_for_income
42,Other Income and Gains,income,income,credit,0,,,income,0,,l10n_my_42,
4210,Sundry Income,income,income,credit,0,,,income,0,,l10n_my_4210,
4220,Exchange Adjustment,income,income,credit,0,,,income,0,,l10n_my_4220,
4230,Bank Interest Income,income,income,credit,0,,,income,0,,l10n_my_4230,
4240,Foreign Exchange Gain,income,income,credit,0,,,income,0,,l10n_my_4240,
51,Costs,expense,expense,debit,0,expense,,expense,0,,l10n_my_51,default_for_expense
5101,Trade Costs,expense,expense,debit,0,,,expense,0,,l10n_my_5101,
5105,Misc. Costs,expense,expense,debit,0,,,expense,0,,l10n_my_5105,
5106,Costs of Transportation,expense,expense,debit,0,,,expense,0,,l10n_my_5106,
5111,Declaration Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5111,
5112,Packing Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5112,
52,Expenses,expense,expense,debit,0,,,expense,0,,l10n_my_52,
5201,Bank Charges,expense,expense,debit,0,,,expense,0,,l10n_my_5201,
5202,Entertainment,expense,expense,debit,0,,,expense,0,,l10n_my_5202,
5203,Electricity & Water Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5203,
5205,Postage & Stamps,expense,expense,debit,0,,,expense,0,,l10n_my_5205,
5206,Printing & Stationery,expense,expense,debit,0,,,expense,0,,l10n_my_5206,
5207,Rent & Rates,expense,expense,debit,0,,,expense,0,,l10n_my_5207,
5208,Sundry Expenses,expense,expense,debit,0,,,expense,0,,l10n_my_5208,
5209,Telecommunication Expenses,expense,expense,debit,0,,,expense,0,,l10n_my_5209,
5210,Traffic Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5210,
5211,IT Expenses,expense,expense,debit,0,,,expense,0,,l10n_my_5211,
5214,Insurance,expense,expense,debit,0,,,expense,0,,l10n_my_5214,
5215,Sales Commission,expense,expense,debit,0,,,expense,0,,l10n_my_5215,
5216,Overseas Traveling,expense,expense,debit,0,,,expense,0,,l10n_my_5216,
5218,Wages & Salaries,expense,expense,debit,0,,,expense,0,,l10n_my_5218,
52181,KWSP Contribution,expense,expense,debit,0,,,expense,0,,l10n_my_52181,
52182,PCB Contribution,expense,expense,debit,0,,,expense,0,,l10n_my_52182,
52183,EIS Contribution,expense,expense,debit,0,,,expense,0,,l10n_my_52183,
5219,Bonus Payment,expense,expense,debit,0,,,expense,0,,l10n_my_5219,
5221,SST,expense,expense,debit,0,,,expense,0,,l10n_my_5221,
5222,Local Delivery,expense,expense,debit,0,,,expense,0,,l10n_my_5222,
5223,Management Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5223,
5224,Depreciation,expense,expense,debit,0,,,expense,0,,l10n_my_5224,
5225,Audit Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5225,
5226,Bad Debts,expense,expense,debit,0,,,expense,0,,l10n_my_5226,
5228,Legal & Professional Fees,expense,expense,debit,0,,,expense,0,,l10n_my_5228,
5229,Dividend,expense,expense,debit,0,,,expense,0,,l10n_my_5229,
5231,Disposal,expense,expense,debit,0,,,expense,0,,l10n_my_5231,
5234,Repair and Maintenance,expense,expense,debit,0,,,expense,0,,l10n_my_5234,
5235,Advertising,expense,expense,debit,0,,,expense,0,,l10n_my_5235,
5240,Foreign Exchange Loss,expense,expense,debit,0,,,expense,0,,l10n_my_5240,
