code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
211,Purchased Goods,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories,asset_current,0,,l10n_mz_account_211,
2121,Purchased Raw materials,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories / Purchased Raw materials and other supplies,asset_current,0,,l10n_mz_account_2121,
2122,Purchased Ancillary materials,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories / Purchased Raw materials and other supplies,asset_current,0,,l10n_mz_account_2122,
21231,Purchased Fuel and lubricants,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories / Purchased Raw materials and other supplies / Other Purchased materials,asset_current,0,,l10n_mz_account_21231,
21232,Purchased Packaging,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories / Purchased Raw materials and other supplies / Other Purchased materials,asset_current,0,,l10n_mz_account_21232,
21233,Purchased Spare parts,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories / Purchased Raw materials and other supplies / Other Purchased materials,asset_current,0,,l10n_mz_account_21233,
21239,Other Purchased materials,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories / Purchased Raw materials and other supplies / Other Purchased materials,asset_current,0,,l10n_mz_account_21239,
217,Returned purchases,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories,asset_current,0,,l10n_mz_account_217,
218,Discounts and rebates on purchases,asset,current_asset,debit,0,,Inventories and biological assets / Purchased Inventories,asset_current,0,,l10n_mz_account_218,
222,Goods in transit,asset,current_asset,debit,0,,Inventories and biological assets / Goods,asset_current,0,,l10n_mz_account_222,
223,Goods held by third parties,asset,current_asset,debit,0,,Inventories and biological assets / Goods,asset_current,0,,l10n_mz_account_223,
231,Finished and intermediate goods,asset,current_asset,debit,0,,Inventories and biological assets / Finished and intermediate goods,asset_current,0,,l10n_mz_account_231,
232,Finished goods held by third parties,asset,current_asset,debit,0,,Inventories and biological assets / Finished and intermediate goods,asset_current,0,,l10n_mz_account_232,
241,By-products,asset,current_asset,debit,0,,"Inventories and biological assets / By-products, waste and scrap",asset_current,0,,l10n_mz_account_241,
242,Waste and scrap,asset,current_asset,debit,0,,"Inventories and biological assets / By-products, waste and scrap",asset_current,0,,l10n_mz_account_242,
