code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
0010,Acquisition value Goodwill,asset,fixed_asset,debit,0,,,asset_fixed,0,,0010,
0019,Amortisation Goodwill,asset,fixed_asset,debit,0,,,asset_fixed,0,,0019,
0020,Acquisition value other intangible assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,0020,
0029,Amortisation of other intangible assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,0029,
0101,Land purchase value,asset,fixed_asset,debit,0,,,asset_fixed,0,,0101,
0110,Acquisition value of buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,0110,
0119,Depreciation of buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,0119,
0120,Acquisition value of shops,asset,fixed_asset,debit,0,,,asset_fixed,0,,0120,
0129,Depreciation of shops,asset,fixed_asset,debit,0,,,asset_fixed,0,,0129,
0130,Acquisition value of renovations,asset,fixed_asset,debit,0,,,asset_fixed,0,,0130,
0139,Depreciation of renovations,asset,fixed_asset,debit,0,,,asset_fixed,0,,0139,
0210,Acquisition value of machinery 1,asset,fixed_asset,debit,0,,,asset_fixed,0,,0210,
0219,Depreciation of machinery 1,asset,fixed_asset,debit,0,,,asset_fixed,0,,0219,
0220,Acquisition value of machinery 2,asset,fixed_asset,debit,0,,,asset_fixed,0,,0220,
0229,Depreciation of machinery 2,asset,fixed_asset,debit,0,,,asset_fixed,0,,0229,
0310,Purchase value of business equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,0310,
0319,Depreciation of business equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,0319,
0320,Purchase value of warehouse inventory,asset,fixed_asset,debit,0,,,asset_fixed,0,,0320,
0329,Depreciation of warehouse inventory,asset,fixed_asset,debit,0,,,asset_fixed,0,,0329,
0330,Purchase value of factory inventory,asset,fixed_asset,debit,0,,,asset_fixed,0,,0330,
0339,Depreciation of factory inventory,asset,fixed_asset,debit,0,,,asset_fixed,0,,0339,
0340,Purchase value of tools,asset,fixed_asset,debit,0,,,asset_fixed,0,,0340,
0349,Depreciation of tools,asset,fixed_asset,debit,0,,,asset_fixed,0,,0349,
0350,Purchase value of office equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,0350,
0359,Depreciation of office equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,0359,
0360,Purchase value of office machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,,0360,
0369,Depreciation of office machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,,0369,
0370,Purchase value of canteen inventory,asset,fixed_asset,debit,0,,,asset_fixed,0,,0370,
0379,Depreciation of canteen inventory,asset,fixed_asset,debit,0,,,asset_fixed,0,,0379,
0410,Purchase value of passenger cars,asset,fixed_asset,debit,0,,,asset_fixed,0,,0410,
0419,Depreciation of passenger cars,asset,fixed_asset,debit,0,,,asset_fixed,0,,0419,
0420,Purchase value other transport equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,0420,
0429,Depreciation of other transport equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,0429,
0430,Purchase value of trucks,asset,fixed_asset,debit,0,,,asset_fixed,0,,0430,
0439,Depreciation of trucks,asset,fixed_asset,debit,0,,,asset_fixed,0,,0439,
0510,Participation 1,asset,fixed_asset,debit,0,,,asset_fixed,0,,0510,
0520,Participation 2,asset,fixed_asset,debit,0,,,asset_fixed,0,,0520,
0530,Participation 3,asset,fixed_asset,debit,0,,,asset_fixed,0,,0530,
0551,Receivables from participation 1,asset,fixed_asset,debit,0,,,asset_fixed,0,,0551,
0552,Receivables from participation 2,asset,fixed_asset,debit,0,,,asset_fixed,0,,0552,
0553,Receivables from participation 3,asset,fixed_asset,debit,0,,,asset_fixed,0,,0553,
0561,Mortgages receivable 1,asset,fixed_asset,debit,0,,,asset_fixed,0,,0561,
0562,Mortgages receivable 2,asset,fixed_asset,debit,0,,,asset_fixed,0,,0562,
0563,Mortgages receivable 3,asset,fixed_asset,debit,0,,,asset_fixed,0,,0563,
0565,Loans receivable 1,asset,fixed_asset,debit,0,,,asset_fixed,0,,0565,
0566,Loans receivable 2,asset,fixed_asset,debit,0,,,asset_fixed,0,,0566,
0567,Loans receivable 3,asset,fixed_asset,debit,0,,,asset_fixed,0,,0567,
0570,Security deposits,asset,fixed_asset,debit,0,,,asset_fixed,0,,0570,
0610,Share capital,equity,equity,credit,0,,,equity,0,,0610,
0620,Legal reserves,equity,equity,credit,0,,,equity,0,,0620,
0630,Share premium reserve,equity,equity,credit,0,,,equity,0,,0630,
0640,General reserve,equity,equity,credit,0,,,equity,0,,0640,
0650,Other reserves,equity,equity,credit,0,,,equity,0,,0650,
0660,Revaluation reserve,equity,equity,credit,0,,,equity,0,,0660,
0710,Provision for pension liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,0710,
0720,Major maintenance equalisation reserve,liability,non_current_liability,credit,0,,,liability_non_current,0,,0720,
0730,Provision for participating interests,liability,non_current_liability,credit,0,,,liability_non_current,0,,0730,
0740,Deferred tax liability,liability,non_current_liability,credit,0,,,liability_non_current,0,,0740,
0750,Other provisions,liability,non_current_liability,credit,0,,,liability_non_current,0,,0750,
0760,Guarantee liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,0760,
0811,Mortgages payable 1,liability,non_current_liability,credit,0,,,liability_non_current,0,,0811,
0812,Mortgages payable 2,liability,non_current_liability,credit,0,,,liability_non_current,0,,0812,
0813,Mortgages payable 3,liability,non_current_liability,credit,0,,,liability_non_current,0,,0813,
0814,Mortgages payable 4,liability,non_current_liability,credit,0,,,liability_non_current,0,,0814,
0815,Mortgages payable 5,liability,non_current_liability,credit,0,,,liability_non_current,0,,0815,
0821,Loans payable 1,liability,non_current_liability,credit,0,,,liability_non_current,0,,0821,
0822,Loans payable 2,liability,non_current_liability,credit,0,,,liability_non_current,0,,0822,
0823,Loans payable 3,liability,non_current_liability,credit,0,,,liability_non_current,0,,0823,
0824,Loans payable 4,liability,non_current_liability,credit,0,,,liability_non_current,0,,0824,
0825,Loans payable 5,liability,non_current_liability,credit,0,,,liability_non_current,0,,0825,
1040,Demand items,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,1040,
1100,Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,recv,
1101,Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,recv_pos,
1150,Doubtful debtors,asset,current_asset,debit,0,,,asset_current,0,,1150,
1160,Provision for doubtful debts,asset,current_asset,debit,0,,,asset_current,0,,1160,
1205,Prepaid expenses,asset,current_asset,debit,0,,,asset_current,0,,1205,
1210,Deposit,asset,prepayment,debit,0,,,asset_prepayments,0,,1210,
1220,Interest to be received,asset,current_asset,debit,0,,,asset_current,0,,1220,
1230,Sick pay to be received,asset,current_asset,debit,0,,,asset_current,0,,1230,
1250,Still to be invoiced (outgoing stock),asset,current_asset,debit,0,,,asset_current,0,,1250,
1290,Other short-term receivables,asset,current_asset,debit,0,,,asset_current,0,,1290,
1300,Creditors,liability,payable,credit,0,payables,,liability_payable,1,,pay,
1350,Payments in transit,liability,current_liability,credit,0,,,liability_current,0,,1350,
1405,Invoiced amounts in advance,liability,current_liability,credit,0,,,liability_current,0,,1405,
1410,Interest to be paid,liability,current_liability,credit,0,,,liability_current,0,,1410,
1420,Dividends to be paid,liability,current_liability,credit,0,,,liability_current,0,,1420,
1430,Audit fees to be paid,liability,current_liability,credit,0,,,liability_current,0,,1430,
1440,Telephone charges to be paid,liability,current_liability,credit,0,,,liability_current,0,,1440,
1450,Invoices to be received (incoming stock),liability,current_liability,credit,0,,,liability_current,0,,1450,
1460,Income tax to be paid,liability,current_liability,credit,0,,,liability_current,0,,1460,
1470,Income tax from previous years to be paid,liability,current_liability,credit,0,,,liability_current,0,,1470,
1480,Dividend tax to be paid,liability,current_liability,credit,0,,,liability_current,0,,1480,
1490,Other current liabilities,liability,current_liability,credit,0,,,liability_current,0,,1490,
1500,Deferred VAT high rate,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_h,
1501,Deferred VAT low rate,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_l,
1502,Deferred VAT other rates,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_0,
1503,Deductible VAT on private use,liability,current_liability,credit,0,,,liability_current,0,,1503,
1504,Chargeable reverse charge VAT,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_v,
1505,VAT 0% / not taxed with me,liability,current_liability,credit,0,,,liability_current,0,,1505,
1507,Installation/tele sales within the EU,liability,current_liability,credit,0,,,liability_current,0,,1507,
1508,Deliveries made to me outside the EU,liability,current_liability,credit,0,,,liability_current,0,,1508,
1509,Deliveries within the EU made to me,liability,current_liability,credit,0,,,liability_current,0,,1509,
1510,Pre-tax other,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_0,
1513,Deferred VAT high rate outside the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_h_non_eu,
1514,Deferred VAT low rate outside the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_l_non_eu,
1515,Deferred VAT other rates outside the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_0_non_eu,
1516,EU high rate VAT to be paid,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_h_eu,
1517,EU low rate VAT to be paid,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_l_eu,
1518,EU other rate VAT to be paid,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_0_eu,
1520,Pre-tax high,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_h,
1521,Pre-tax low,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_l,
1522,Pre-tax shifted,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_v,
1523,Pre-tax other within the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_0_eu,
1524,Pre-tax high within the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_h_eu,
1525,Pre-tax low within the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_l_eu,
1526,Pre-tax carried forward within the EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_v_eu,
1527,Pre-tax other outside EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_0_non_eu,
1528,Pre-tax high outside EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_h_non_eu,
1529,Pre-tax low outside EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_l_non_eu,
1530,Pre-tax carried forward outside EU,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_v_non_eu,
1531,VAT bad debts,liability,current_liability,credit,0,,,liability_current,0,,1531,
1532,Small business regulation,liability,current_liability,credit,0,,,liability_current,0,,1532,
1535,Pre-tax reverse charge outside EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_v_d_non_eu,
1540,Deferred VAT high rate services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_h_d,
1541,Deferred VAT low rate services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_l_d,
1542,Deferred VAT other rate services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_0_d,
1544,Deferred VAT to be paid on reverse-charge services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_v_d,
1550,Sales tax payments/declaration,liability,current_liability,credit,0,,,liability_current,0,,1550,
1560,Sales tax supplement,liability,current_liability,credit,0,,,liability_current,0,,1560,
1570,Pre-tax other services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_0_d,
1573,Deferred VAT high rate outside EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_h_d_non_eu,
1574,Deferred VAT low rate outside EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_l_d_non_eu,
1575,Deferred VAT other rates outside EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_0_d_non_eu,
1576,Deferred VAT high rate within EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_h_d_eu,
1577,Deferred VAT low rate within EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_l_d_eu,
1578,Deferred VAT other rate within EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_payable_0_d_eu,
1580,Pre-tax high services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_h_d,
1581,Pre-tax low services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_l_d,
1582,Pre-tax reverse charge services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_v_d,
1583,Pre-tax other intra-EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_0_d_eu,
1584,Pre-tax high within EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_h_d_eu,
1585,Pre-tax low within EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_l_d_eu,
1586,Pre-tax reverse charge within EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_v_d_eu,
1587,Pre-tax other non-EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_0_d_non_eu,
1588,Pre-tax high outside EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_h_d_non_eu,
1589,Pre-tax low outside EU services,liability,current_liability,credit,0,,,liability_current,0,,vat_refund_l_d_non_eu,
1590,VAT tax liabilities,liability,payable,credit,0,payables,,liability_payable,1,,vat_tax_liabilities,
1599,Sales tax liability (end of financial year),liability,current_liability,credit,0,,,liability_current,0,,1599,
1610,Pension premiums,liability,current_liability,credit,0,,,liability_current,0,,1610,
1615,Payment of pension contributions,liability,current_liability,credit,0,,,liability_current,0,,1615,
1620,Net salaries,liability,current_liability,credit,0,,,liability_current,0,,1620,
1621,Advance payment of wages,liability,current_liability,credit,0,,,liability_current,0,,1621,
1625,Net wages to be paid,liability,current_liability,credit,0,,,liability_current,0,,1625,
1630,Payroll tax,liability,current_liability,credit,0,,,liability_current,0,,1630,
1635,Remittance of wage tax,liability,current_liability,credit,0,,,liability_current,0,,1635,
1640,Holidays to be paid,liability,current_liability,credit,0,,,liability_current,0,,1640,
1650,Holiday pay due,liability,current_liability,credit,0,,,liability_current,0,,1650,
2010,Opening balance sheet suspense account,liability,current_liability,credit,0,,,liability_current,0,,2010,
3001,Raw materials 1,asset,current_asset,debit,0,,,asset_current,0,,3001,
3002,Raw materials 2,asset,current_asset,debit,0,,,asset_current,0,,3002,
3100,Excipients 1,asset,current_asset,debit,0,,,asset_current,0,,3100,
3110,Excipients 2,asset,current_asset,debit,0,,,asset_current,0,,3110,
3200,Stock 1,asset,current_asset,debit,0,,,asset_current,0,,3200,
3210,Stock 2,asset,current_asset,debit,0,,,asset_current,0,,3210,
3300,Packaging material,asset,current_asset,debit,0,,,asset_current,0,,3300,
3310,Packaging,asset,current_asset,debit,0,,,asset_current,0,,3310,
4001,Gross wages,expense,expense,debit,0,,,expense,0,,4001,
4002,Bonuses and commissions,expense,expense,debit,0,,,expense,0,,4002,
4003,Holiday allowance,expense,expense,debit,0,,,expense,0,,4003,
4004,Royalty,expense,expense,debit,0,,,expense,0,,4004,
4005,Employee car contribution,expense,expense,debit,0,,,expense,0,,4005,
4006,Healthcare Insurance Act (SVW) contribution,expense,expense,debit,0,,,expense,0,,4006,
4010,Employer's share of payroll taxes,expense,expense,debit,0,,,expense,0,,4010,
