code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1000,"Development, acquired",asset,current_asset,debit,0,,,asset_current,0,,chart1000,
1005,"Development, proprietary",asset,current_asset,debit,0,,,asset_current,0,,chart1005,
1020,"Concessions, acquired",asset,current_asset,debit,0,,,asset_current,0,,chart1020,
1025,"Concessions, proprietary",asset,current_asset,debit,0,,,asset_current,0,,chart1025,
1030,"Patents, acquired",asset,current_asset,debit,0,,,asset_current,0,,chart1030,
1035,"Patents, proprietary",asset,current_asset,debit,0,,,asset_current,0,,chart1035,
1040,"Licences, acquired",asset,current_asset,debit,0,,,asset_current,0,,chart1040,
1045,"Licences, proprietary",asset,current_asset,debit,0,,,asset_current,0,,chart1045,
1050,"Trade marks, acquired",asset,current_asset,debit,0,,,asset_current,0,,chart1050,
1055,"Trade marks, proprietary",asset,current_asset,debit,0,,,asset_current,0,,chart1055,
1060,"Other rights, acquired",asset,current_asset,debit,0,,,asset_current,0,,chart1060,
1065,"Other rights, proprietary",asset,current_asset,debit,0,,,asset_current,0,,chart1065,
1068,"Domestic purchase of rights, reversed VAT liability",asset,current_asset,debit,0,,,asset_current,0,,chart1068,
1069,"Domestic purchase of rights, reversed VAT liability, contra account",asset,current_asset,debit,0,,,asset_current,0,,chart1069,
1070,"Deferred tax asset, gross",asset,current_asset,debit,0,,,asset_current,0,,chart1070,
1075,Reduction in deferred tax asset due to unrealisibility,asset,current_asset,debit,0,,,asset_current,0,,chart1075,
1079,Deferred tax asset that can be offset,asset,current_asset,debit,0,,,asset_current,0,,chart1079,
1080,Goodwill,asset,current_asset,debit,0,,,asset_current,0,,chart1080,
1099,Other intangible assets,asset,current_asset,debit,0,,,asset_current,0,,chart1099,
1100,Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1100,
1110,Fixed technical installation,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1110,
1117,Electronic equipment in power companies,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1117,
1120,Structural installations,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1120,
1130,Plant under construction,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1130,
1140,Agricultural property,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1140,
1145,Forestry property,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1145,
1150,Land,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1150,
1155,Other real property,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1155,
1160,Dwellings including land,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1160,
1179,Other properties,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1179,
1180,Investment properties,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1180,
1190,"Basis VAT import of goods, high rate",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1190,
1191,"Basis VAT import of goods, high rate, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1191,
1192,"Basis VAT import of goods, medium rate",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1192,
1193,"Basis VAT import of goods, medium rate, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1193,
1194,Basis import of goods with zero rate,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1194,
1195,"Basis import of goods with zero rate, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1195,
1196,Basis outgoing VAT purchase of services from abroad,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1196,
1197,"Basis outgoing VAT purchase of services from abroad, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1197,
1200,Machinery and plant,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1200,
1210,Machinery and plant under construction,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1210,
1220,Ships,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1220,
1224,Rigs,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1224,
1225,Aircrafts,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1225,
1230,Automobiles/estate cars,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1230,
1235,"Vans, classification 1",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1235,
1236,"Vans, classification 2",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1236,
1237,Lorries,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1237,
1238,Buses,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1238,
1239,Vans with zero emission,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1239,
1240,Tractors,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1240,
1242,Forklifts,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1242,
1249,Other means of transport,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1249,
1250,Fixtures and fittings,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1250,
1260,"Permanent building fixtures and fittings, own building",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1260,
1265,"Permanent building fixtures and fittings, leased premises",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1265,
1270,Tools etc.,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1270,
1280,Office machines,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1280,
1289,Other fixed assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1289,
1290,"Basis VAT import of goods, high rate",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1290,
1291,"Basis VAT import of goods, high rate, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1291,
1292,"Basis VAT import of goods, medium rate",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1292,
1293,"Basis VAT import of goods, medium rate, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1293,
1294,Basis import of goods with zero rate,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1294,
1295,"Basis import of goods with zero rate, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1295,
1296,Basis outgoing VAT purchase of services from abroad,asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1296,
1297,"Basis outgoing VAT purchase of services from abroad, contra account",asset,fixed_asset,debit,0,,,asset_fixed,0,,chart1297,
1300,Shares in subsidiaries,asset,current_asset,debit,0,,,asset_current,0,,chart1300,
1305,Units in subsidiaries,asset,current_asset,debit,0,,,asset_current,0,,chart1305,
1306,"Shares/units in subsidiaries, foreign, included in the exemption model",asset,current_asset,debit,0,,,asset_current,0,,chart1306,
1308,"Shares/units in subsidiaries, foreign, not included in the exemption model",asset,current_asset,debit,0,,,asset_current,0,,chart1308,
1310,Shares in group companies,asset,current_asset,debit,0,,,asset_current,0,,chart1310,
1315,Units in group companies,asset,current_asset,debit,0,,,asset_current,0,,chart1315,
1316,"Shares/units in group companies, foreign, included in the exemption model",asset,current_asset,debit,0,,,asset_current,0,,chart1316,
1318,"Shares/units in group companies, foreign, not included in the exemption model",asset,current_asset,debit,0,,,asset_current,0,,chart1318,
1320,Loans to subsidiaries,asset,current_asset,debit,0,,,asset_current,0,,chart1320,
1325,Loans to other group companies,asset,current_asset,debit,0,,,asset_current,0,,chart1325,
1330,Investments in associated companies,asset,current_asset,debit,0,,,asset_current,0,,chart1330,
1340,Loans to associated companies,asset,current_asset,debit,0,,,asset_current,0,,chart1340,
1345,Loans to joint ventures,asset,current_asset,debit,0,,,asset_current,0,,chart1345,
1350,"Other shares, Norwegian",asset,current_asset,debit,0,,,asset_current,0,,chart1350,
1355,"Other units, Norwegian",asset,current_asset,debit,0,,,asset_current,0,,chart1355,
1356,"Other shares/units, foreign, included in the exemption model",asset,current_asset,debit,0,,,asset_current,0,,chart1356,
1357,"Other shares/units, foreign, not included in the exemption model",asset,current_asset,debit,0,,,asset_current,0,,chart1357,
1358,Securities fund units,asset,current_asset,debit,0,,,asset_current,0,,chart1358,
1360,Bonds,asset,current_asset,debit,0,,,asset_current,0,,chart1360,
1369,Other financial fixed assets,asset,current_asset,debit,0,,,asset_current,0,,chart1369,
1370,Receivables from owners,asset,current_asset,debit,0,,,asset_current,0,,chart1370,
1375,Receivables from board members,asset,current_asset,debit,0,,,asset_current,0,,chart1375,
1380,Receivables from employees,asset,current_asset,debit,0,,,asset_current,0,,chart1380,
1384,Receivables from manager,asset,current_asset,debit,0,,,asset_current,0,,chart1384,
1385,Receivables from employed owners,asset,current_asset,debit,0,,,asset_current,0,,chart1385,
1393,Deposit fund,asset,current_asset,debit,0,,,asset_current,0,,chart1393,
1394,Overfunding of pension liabilities (pension premium fund),asset,current_asset,debit,0,,,asset_current,0,,chart1394,
1395,Deposits from tenants,asset,current_asset,debit,0,,,asset_current,0,,chart1395,
1396,Deposits,asset,current_asset,debit,0,,,asset_current,0,,chart1396,
1397,Prepaid leasing,asset,current_asset,debit,0,,,asset_current,0,,chart1397,
1398,VAT refundable,asset,current_asset,debit,0,,,asset_current,0,,chart1398,
1399,Other receivables,asset,current_asset,debit,0,,,asset_current,0,,chart1399,
1400,Direct materials/raw materials,asset,current_asset,debit,0,,,asset_current,0,,chart1400,
1405,Auxiliary materials,asset,current_asset,debit,0,,,asset_current,0,,chart1405,
1408,Operating materials and spare parts,asset,current_asset,debit,0,,,asset_current,0,,chart1408,
1409,Change in stocks of raw materials and semi-manufactures,asset,current_asset,debit,0,,,asset_current,0,,chart1409,
1420,Work in progress,asset,current_asset,debit,0,,,asset_current,0,,chart1420,
1429,Change in stocks of work in progress,asset,current_asset,debit,0,,,asset_current,0,,chart1429,
1440,Self-produced finished goods,asset,current_asset,debit,0,,,asset_current,0,,chart1440,
1449,Change in stocks of self-produced finished goods,asset,current_asset,debit,0,,,asset_current,0,,chart1449,
1460,Goods purchased for resale,asset,current_asset,debit,0,,,asset_current,0,,chart1460,
1465,Demonstration goods,asset,current_asset,debit,0,,,asset_current,0,,chart1465,
1469,Change in stocks of goods purchased for resale,asset,current_asset,debit,0,,,asset_current,0,,chart1469,
1470,"Basis VAT import of goods, high rate",asset,current_asset,debit,0,,,asset_current,0,,chart1470,
1471,"Basis VAT import of goods, high rate, contra account",asset,current_asset,debit,0,,,asset_current,0,,chart1471,
1472,"Basis VAT import of goods, medium rate",asset,current_asset,debit,0,,,asset_current,0,,chart1472,
1473,"Basis VAT import of goods, medium rate, contra account",asset,current_asset,debit,0,,,asset_current,0,,chart1473,
1474,Basis import of goods with zero rate,asset,current_asset,debit,0,,,asset_current,0,,chart1474,
1475,"Basis import of goods with zero rate, contra account",asset,current_asset,debit,0,,,asset_current,0,,chart1475,
1476,Basis outgoing VAT purchase of services from abroad,asset,current_asset,debit,0,,,asset_current,0,,chart1476,
1477,"Basis outgoing VAT purchase of services from abroad, contra account",asset,current_asset,debit,0,,,asset_current,0,,chart1477,
1478,"Domestic purchase of goods and services, reversed VAT liability",asset,current_asset,debit,0,,,asset_current,0,,chart1478,
1479,"Domestic purchase of goods and services, reversed VAT liability, contra account",asset,current_asset,debit,0,,,asset_current,0,,chart1479,
1480,Prepayments to suppliers (contracts for goods/projects),asset,prepayment,debit,0,,,asset_prepayments,0,,chart1480,
1490,Biological assets,asset,current_asset,debit,0,,,asset_current,0,,chart1490,
1499,Other inventories,asset,current_asset,debit,0,,,asset_current,0,,chart1499,
1500,Accounts receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,chart1500,
1530,"Accrued, uninvoiced operating income",asset,current_asset,debit,0,,,asset_current,0,,chart1530,
1550,Trade debtors in group companies (accounts receivable from companies in the same group),asset,current_asset,debit,0,,,asset_current,0,,chart1550,
1560,Other debtors in group companies (other receivables from companies in the same group),asset,current_asset,debit,0,,,asset_current,0,,chart1560,
1570,Cash advances for travel,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,chart1570,
1572,Advances on wages and salaries (deducted from pay later),asset,current_asset,debit,0,,,asset_current,0,,chart1572,
1573,Other short-term loans to employees (not advances on wages and salaries),asset,current_asset,debit,0,,,asset_current,0,,chart1573,
1574,Short-term loans to shareholders/partners,asset,current_asset,debit,0,,,asset_current,0,,chart1574,
1575,"Current account, shareholders/partners",asset,current_asset,debit,0,,,asset_current,0,,chart1575,
1576,Short-term loans to manager,asset,current_asset,debit,0,,,asset_current,0,,chart1576,
1579,Other short-term receivables,asset,current_asset,debit,0,,,asset_current,0,,chart1579,
1580,Provisions for losses on trade debtors,asset,current_asset,debit,0,,,asset_current,0,,chart1580,
1585,Provisions for losses on other debtors,asset,current_asset,debit,0,,,asset_current,0,,chart1585,
1590,Other current assets,asset,current_asset,debit,0,,,asset_current,0,,chart1590,
1600,"Output VAT, high rate",asset,current_asset,debit,0,,,asset_current,0,,chart1600,
1601,"Output VAT, medium rate",asset,current_asset,debit,0,,,asset_current,0,,chart1601,
1602,"Output VAT, raw fish etc, medium rate",asset,current_asset,debit,0,,,asset_current,0,,chart1602,
1603,"Output VAT, low rate",asset,current_asset,debit,0,,,asset_current,0,,chart1603,
1604,"Output VAT, purchases of services from abroad",asset,current_asset,debit,0,,,asset_current,0,,chart1604,
1605,"Output VAT - import of goods, high rate",asset,current_asset,debit,0,,,asset_current,0,,chart1605,
1606,"Output VAT - import of goods, medium rate",asset,current_asset,debit,0,,,asset_current,0,,chart1606,
1607,"Output VAT - domestic purchase of goods and services with reversed VAT liability, high rate",asset,current_asset,debit,0,,,asset_current,0,,chart1607,
1610,"Input VAT, high rate",asset,current_asset,debit,0,,,asset_current,0,,chart1610,
1611,"Input VAT, medium rate",asset,current_asset,debit,0,,,asset_current,0,,chart1611,
