code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
11110,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,nz_11110,
11130,Petty Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,nz_11130,
11140,Cash Drawer,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,nz_11140,
11180,Undeposited Funds,asset,current_asset,debit,0,,,asset_current,1,,nz_11180,
11190,Electronic Clearing,asset,current_asset,debit,0,,,asset_current,1,,nz_11190,
11200,Trade Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,nz_11200,
11210,Less Prov'n for Doubtful Debts,asset,current_asset,debit,0,,,asset_current,0,,nz_11210,
11220,Trade Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,nz_11220,
11310,Raw Materials,asset,current_asset,debit,0,,,asset_current,0,,nz_11310,
11320,Finished Goods,asset,current_asset,debit,0,,,asset_current,0,,nz_11320,
11330,Trading Stock on Hand,asset,current_asset,debit,0,,,asset_current,0,,nz_11330,
11340,Goods Shipped not Invoiced,asset,current_asset,debit,0,,,asset_current,0,,nz_11340,
11350,Work In Process (Inventory),asset,current_asset,debit,0,,,asset_current,0,,nz_11350,
12100,Deposits Paid,asset,prepayment,debit,0,,,asset_prepayments,0,,nz_12100,
12200,Prepaid Insurance,asset,current_asset,debit,0,,,asset_current,0,,nz_12200,
13110,Manufacturing Plant at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13110,
13120,Manufac. Plant Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13120,
13130,Manufacturing Equipment Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13130,
13140,Manufac. Equip Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13140,
13210,Furniture & Fixtures at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13210,
13220,Furniture & Fixtures Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13220,
13310,Office Equip at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13310,
13320,Office Equip Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13320,
13410,Motor Vehicles at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13410,
13420,Motor Vehicles Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,nz_13420,
21110,Credit Card,liability,current_liability,credit,0,,,liability_current,0,,nz_21110,
21200,Trade Creditors,liability,payable,credit,0,payables,,liability_payable,1,,nz_21200,
21210,Goods Received not Billed,liability,current_liability,credit,0,,,liability_current,0,,nz_21210,
21310,GST Collected,liability,current_liability,credit,0,,,liability_current,0,,nz_21310,
21320,GST Payments,liability,payable,credit,0,payables,,liability_payable,1,,nz_21320,
21330,GST Paid,asset,current_asset,debit,0,,,asset_current,0,,nz_21330,
21350,Fuel Tax Credits Accrued,liability,current_liability,credit,0,,,liability_current,0,,nz_21350,
21360,Import Duty Payable,liability,current_liability,credit,0,,,liability_current,0,,nz_21360,
21370,Voluntary Withholdings Payable,liability,current_liability,credit,0,,,liability_current,0,,nz_21370,
21380,Tax Withholdings Payable,liability,current_liability,credit,0,,,liability_current,0,,nz_21380,
21410,Payroll Accruals Payable,liability,current_liability,credit,0,,,liability_current,0,,nz_21410,
21420,PAYG Withholding Payable,liability,current_liability,credit,0,,,liability_current,0,,nz_21420,
21600,Customer Deposits,liability,current_liability,credit,0,,,liability_current,0,,nz_21600,
21700,Other Current Liabilities,liability,current_liability,credit,0,,,liability_current,0,,nz_21700,
22100,Mortgages Payable,liability,non_current_liability,credit,0,,,liability_non_current,0,,nz_22100,
22200,Notes Payable,liability,non_current_liability,credit,0,,,liability_non_current,0,,nz_22200,
22300,Other Long Term Liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,nz_22300,
31100,Capital Investment,equity,equity,credit,0,,,equity,0,,nz_31100,
31200,Capital Drawings,equity,equity,credit,0,,,equity,0,,nz_31200,
38000,Retained Earnings,equity,equity,credit,0,,,equity,0,,nz_38000,
39000,Current Year Earnings,equity,retained_earnings,credit,0,,,equity_unaffected,0,,nz_39000,
39999,Historical Balancing,equity,equity,credit,0,,,equity,0,,nz_39999,
41110,Sales Product #1,income,income,credit,0,income,,income,0,,nz_41110,default_for_income
41120,Sales Product #2,income,income,credit,0,,,income,0,,nz_41120,
41130,Sales Product #3,income,income,credit,0,,,income,0,,nz_41130,
42000,Wholesale Sales,income,income,credit,0,,,income,0,,nz_42000,
43000,Consignment Sales,income,income,credit,0,,,income,0,,nz_43000,
