code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
114.001,Cash and Banks.../ BCO. CTA CTE PAB,asset,current_asset,debit,0,,,asset_current,1,,114_001,
115,Cash and Banks - Securities to be Deposited,asset,current_asset,debit,0,,,asset_current,0,,115,
116,Cash and Banks - Collections to be Deposited,asset,current_asset,debit,0,,,asset_current,0,,116,
121,Accounts Receivable / Sales Receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,,121,
121.01,Accounts Receivable / Sales Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,121_01,
122,Accounts Receivable / Non-Performing Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,122,
123,Accounts Receivable / Receivables in Judicial Management,asset,receivable,debit,0,receivables,,asset_receivable,1,,123,
124,Accounts receivable / Sundry accounts receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,124,
125,Accounts Receivable / (-) Allowance for Uncollectibles,asset,receivable,debit,0,receivables,,asset_receivable,1,,125,
131,Other Accounts Receivable / Loans Granted,asset,current_asset,debit,0,,,asset_current,0,,131,
132,Other accounts receivable / Advances to suppliers,asset,current_asset,debit,0,,,asset_current,0,,132,
133,Other Accounts Receivable / Tax Advances,asset,current_asset,debit,0,,,asset_current,0,,133,
134,Other accounts receivable / Advances to personnel,asset,current_asset,debit,0,,,asset_current,0,,134,
135,Other Accounts Receivable / Prepaid Rents,asset,current_asset,debit,0,,,asset_current,0,,135,
136,Other Accounts Receivable / Prepaid Interest,asset,current_asset,debit,0,,,asset_current,0,,136,
137,Other Accounts Receivable / Shareholders,asset,current_asset,debit,0,,,asset_current,0,,137,
138,Other Accounts Receivable / (-) Allowance for Allowance for Rebates,asset,current_asset,debit,0,,,asset_current,0,,138,
139,Other Accounts Receivable / (-) Interest (+) to Accrue,asset,current_asset,debit,0,,,asset_current,0,,139,
141,Investments / Transitory Shares,asset,current_asset,debit,0,,,asset_current,0,,141,
