code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100000,Bank Suspense Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_100000,
100001,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,l10n_ph_account_100001,
100201,Liquidity Transfer,asset,current_asset,debit,0,,,asset_current,1,,l10n_ph_account_100201,
110000,Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ph_account_110000,
110003,Accounts Receivable (POS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ph_account_110003,
110100,Advances to Suppliers,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_ph_account_110100,
110101,Deposits,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_ph_account_110101,
110102,Employees Receivable-Cash Advance,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110102,
110103,Employees Receivable-Loan,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110103,
110104,ER - Others,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110104,
110105,Prepaid Insurance,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_ph_account_110105,
110106,Prepaid Pension - contribution,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_ph_account_110106,
110200,Prepaid Tax - Tax Credit Certificate,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110200,
110201,Input VAT 12%,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110201,
110202,Deferred Input VAT 12%,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110202,
110203,Deferred Tax Asset,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110203,
110205,Creditable Income Tax,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110205,
110206,Tax Withheld by Customer,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110206,
110207,Expanded Withholding Tax,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110207,
110208,Creditable VAT Withheld,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110208,
110209,VAT Refund/Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ph_account_110209,
110210,Withholding Tax Credit/Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ph_account_110210,
110300,Inventory,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110300,
110301,Purchases,asset,current_asset,debit,0,,,asset_current,0,,l10n_ph_account_110301,
110302,Stock Interim (Received),asset,current_asset,debit,0,,,asset_current,1,,l10n_ph_account_110302,
110303,Stock Interim (Delivered),asset,current_asset,debit,0,,,asset_current,1,,l10n_ph_account_110303,
110304,Stock Interim (Production),asset,current_asset,debit,0,,,asset_current,1,,l10n_ph_account_110304,
110400,Other Non-current Asset,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_ph_account_110400,
110500,Building and Leasehold Improvements,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110500,
110501,"Furniture, Fixtures and Equipment",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110501,
110502,Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110502,
110503,Computers,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110503,
110504,Accum Depreciation-Bldg & Leasehold Imp,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110504,
110505,"Accum Depreciation-Furniture, Fixtures and Equipment",asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110505,
110506,Accum Depreciation-Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110506,
110507,Accum Depreciation-Computers,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ph_account_110507,
200000,Accounts Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ph_account_200000,
200200,Dividends Payable - Common Shares,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200200,
200201,Unearned Revenue,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200201,
200202,Customer Deposits Received,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200202,
200300,Output VAT 12%,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200300,
200301,Expanded Withholding Tax,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200301,
200302,Final Withholding Tax,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200302,
200303,Accrued Fringe Benefit Tax,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200303,
200304,Income Tax Payable,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200304,
200305,VAT Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ph_account_200305,
200306,Withholding Tax Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ph_account_200306,
200307,Output VAT 12% Transition,liability,current_liability,credit,0,,,liability_current,0,,l10n_ph_account_200307,
200400,Other Non-current Liability,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ph_account_200400,
300000,Capital Stock,equity,equity,credit,0,,,equity,0,,l10n_ph_account_300000,
300001,Additional Paid in Capital,equity,equity,credit,0,,,equity,0,,l10n_ph_account_300001,
300002,Retained Earnings,equity,equity,credit,0,,,equity,0,,l10n_ph_account_300002,
430400,Sales/Revenues,income,income,credit,0,income,,income,0,,l10n_ph_account_430400,default_for_income
510000,Cost of Goods Sold,expense,direct_cost,debit,0,,,expense_direct_cost,0,,l10n_ph_account_510000,
511100,COGS - Purchases,expense,direct_cost,debit,0,,,expense_direct_cost,0,,l10n_ph_account_511100,
511600,COGS - Freight Costs,expense,direct_cost,debit,0,,,expense_direct_cost,0,,l10n_ph_account_511600,
511700,COGS - Direct Labor,expense,direct_cost,debit,0,,,expense_direct_cost,0,,l10n_ph_account_511700,
511800,COGS - Factory/Processing Overhead,expense,direct_cost,debit,0,,,expense_direct_cost,0,,l10n_ph_account_511800,
511900,Stock Variation,expense,expense,debit,0,,,expense,0,,l10n_ph_account_511900,
620000,Admin Expense,expense,expense,debit,0,expense,,expense,0,,l10n_ph_account_620000,default_for_expense
