code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1111001,Building,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,,l10n_pk_1111001,
1111002,Furniture and Fixture,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,Large expenses related to workplaces,l10n_pk_1111002,
1111003,Tools and Equipment,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,Machinery and tools directly related to your business,l10n_pk_1111003,
1111004,Plant and Machinery,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,"Other type of property, like plants, machinery or various equipment",l10n_pk_1111004,
1111005,Technology,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,Technological products or services bought for your business,l10n_pk_1111005,
1111006,Land,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,Purchases of lands without buildings,l10n_pk_1111006,
1111007,Construction,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,Construction of buildings and costs associated to buildings,l10n_pk_1111007,
1111008,Installations,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,"Purchases of installations related to buildings, like solar panels or heater",l10n_pk_1111008,
1111009,Vehicle,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,"Purchase of a car, including second hand or after-lease contract",l10n_pk_1111009,
1111010,Vehicle Accessories,asset,fixed_asset,debit,0,,"Assets / Non Current Assets / Property, Plant and Equipment",asset_fixed,0,All accessories purchases related to your professional vehicle,l10n_pk_1111010,
1112001,ERP System,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Intangible Assets,asset_non_current,0,,l10n_pk_1112001,
1113000,Investment Property,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Investment Property,asset_non_current,0,,l10n_pk_1113000,
1114000,Long Term Investments,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Long Term Investments,asset_non_current,0,,l10n_pk_1114000,
1115000,Long Term Deposits,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Long Term Deposits,asset_non_current,0,,l10n_pk_1115000,
1116000,Biological Assets,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Biological Assets,asset_non_current,0,,l10n_pk_1116000,
1117000,Investments in Associates,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Investments in Associates,asset_non_current,0,,l10n_pk_1117000,
1118000,Investments in Jointly Controlled Entities,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Investments in Jointly Controlled Entities,asset_non_current,0,,l10n_pk_1118000,
1119000,Other Financial Assets,asset,non_current_asset,debit,0,,Assets / Non Current Assets / Other Financial Assets,asset_non_current,0,,l10n_pk_1119000,
1121001,Receivable from Customers,asset,receivable,debit,0,receivables,Assets / Current Assets / Trade Receivable,asset_receivable,1,,l10n_pk_1121001,
1122001,Advances to Suppliers,asset,current_asset,debit,0,,Assets / Current Assets / Loans and Advances,asset_current,0,,l10n_pk_1122001,
1122002,Withholding Tax- Advance,asset,current_asset,debit,0,,Assets / Current Assets / Loans and Advances,asset_current,0,,l10n_pk_1122002,
1122003,Loan to Employees,asset,current_asset,debit,0,,Assets / Current Assets / Loans and Advances,asset_current,0,,l10n_pk_1122003,
1123001,Security Deposits,asset,current_asset,debit,0,,Assets / Current Assets / Trade Deposits and Short Term Prepayments,asset_current,0,,l10n_pk_1123001,
1123002,Prepaid Rent,asset,current_asset,debit,0,,Assets / Current Assets / Trade Deposits and Short Term Prepayments,asset_current,0,,l10n_pk_1123002,
1123003,Income Tax Refundable,asset,current_asset,debit,0,,Assets / Current Assets / Trade Deposits and Short Term Prepayments,asset_current,0,,l10n_pk_1123003,
1123004,Sales Tax Refundable,asset,receivable,debit,0,receivables,Assets / Current Assets / Trade Deposits and Short Term Prepayments,asset_receivable,1,,l10n_pk_1123004,
1123005,Sales Tax Paid,asset,current_asset,debit,0,,Assets / Current Assets / Trade Deposits and Short Term Prepayments,asset_current,0,,l10n_pk_1123005,
1124000,Other Current Assets,asset,current_asset,debit,0,,Assets / Current Assets / Other Current Assets,asset_current,0,,l10n_pk_1124000,
1125001,Stock in Hand,asset,current_asset,debit,0,,Assets / Current Assets / Stock in Trade,asset_current,0,,l10n_pk_1125001,
1125002,Work in Process,asset,current_asset,debit,0,,Assets / Current Assets / Stock in Trade,asset_current,0,,l10n_pk_1125002,
1125003,Finished Goods,asset,current_asset,debit,0,,Assets / Current Assets / Stock in Trade,asset_current,0,,l10n_pk_1125003,
2111000,Share Capital,equity,equity,credit,0,,Equity and Liabilities / Equity / Share Capital,equity,0,,l10n_pk_2111000,
2112000,Reserves,equity,equity,credit,0,,Equity and Liabilities / Equity / Reserves,equity,0,,l10n_pk_2111002,
2113000,Revaluation Surplus on Property and Equipment,equity,equity,credit,0,,Equity and Liabilities / Equity / Revaluation Surplus on Property and Equipment,equity,0,,l10n_pk_2113000,
2211001,Long term Loan,liability,non_current_liability,credit,0,,Equity and Liabilities / Liabilities / Non Current Liabilities / Long Term Financing,liability_non_current,0,,l10n_pk_2211001,
2211002,Liabilities Against Assets Subject to Finance Lease,liability,non_current_liability,credit,0,,Equity and Liabilities / Liabilities / Non Current Liabilities / Long Term Financing,liability_non_current,0,,l10n_pk_2211002,
2212000,Deferred Liabilities,liability,non_current_liability,credit,0,,Equity and Liabilities / Liabilities / Non Current Liabilities / Deferred Liabilities,liability_non_current,0,,l10n_pk_2212000,
2221001,Payable to Suppliers,liability,payable,credit,0,payables,Equity and Liabilities / Liabilities / Current Liabilities / Trade and Payables,liability_payable,1,,l10n_pk_2221001,
2221002,Accrued Expenses,liability,current_liability,credit,0,,Equity and Liabilities / Liabilities / Current Liabilities / Trade and Payables,liability_current,1,,l10n_pk_2221002,
2221003,Salaries Payable,liability,payable,credit,0,payables,Equity and Liabilities / Liabilities / Current Liabilities / Trade and Payables,liability_payable,1,,l10n_pk_2221003,
2221004,Mark-up accrued,liability,payable,credit,0,payables,Equity and Liabilities / Liabilities / Current Liabilities / Trade and Payables,liability_payable,1,,l10n_pk_2221004,
2221005,Sales Tax Payable,liability,payable,credit,0,payables,Equity and Liabilities / Liabilities / Current Liabilities / Trade and Payables,liability_payable,1,,l10n_pk_2221005,
2221006,Withholding Tax Payable,liability,current_liability,credit,0,,Equity and Liabilities / Liabilities / Current Liabilities / Trade and Payables,liability_current,1,,l10n_pk_2221006,
