code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
000,Subscribed shares unpaid,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Subscribed capital, unpaid",asset_non_current,0,,rs_000,
001,Subscribed stakes unpaid,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Subscribed capital, unpaid",asset_non_current,0,,rs_001,
010,Investment in development,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_010,
011,"Concessions, patents, licenses, goods and services brands",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_011,
012,Software and other rights,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_012,
013,Godwill,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_013,
014,Other intangible assets,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_014,
015,Intangible assets under preparation,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_015,
016,Advances for acquisition of intangible assets,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_non_current,0,,rs_016,
019,Provisions for acquisition of intangible assets,asset,current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Intangibles",asset_current,0,,rs_019,
020,Agricultural and other land,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_020,
021,Building land,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_021,
022,Buildings,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_022,
023,Plant and equipment,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_023,
024,Investment property,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_024,
025,"Other property, plant and equipment",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_025,
026,"Property, plant and equipment under construction",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_026,
027,"Investment in other property, plant and equipment",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_027,
028,"Advances for property, plant and equipment",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_028,
029,"Provisions for property, plant and equipment",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Property, plant, equipment and natural assets",asset_non_current,0,,rs_029,
030,Forests,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Natural assets",asset_non_current,0,,rs_030,
031,Plantations,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Natural assets",asset_non_current,0,,rs_031,
032,Livestock,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Natural assets",asset_non_current,0,,rs_032,
037,Natural assets under construction,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Natural assets",asset_non_current,0,,rs_037,
038,Advances for natural assets,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Natural assets",asset_non_current,0,,rs_038,
039,Provisions of natural assets,asset,current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Natural assets",asset_current,0,,rs_039,
040,Investments in capital of parent companies and subsidiaries,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_040,
041,Investments in capital of associated legal entities and joint ventures,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_041,
042,Investments in other legal entities and other securities available for sale,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_042,
0430,"Long-term domestic loans to parent companies, to subsidiaries",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments / Long-term domestic loans to parent companies, to subsidiaries and to other associated companies",asset_non_current,0,,rs_0430,
0431,Long-term domestic loans to other associated companies,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments / Long-term domestic loans to parent companies, to subsidiaries and to other associated companies",asset_non_current,0,,rs_0431,
0440,"Long-term foreign loans to parent companies, to subsidiaries",asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments / Long-term foreign loans to parent companies, to subsidiaries and to other associated companies",asset_non_current,0,,rs_0440,
0441,Long-term foreign loans to other associated companies,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments / Long-term foreign loans to parent companies, to subsidiaries and to other associated companies",asset_non_current,0,,rs_0441,
0450,Long term domestic loans,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments / Long term domestic and foreign loans",asset_non_current,0,,rs_0450,
0451,Long term foreign loans,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments / Long term domestic and foreign loans",asset_non_current,0,,rs_0451,
046,Securities held to maturity,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_046,
047,Own stocks and shares purchased,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_047,
048,Other long term financial investments,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_048,
049,Provisions for long-term financial investments,asset,non_current_asset,debit,0,,"Subscribed capital, unpaid and non-current assets / Long term financial investments",asset_non_current,0,,rs_049,
