code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100101,Right of use Asset (IFRS 16),asset,fixed_asset,debit,0,,,asset_fixed,0,,sa_account_100101,
100102,Accumulated Depreciation on Right of use asset (IFRS 16),asset,fixed_asset,debit,0,,,asset_fixed,0,,sa_account_100102,
100103,VAT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,sa_account_100103,
100104,Withholding Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,sa_account_100104,
101005,Main Safe,asset,current_asset,debit,0,,,asset_current,0,,sa_account_101005,
101006,Main Safe - Foreign Currency,asset,current_asset,debit,0,,,asset_current,0,,sa_account_101006,
101060,VAT Paid to Customs,asset,current_asset,debit,0,,,asset_current,0,,sa_account_101060,
102011,Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,sa_account_102011,
102012,Accounts Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,sa_account_102012,
102013,Post Dated Cheques Received,asset,current_asset,debit,0,,,asset_current,0,,sa_account_102013,
102014,Other Receivable,asset,current_asset,debit,0,,,asset_current,0,,sa_account_102014,
102015,Other Debtors,asset,current_asset,debit,0,,,asset_current,0,,sa_account_102015,
103016,Shipment Insurance,asset,current_asset,debit,0,,,asset_current,0,,sa_account_103016,
103017,Shipment Documentation Charges,asset,current_asset,debit,0,,,asset_current,0,,sa_account_103017,
103018,Shipment Other Charges,asset,current_asset,debit,0,,,asset_current,0,,sa_account_103018,
103019,Handling Difference in Inventory,asset,current_asset,debit,0,,,asset_current,0,,sa_account_103019,
103020,Items Delivered to Customs,asset,current_asset,debit,0,,,asset_current,0,,sa_account_103020,
104020,Prepaid Expense,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104020,
104021,Prepaid Medical Insurance,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104021,
104022,Prepaid Life Insurance,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104022,
104023,Prepaid Office Rent,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104023,
104024,Prepaid Other Insurance,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104024,
104025,Prepaid License Fees,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104025,
104026,Prepaid Maintenance,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104026,
104027,Prepaid Site Hosting Fees,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104027,
104028,Prepaid Employees Housing,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104028,
104029,Prepaid Schooling Fees,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104029,
104030,Prepaid Consultancy Fees,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104030,
104031,Prepaid Legal Fees,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104031,
104032,Prepaid Sponsorship Fees,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104032,
104033,Prepaid Advertisement Expenses,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104033,
104034,Prepaid Bank Guarantee,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104034,
104035,Other Prepayments,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104035,
104036,Prepaid Finance charge for Loans,asset,prepayment,debit,0,,,asset_prepayments,0,,sa_account_104036,
104037,Deposit - Office Rent,asset,current_asset,debit,0,,,asset_current,0,,sa_account_104037,
104038,Deposits - Customs,asset,current_asset,debit,0,,,asset_current,0,,sa_account_104038,
104039,Deposit to Immigration (Visa),asset,current_asset,debit,0,,,asset_current,0,,sa_account_104039,
104040,Deposit Others,asset,current_asset,debit,0,,,asset_current,0,,sa_account_104040,
104041,VAT Input,asset,current_asset,debit,0,,,asset_current,0,,sa_account_104041,
104043,Recoverable VAT Input - Reverse Charge,asset,current_asset,debit,0,,,asset_current,0,,sa_account_104043,
106001,Leasehold Improvement,asset,fixed_asset,debit,0,,,asset_fixed,0,,sa_account_106001,
106002,Furniture and Equipment,asset,fixed_asset,debit,0,,,asset_fixed,0,,sa_account_106002,
106003,Computer Hardware & Software,asset,fixed_asset,debit,0,,,asset_fixed,0,,sa_account_106003,
