code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1030,Patents,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Patents,asset_non_current,0,,a1030,
1039,Accumulated amortisation of patents,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Patents,asset_non_current,0,,a1039,
1060,"Tenements, leaseholds and similar rights",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Tenancies, leasehold and similar rights",asset_non_current,0,,a1060,
1069,"Accumulated amortisation of tenancies, leasehold and similar rights",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Tenancies, leasehold and similar rights",asset_non_current,0,,a1069,
1110,Buildings,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1110,
1119,Accumulated depreciation of buildings,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1119,
1130,Land,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land,asset_fixed,0,,a1130,
1150,Land improvements,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land improvements,asset_fixed,0,,a1150,
1159,Accumulated depreciation of land improvements,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land improvements,asset_fixed,0,,a1159,
1210,Machinery and other technical equipment,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Machinery and other technical equipment,asset_fixed,0,,a1210,
1219,Accumulated depreciation of machinery and equipment,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Machinery and other technical equipment,asset_fixed,0,,a1219,
1220,Equipment and tools,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Equipment and tools,asset_fixed,0,,a1220,
1229,Accumulated depreciation of equipment and tools,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Equipment and tools,asset_fixed,0,,a1229,
1240,Vehicles and other transport equipment,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Vehicles and other means of transport,asset_fixed,0,,a1240,
1249,Accumulated depreciation of cars and other transport equipment,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Vehicles and other means of transport,asset_fixed,0,,a1249,
1250,Computers,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Computers,asset_fixed,0,,a1250,
1259,Accumulated depreciation of computers,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Computers,asset_fixed,0,,a1259,
1290,Other tangible fixed assets,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Other tangible fixed assets,asset_fixed,0,,a1290,
1291,Art and similar assets,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Other tangible fixed assets,asset_fixed,0,,a1291,
1299,Accumulated depreciation of other tangible fixed assets,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Other tangible fixed assets,asset_fixed,0,,a1299,
1350,Shares and securities in other enterprises,asset,non_current_asset,debit,0,,Assets / Financial fixed assets / Shares and securities in other enterprises,asset_non_current,0,,a1350,
1380,Other long-term receivables,asset,non_current_asset,debit,0,,Assets / Financial fixed assets / Other long-term receivables,asset_non_current,0,,a1380,
1410,Stocks of raw materials,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Stocks of raw materials",asset_current,0,,a1410,
1419,Change in stocks of raw materials,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Stocks of raw materials",asset_current,0,,a1419,
1440,Work in progress,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Work in progress",asset_current,0,,a1440,
1449,Change in work in progress,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Work in progress",asset_current,0,,a1449,
1450,Stocks of finished goods,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Stocks of finished goods",asset_current,0,,a1450,
1459,Change in stocks of finished goods,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Stocks of finished goods",asset_current,0,,a1459,
1460,Stocks of goods for resale,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Stocks of merchandise",asset_current,0,,a1460,
1469,Change in stocks of goods for resale,asset,current_asset,debit,0,,"Assets / Inventories, work in progress and work in progress / Stocks of merchandise",asset_current,0,,a1469,
