code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1020,"Concessions, etc.",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Concessions, etc.",asset_non_current,0,,a1020,
1028,"Accumulated impairment losses on concessions, etc.",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Concessions, etc.",asset_non_current,0,,a1028,
1029,Accumulated amortisation of concessions etc.,asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Concessions, etc.",asset_non_current,0,,a1029,
1030,Patents,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Patents,asset_non_current,0,,a1030,
1038,Accumulated impairment losses on patents,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Patents,asset_non_current,0,,a1038,
1039,Accumulated amortisation of patents,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Patents,asset_non_current,0,,a1039,
1040,Licences,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Licences,asset_non_current,0,,a1040,
1048,Accumulated impairment losses on licences,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Licences,asset_non_current,0,,a1048,
1049,Accumulated amortisation of licences,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Licences,asset_non_current,0,,a1049,
1050,Trade marks,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Trade marks,asset_non_current,0,,a1050,
1058,Accumulated impairment losses on trademarks,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Trade marks,asset_non_current,0,,a1058,
1059,Accumulated amortisation of trademarks,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Trade marks,asset_non_current,0,,a1059,
1060,"Tenancies, leaseholds and similar",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Tenancies, leasehold and similar rights",asset_non_current,0,,a1060,
1068,"Accumulated impairment losses on leasehold rights, freehold rights and similar",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Tenancies, leasehold and similar rights",asset_non_current,0,,a1068,
1069,"Accumulated amortisation of tenancies, leasehold and similar rights",asset,non_current_asset,debit,0,,"Assets / Intangible fixed assets / Tenancies, leasehold and similar rights",asset_non_current,0,,a1069,
1070,Goodwill,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Goodwill,asset_non_current,0,,a1070,
1078,Accumulated amortisation of goodwill,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Goodwill,asset_non_current,0,,a1078,
1079,Accumulated amortisation of goodwill,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Goodwill,asset_non_current,0,,a1079,
1080,Advances for intangible fixed assets,asset,non_current_asset,debit,0,,Assets / Intangible fixed assets / Advances for intangible fixed assets,asset_non_current,0,,a1080,
1110,Buildings,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1110,
1111,Buildings on other people's land,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1111,
1112,Buildings on own land,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1112,
1118,Accumulated impairment losses on buildings,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1118,
1119,Accumulated depreciation of buildings,asset,fixed_asset,debit,0,,Assets / Buildings and land / Buildings,asset_fixed,0,,a1119,
1120,Improvements to property owned by others,asset,fixed_asset,debit,0,,Assets / Buildings and land / Improvement costs on another one's property,asset_fixed,0,,a1120,
1129,Accumulated depreciation of improvements on other people's property,asset,fixed_asset,debit,0,,Assets / Buildings and land / Improvement costs on another one's property,asset_fixed,0,,a1129,
1130,Land,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land,asset_fixed,0,,a1130,
1140,Land and undeveloped land,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land plots and undeveloped land,asset_fixed,0,,a1140,
1150,Land improvements,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land improvements,asset_fixed,0,,a1150,
1158,Accumulated impairment losses on land improvements,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land improvements,asset_fixed,0,,a1158,
1159,Accumulated depreciation of land improvements,asset,fixed_asset,debit,0,,Assets / Buildings and land / Land improvements,asset_fixed,0,,a1159,
1180,"Construction, extension and renovation in progress",asset,fixed_asset,debit,0,,Assets / Buildings and land / Construction in progress and advances for buildings and land,asset_fixed,0,,a1180,
1188,Advances for buildings and land,asset,fixed_asset,debit,0,,Assets / Buildings and land / Construction in progress and advances for buildings and land,asset_fixed,0,,a1188,
1210,Machinery and other technical equipment,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Machinery and other technical equipment,asset_fixed,0,,a1210,
1211,Machinery,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Machinery and other technical equipment,asset_fixed,0,,a1211,
1213,Other technical installations,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Machinery and other technical equipment,asset_fixed,0,,a1213,
1218,Accumulated depreciation of machinery and other technical equipment,asset,fixed_asset,debit,0,,Assets / Machinery and equipment / Machinery and other technical equipment,asset_fixed,0,,a1218,
