code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100010,Trade Receivable Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_735,
100020,Other Receivable Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_736,
100030,Trade Receivable Account (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_737,
101110,Allowance for Bad Debts,asset,current_asset,debit,0,,,asset_current,0,,account_account_696,
101120,Employee Cash Advances,asset,current_asset,debit,0,,,asset_current,0,,account_account_698,
101130,Inventory,asset,current_asset,debit,0,,,asset_current,0,,account_account_699,
101140,Investments - Other,asset,current_asset,debit,0,,,asset_current,0,,account_account_700,
101150,Loans to Officers,asset,current_asset,debit,0,,,asset_current,0,,account_account_701,
101160,Loans to Others,asset,current_asset,debit,0,,,asset_current,0,,account_account_702,
101170,Loans to Shareholders,asset,current_asset,debit,0,,,asset_current,0,,account_account_703,
101180,Prepaid Expenses,asset,current_asset,debit,0,,,asset_current,0,,account_account_704,
101190,Retainage,asset,current_asset,debit,0,,,asset_current,0,,account_account_705,
101200,Undeposited Funds,asset,current_asset,debit,0,,,asset_current,0,,account_account_706,
101210,Other Current Assets,asset,current_asset,debit,0,,,asset_current,0,,account_account_707,
101220,Available-for-sale Financial Assets,asset,current_asset,debit,0,,,asset_current,0,,account_account_722,
101230,Deferred Tax Assets,asset,current_asset,debit,0,,,asset_current,0,,account_account_723,
101231,GST Receivable/Refund,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_857,
101232,Other Tax Receivable/Refund,asset,current_asset,debit,0,,,asset_current,0,,account_account_858,
101240,Prepayments and Accrued Income,asset,current_asset,debit,0,,,asset_current,0,,account_account_731,
101250,Security Deposits,asset,current_asset,debit,0,,,asset_current,0,,account_account_732,
101260,Input Tax & Refunds Claimed,asset,current_asset,debit,0,,,asset_current,0,,account_account_738,
102100,Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_712,
