code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
000000,Good name,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_000000,
002000,Deferred development costs,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_002000,
003000,Property and other rights,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_003000,
005000,Other intangible assets,asset,fixed_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_fixed,0,,gd_acc_005000,
007000,Long-term active accruals,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_007000,
008000,Amortisation adjustment to intangible assets,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_008000,
008900,Impairment of long-term trade receivables,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_089000,
009000,Impairment of intangible assets,asset,non_current_asset,debit,0,,Long-term assets / Intangible assets and long-term accrued costs and deferred revenue,asset_non_current,0,,gd_acc_009000,
010000,Investment property valued according to the cost model,asset,non_current_asset,debit,0,,Long-term assets / Investment property,asset_non_current,0,,gd_acc_010000,
011000,Investment property valued using the fair value model,asset,non_current_asset,debit,0,,Long-term assets / Investment property,asset_non_current,0,,gd_acc_011000,
015000,Allowance for depreciation of investment property,asset,non_current_asset,debit,0,,Long-term assets / Investment property,asset_non_current,0,,gd_acc_015000,
017000,Investment property under construction or development,asset,non_current_asset,debit,0,,Long-term assets / Investment property,asset_non_current,0,,gd_acc_017000,
019000,Impairment of investment property,asset,non_current_asset,debit,0,,Long-term assets / Investment property,asset_non_current,0,,gd_acc_019000,
020000,Land valued using the cost model,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_020000,
021000,Buildings valued using the cost model,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_021000,
021100,Buildings - leasing,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_021100,
022000,Land valued using the revaluation model,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_022000,
022100,Land valued according to the revaluation model,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_022100,
023000,Buildings valued according to the revaluation model,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_023000,
026000,Investing in foreign-owned real estate,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_026000,
027000,Real estate under construction or construction,asset,fixed_asset,debit,0,,Long-term assets / Real estate,asset_fixed,0,,gd_acc_027000,
031000,Impairment of land value,asset,fixed_asset,debit,0,,Long-term assets / Impairment and impairment of real estate,asset_fixed,0,,gd_acc_031000,
032000,"Correction of the value of land (quarries, waste disposal sites) due to depreciation",asset,fixed_asset,debit,0,,Long-term assets / Impairment and impairment of real estate,asset_fixed,0,,gd_acc_032000,
035000,Correction of the value of buildings due to depreciation,asset,fixed_asset,debit,0,,Long-term assets / Impairment and impairment of real estate,asset_fixed,0,,gd_acc_035000,
035100,Correction of the value of buildings - leasing,asset,fixed_asset,debit,0,,Long-term assets / Impairment and impairment of real estate,asset_fixed,0,,gd_acc_035100,
036000,Correction of the value of investments in foreign-owned real estate,asset,fixed_asset,debit,0,,Long-term assets / Impairment and impairment of real estate,asset_fixed,0,,gd_acc_036000,
