code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101,Non-consumable endowment with no right of reversal,equity,equity,credit,0,,,equity,0,,syscebnl_101,
102,Non-consumable endowment with right of reversal,equity,equity,credit,0,,,equity,0,,syscebnl_102,
103,Entrance fee,equity,equity,credit,0,,,equity,0,,syscebnl_103,
104,Expendable endowment,equity,equity,credit,0,,,equity,0,,syscebnl_104,
106,Revaluation differences,equity,equity,credit,0,,,equity,0,,syscebnl_106,
112,Statutory or contractual reserves,equity,equity,credit,0,,,equity,0,,syscebnl_112,
118,Other reserves,equity,equity,credit,0,,,equity,0,,syscebnl_118,
121,Retained earnings,equity,equity,credit,0,,,equity,0,,syscebnl_121,
128,Net income pending appropriation,equity,retained_earnings,credit,0,,,equity_unaffected,0,,syscebnl_128,
129,Retained earnings carried forward,equity,equity,credit,0,,,equity,0,,syscebnl_129,
131,Surplus for the year,equity,equity,credit,0,,,equity,0,,syscebnl_131,
139,Deficit for the year,equity,equity,credit,0,,,equity,0,,syscebnl_139,
141,Equipment grants,equity,equity,credit,0,,,equity,0,,syscebnl_141,
148,Other investment grants,equity,equity,credit,0,,,equity,0,,syscebnl_148,
154,Special revaluation provisions,equity,equity,credit,0,,,equity,0,,syscebnl_154,
158,Other regulated provisions and similar funds,equity,equity,credit,0,,,equity,0,,syscebnl_158,
161,Development project fund - accountable cash advances,equity,equity,credit,0,,,equity,0,,syscebnl_161,
162,Funds earmarked for development project investments – donors,equity,equity,credit,0,,,equity,0,,syscebnl_162,
163,Funds allocated to development project investments - the State,equity,equity,credit,0,,,equity,0,,syscebnl_163,
164,Funds allocated to investments by other similar financing organizations,equity,equity,credit,0,,,equity,0,,syscebnl_164,
165,Funds earmarked for a specific project,equity,equity,credit,0,,,equity,0,,syscebnl_165,
167,Funds from gifts and bequests of fixed assets,equity,equity,credit,0,,,equity,0,,syscebnl_167,
168,Other restricted funds,equity,equity,credit,0,,,equity,0,,syscebnl_168,
169,Restricted funds receivable,equity,equity,credit,0,,,equity,0,,syscebnl_169,
171,Temporary donation of usufruct,equity,equity,credit,0,,,equity,0,,syscebnl_171,
172,Donations and bequests not yet received from fixed assets held for sale,equity,equity,credit,0,,,equity,0,,syscebnl_172,
178,Other deferred funds,equity,equity,credit,0,,,equity,0,,syscebnl_178,
181,Bond issues,liability,non_current_liability,credit,0,,,liability_non_current,0,,syscebnl_181,
182,Borrowings from credit institutions,liability,non_current_liability,credit,0,,,liability_non_current,0,,syscebnl_182,
