code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1011,Uncalled committed capital,equity,equity,credit,0,,,equity,0,,pcg_1011,
1012,"Capital subscribed, called, not paid",equity,equity,credit,0,,,equity,0,,pcg_1012,
1013,"Capital subscribed, called, paid, unamortized",equity,equity,credit,0,,,equity,0,,pcg_1013,
1014,"Capital subscribed, called, paid, amortized",equity,equity,credit,0,,,equity,0,,pcg_1014,
1018,Subscribed capital subject to specific conditions,equity,equity,credit,0,,,equity,0,,pcg_1018,
1021,Initial endowment,equity,equity,credit,0,,,equity,0,,pcg_1021,
1022,Additional allocations,equity,equity,credit,0,,,equity,0,,pcg_1022,
1028,Other endowments,equity,equity,credit,0,,,equity,0,,pcg_1028,
103,Personal capital,equity,equity,credit,0,,,equity,0,,pcg_103,
1041,Temporary contributions,equity,equity,credit,0,,,equity,0,,pcg_1041,
1042,Common operations,equity,equity,credit,0,,,equity,0,,pcg_1042,
1043,"Remuneration, taxes and other personal charges",equity,equity,credit,0,,,equity,0,,pcg_1043,
1047,Self-consumption withdrawals,equity,equity,credit,0,,,equity,0,,pcg_1047,
1048,Other levies,equity,equity,credit,0,,,equity,0,,pcg_1048,
1051,Issuance premiums,equity,equity,credit,0,,,equity,0,,pcg_1051,
1052,Contribution premiums,equity,equity,credit,0,,,equity,0,,pcg_1052,
1053,Merger bonuses,equity,equity,credit,0,,,equity,0,,pcg_1053,
1054,Conversion bonuses,equity,equity,credit,0,,,equity,0,,pcg_1054,
1058,Other bonuses,equity,equity,credit,0,,,equity,0,,pcg_1058,
1061,Legal revaluation differences,equity,equity,credit,0,,,equity,0,,pcg_1061,
1062,Free revaluation differences,equity,equity,credit,0,,,equity,0,,pcg_1062,
109,"Contributors, subscribed capital, uncalled",equity,equity,credit,0,,,equity,0,,pcg_109,
111,Legal reserve,equity,equity,credit,0,,,equity,0,,pcg_111,
112,Statutory or contractual reserves,equity,equity,credit,0,,,equity,0,,pcg_112,
1131,Long-term net capital gains reserves,equity,equity,credit,0,,,equity,0,,pcg_1131,
1132,Reserves for free allocation of shares to employees and managers,equity,equity,credit,0,,,equity,0,,pcg_1132,
1133,Reserves resulting from the granting of investment grants,equity,equity,credit,0,,,equity,0,,pcg_1133,
1134,Reserves of securities giving access to capital,equity,equity,credit,0,,,equity,0,,pcg_1134,
1138,Other regulated reserves,equity,equity,credit,0,,,equity,0,,pcg_1138,
1181,Optional reservations,equity,equity,credit,0,,,equity,0,,pcg_1181,
1188,Miscellaneous reserves,equity,equity,credit,0,,,equity,0,,pcg_1188,
121,Carry forward creditor,equity,equity,credit,0,,,equity,0,,pcg_121,
1291,Net loss to be carried forward,equity,equity,credit,0,,,equity,0,,pcg_1291,
1292,Loss - Amortization deemed deferred,equity,equity,credit,0,,,equity,0,,pcg_1292,
1301,Result pending allocation: Profit,equity,equity,credit,0,,,equity,0,,pcg_1301,
1309,Result pending assignment: Loss,equity,equity,credit,0,,,equity,0,,pcg_1309,
131,Net income: profit,equity,equity,credit,0,,,equity,0,,pcg_131,
132,Trade margin (tm),equity,equity,credit,0,,,equity,0,,pcg_132,
133,Added value (a.v.),equity,equity,credit,0,,,equity,0,,pcg_133,
