code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
111100,Cash on Hand,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,Physical cash in safe or tills. Reconcile with daily cash counts.,l10n_th_account_111100,
111200,Bank Deposits,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,Funds in savings/current accounts. Reconcile with monthly bank statements.,l10n_th_account_111200,
111201,Bank Suspense Account,asset,current_asset,debit,0,,,asset_current,1,Temporary holding account for imported bank transactions pending reconciliation.,l10n_th_account_111201,
111202,Liquidity Transfer,asset,current_asset,debit,0,,,asset_current,1,Interim clearing account for internal fund transfers between bank or cash journals.,l10n_th_account_111202,
111300,Cash Equivalents,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,Highly liquid short-term investments convertible to known cash amounts.,l10n_th_account_111300,
112100,Trade Receivables,asset,receivable,debit,0,receivables,,asset_receivable,1,Amounts owed by customers for goods sold or services rendered on credit.,l10n_th_account_112100,
112101,Trade Receivables (POS),asset,receivable,debit,0,receivables,,asset_receivable,1,Amounts owed by POS customers for goods sold or services rendered on credit.,l10n_th_account_112101,
112190,Allowance for Doubtful Accounts,asset,current_asset,debit,0,,,asset_current,0,Estimated portion of receivables unlikely to be collected (Contra Asset).,l10n_th_account_112190,
112200,Other Receivables,asset,current_asset,debit,0,,,asset_current,1,Non-trade receivables such as loans to employees or insurance claims.,l10n_th_account_112200,
113100,Goods for resale,asset,current_asset,debit,0,,,asset_current,0,Finished goods purchased specifically for resale to customers.,l10n_th_account_113100,
113200,Raw materials,asset,current_asset,debit,0,,,asset_current,0,Basic materials kept on hand for use in the production process.,l10n_th_account_113200,
113300,Consumables,asset,current_asset,debit,0,,,asset_current,0,"Supplies used in operations (e.g., packaging) that are not direct product costs.",l10n_th_account_113300,
113400,Work in Process,asset,current_asset,debit,0,,,asset_current,0,Goods currently in production but not yet completed.,l10n_th_account_113400,
113900,Allowance for Inventory Decline,asset,current_asset,debit,0,,,asset_current,0,Provision to reduce inventory value if market price drops below cost.,l10n_th_account_113900,
114100,Undue Input VAT,asset,current_asset,debit,0,,,asset_current,1,Suspense VAT: Input tax from service bills received but not yet paid. Move to 'Input VAT' upon payment.,l10n_th_account_114100,
114200,Input VAT,asset,current_asset,debit,0,,,asset_current,1,Tax paid on purchases. Balance is transferred to VAT Payable/Receivable at month-end.,l10n_th_account_114200,
114300,WHT Creditable,asset,current_asset,debit,0,,,asset_current,1,Prepaid Tax: Income tax deducted by customers when paying you. Claimable against year-end CIT.,l10n_th_account_114300,
114400,VAT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,Net tax refund due from the Revenue Dept (if Input VAT > Output VAT).,l10n_th_account_114400,
114401,WHT Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,Tax Closing Account: Consolidated WHT tax credits transferred from daily accounts. To be claimed against annual Corporate Income Tax (P.N.D. 50).,l10n_th_account_114401,
114500,Prepaid CIT (PND 51),asset,current_asset,debit,0,,,asset_current,1,Prepaid Tax: Corporate Income Tax paid mid-year (Form PND 51). Creditable against annual tax.,l10n_th_account_114500,
115100,Temporary Investments,asset,current_asset,debit,0,,,asset_current,0,"Investments held for trading or short-term gains (e.g., stocks, bonds).",l10n_th_account_115100,
115200,Biological Assets (Current),asset,current_asset,debit,0,,,asset_current,0,Living animals or plants held for sale or harvest within one accounting period.,l10n_th_account_115200,
121100,Investments in Associates,asset,non_current_asset,debit,0,,,asset_non_current,0,Long-term equity investments where the company has significant influence (20-50%).,l10n_th_account_121100,
122100,Investment Property,asset,non_current_asset,debit,0,,,asset_non_current,0,Land or buildings held specifically to earn rentals or for capital appreciation.,l10n_th_account_122100,
123100,Land,asset,fixed_asset,debit,0,,,asset_fixed,0,Land owned for operations. Not depreciated.,l10n_th_account_123100,
123150,Land Improvements,asset,fixed_asset,debit,0,,,asset_fixed,0,"Cost of paving, fencing, or drainage systems.",l10n_th_account_123150,
123151,Accum. Depr. - Land Improvements,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for land improvements.,l10n_th_account_123151,
123200,Buildings (Structure),asset,fixed_asset,debit,0,,,asset_fixed,0,Cost of main building structures owned by the company.,l10n_th_account_123200,
123201,Accum. Depr. - Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for buildings.,l10n_th_account_123201,
123210,Building Installations,asset,fixed_asset,debit,0,,,asset_fixed,0,"Integrated systems like HVAC, solar panels, or elevators with shorter lives.",l10n_th_account_123210,
123211,Accum. Depr. - Installations,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for building installations.,l10n_th_account_123211,
123220,Construction in Progress,asset,fixed_asset,debit,0,,,asset_fixed,0,Costs accumulated for assets currently being built. Not depreciated until ready for use.,l10n_th_account_123220,
123230,Machinery & Tools,asset,fixed_asset,debit,0,,,asset_fixed,0,Machinery and equipment used in production or service delivery.,l10n_th_account_123230,
123231,Accum. Depr. - Machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for machinery.,l10n_th_account_123231,
123240,Major Spare Parts (Stand-by),asset,fixed_asset,debit,0,,,asset_fixed,0,High-value spares expected to be used for >1 year (TFRS NPAEs).,l10n_th_account_123240,
123241,Accum. Depr. - Major Spares,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for major spare parts.,l10n_th_account_123241,
123250,Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,"Cost of company cars, trucks, or motorcycles.",l10n_th_account_123250,
123251,Accum. Depr. - Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for vehicles.,l10n_th_account_123251,
123260,Vehicle Accessories,asset,fixed_asset,debit,0,,,asset_fixed,0,Modifications or add-ons to vehicles.,l10n_th_account_123260,
123261,Accum. Depr. - Vehicle Acc.,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for vehicle accessories.,l10n_th_account_123261,
123270,Furniture & Fixtures,asset,fixed_asset,debit,0,,,asset_fixed,0,"Office furniture, desks, chairs, and fixtures.",l10n_th_account_123270,
123271,Accum. Depr. - Furniture,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for furniture.,l10n_th_account_123271,
123280,Technology & Computers,asset,fixed_asset,debit,0,,,asset_fixed,0,"Laptops, servers, and IT hardware.",l10n_th_account_123280,
123281,Accum. Depr. - Technology,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for technology.,l10n_th_account_123281,
123290,Other Fixed Assets,asset,fixed_asset,debit,0,,,asset_fixed,0,Miscellaneous fixed assets not categorized above.,l10n_th_account_123290,
123291,Accum. Depr. - Other Assets,asset,fixed_asset,debit,0,,,asset_fixed,0,Accumulated depreciation for other assets.,l10n_th_account_123291,
124100,Computer Software,asset,non_current_asset,debit,0,,,asset_non_current,0,Intangible assets for purchased software licenses.,l10n_th_account_124100,
124101,Accum. Amortization - Software,asset,non_current_asset,debit,0,,,asset_non_current,0,Accumulated amortization for software.,l10n_th_account_124101,
124200,Goodwill,asset,non_current_asset,debit,0,,,asset_non_current,0,Excess payment over net assets acquired in a business combination.,l10n_th_account_124200,
124201,Accum. Amortization - Goodwill,asset,non_current_asset,debit,0,,,asset_non_current,0,Accumulated amortization for goodwill.,l10n_th_account_124201,
211100,Bank Overdrafts,liability,current_liability,credit,0,,,liability_current,1,Negative bank balance repayable on demand.,l10n_th_account_211100,
211200,Short-term Loans,liability,current_liability,credit,0,,,liability_current,1,Bank loans or borrowings due within one year.,l10n_th_account_211200,
212100,Trade Payables,liability,payable,credit,0,payables,,liability_payable,1,Amounts owed to suppliers for goods or services purchased on credit.,l10n_th_account_212100,
212200,Other Payables,liability,current_liability,credit,0,,,liability_current,1,"Non-trade obligations (e.g., payables to directors).",l10n_th_account_212200,
212300,Accrued Expenses,liability,current_liability,credit,0,,,liability_current,1,Estimated liabilities for services received but not yet billed.,l10n_th_account_212300,
212400,Advances from Customers,liability,current_liability,credit,0,,,liability_current,1,Deposit/Downpayment received from customers. Reconcile against the final Customer Invoice.,l10n_th_account_212400,
213100,Undue Output VAT,liability,current_liability,credit,0,,,liability_current,1,Suspense VAT: Output tax on service invoices issued but not yet paid.,l10n_th_account_213100,
213200,Output VAT,liability,current_liability,credit,0,,,liability_current,1,Net VAT liability (Output VAT - Input VAT) to be remitted to Revenue Dept (PP.30).,l10n_th_account_213200,
213300,Tax Withheld - PND 1,liability,current_liability,credit,0,,,liability_current,1,Tax deducted from Employee Salaries. Remit monthly via form PND 1.,l10n_th_account_213300,
213301,Tax Withheld - PND 3,liability,current_liability,credit,0,,,liability_current,1,Tax deducted from Individual Suppliers. Remit monthly via form PND 3.,l10n_th_account_213301,
213302,Tax Withheld - PND 53,liability,current_liability,credit,0,,,liability_current,1,Tax deducted from Juristic (Company) Suppliers. Remit monthly via form PND 53.,l10n_th_account_213302,
213303,Tax Withheld - PND 54,liability,current_liability,credit,0,,,liability_current,1,Tax deducted from payments sent Overseas. Remit via form PND 54.,l10n_th_account_213303,
213400,VAT Payable,liability,payable,credit,0,payables,,liability_payable,1,VAT Payable: Tax collected from sales. To be remitted to Revenue Dept (PP.30).,l10n_th_account_213400,
213500,WHT Payable,liability,payable,credit,0,payables,,liability_payable,1,Net WHT liability moved here from PND specific accounts at month-end for lump-sum payment to Revenue Dept.,l10n_th_account_213500,
