code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1011,Subscribed capital - uncalled,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Capital / Share capital,equity,0,,l10n_tn_1011,
1012,"Subscribed capital - called, not paid",equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Capital / Share capital,equity,0,,l10n_tn_1012,
10131,Unamortized capital,equity,equity,credit,0,,"Class 1: Equity accounts and non-current liabilities / Capital / Share capital / Subscribed capital - called, paid",equity,0,,l10n_tn_10131,
10132,Amortised capital,equity,equity,credit,0,,"Class 1: Equity accounts and non-current liabilities / Capital / Share capital / Subscribed capital - called, paid",equity,0,,l10n_tn_10132,
1018,Subscribed capital subject to special regulations,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Capital / Share capital,equity,0,,l10n_tn_1018,
105,Endowment fund,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Capital,equity,0,,l10n_tn_105,
108,Operator's account,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Capital,equity,0,,l10n_tn_108,
109,"Shareholders, subscribed capital - uncalled",equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Capital,equity,0,,l10n_tn_109,
111,Legal reserve,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital,equity,0,,l10n_tn_111,
112,Statutory reserves,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital,equity,0,,l10n_tn_112,
1171,Share premium,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital / Additional paid-in capital,equity,0,,l10n_tn_1171,
1172,Merger premiums,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital / Additional paid-in capital,equity,0,,l10n_tn_1172,
1173,Contribution premium,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital / Additional paid-in capital,equity,0,,l10n_tn_1173,
1174,Bond conversion premiums,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital / Additional paid-in capital,equity,0,,l10n_tn_1174,
1178,Other additional paid-in capital,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital / Additional paid-in capital,equity,0,,l10n_tn_1178,
1181,Reserves for social fund,equity,equity,credit,0,,Class 1: Equity accounts and non-current liabilities / Reserves and premiums related to capital / Other reserves,equity,0,,l10n_tn_1181,
