code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101,Cheques Received,asset,current_asset,debit,0,,Current Assets / Liquid Assests,asset_current,0,,tr101,
102997,Non-collected Payments,asset,current_asset,debit,0,,Current Assets / Liquid Assests,asset_current,1,,tr102997,
102998,Unconfirmed Payments,asset,current_asset,debit,0,,Current Assets / Liquid Assests,asset_current,1,,tr102998,
102999,Bank Temporary Suspended Account,asset,current_asset,debit,0,,Current Assets / Liquid Assests,asset_current,0,,tr102999,
103,Cheques Given And Payment Orders (-),asset,current_asset,debit,0,,Current Assets / Liquid Assests,asset_current,1,,tr103,
108,Other Liquid Assets,asset,current_asset,debit,0,,Current Assets / Liquid Assests,asset_current,0,,tr108,
110,Common Stocks,asset,current_asset,debit,0,,Current Assets / Marketable Securities,asset_current,0,,tr110,
111,"Private Sector Bonds, Shares And Notes",asset,current_asset,debit,0,,Current Assets / Marketable Securities,asset_current,0,,tr111,
112,"Public Sector Bonds, Shares And Notes",asset,current_asset,debit,0,,Current Assets / Marketable Securities,asset_current,0,,tr112,
118,Other Marketable Securities,asset,current_asset,debit,0,,Current Assets / Marketable Securities,asset_current,0,,tr118,
119,Provision For Diminution In Value Of Marketable Securities (-),asset,current_asset,debit,0,,Current Assets / Marketable Securities,asset_current,0,,tr119,
120,Customers,asset,receivable,debit,0,receivables,Current Assets / Trade Receivables,asset_receivable,1,,tr120,
121,Notes Receivable,asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr121,
122,Discount Of Notes Receivable (-),asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr122,
123,Buyers (POS),asset,receivable,debit,0,receivables,Current Assets / Trade Receivables,asset_receivable,1,,tr123,
124,Unearned Lease Interest Income (-),asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr124,
126,Deposits And Guarantees Given,asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr126,
127,Other Trade Receivables,asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr127,
128,Doubtful Trade Receivables,asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr128,
129,Provision For Doubtful Trade Receivables (-),asset,current_asset,debit,0,,Current Assets / Trade Receivables,asset_current,0,,tr129,
131,Receivables From Shareholders,asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr131,
132,Receivables From Subsidaries,asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr132,
133,Receivables From Affiliated Companies,asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr133,
135,Receivables From Personnel,asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr135,
136,Other Receivable (-),asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr136,
137,Discount Of Other Notes Receivables,asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr137,
138,Other Doubtful Receivables,asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr138,
139,Provision For Other Doubtful Receivables (-),asset,current_asset,debit,0,,Current Assets / Other Receivables,asset_current,0,,tr139,
150,Raw Materials And Supplies,asset,current_asset,debit,0,expense,Current Assets / Stocks,asset_current,0,,tr150,default_for_expense
151,Work-In-Process – Production,asset,current_asset,debit,0,,Current Assets / Stocks,asset_current,0,,tr151,
152,Finished Goods,asset,current_asset,debit,0,,Current Assets / Stocks,asset_current,0,,tr152,
153,Commercial Goods,asset,current_asset,debit,0,,Current Assets / Stocks,asset_current,0,,tr153,
157,Other Stocks,asset,current_asset,debit,0,,Current Assets / Stocks,asset_current,0,,tr157,
158,Provision For Diminution In Value Of Stocks (-),asset,current_asset,debit,0,,Current Assets / Stocks,asset_current,0,,tr158,
159,Stock Advances Given,asset,current_asset,debit,0,,Current Assets / Stocks,asset_current,0,,tr159,
180,Prepaid Expenses For The Following Months,asset,current_asset,debit,0,,Current Assets / Prepaid Expenses And Income Accruals For The Following Months,asset_current,0,,tr180,
181,Income Accruals,asset,current_asset,debit,0,,Current Assets / Prepaid Expenses And Income Accruals For The Following Months,asset_current,0,,tr181,
190,Deferred Vat,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr190,
191,Deductible Vat,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr191,
192,Other Vat,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr192,
193,Prepaid Taxes And Funds,asset,receivable,debit,0,receivables,Current Assets / Other Current Assets,asset_receivable,1,,tr193,
195,Work Advances,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr195,
196,Advances Given To Personnel,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr196,
197,Stock Count And Delivery Shortages,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr197,
198,Other Current Assets,asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr198,
199,Provision For Other Current Assets (-),asset,current_asset,debit,0,,Current Assets / Other Current Assets,asset_current,0,,tr199,
220,Customers,asset,fixed_asset,debit,0,,Non-Current Assets / Trade Receivables,asset_fixed,0,,tr220,
221,Notes Receivables,asset,fixed_asset,debit,0,,Non-Current Assets / Trade Receivables,asset_fixed,0,,tr221,
222,Discount Of Notes Receivables (-),asset,fixed_asset,debit,0,,Non-Current Assets / Trade Receivables,asset_fixed,0,,tr222,
224,Interest Income On Non-earned Financial Leases (-),asset,fixed_asset,debit,0,,Non-Current Assets / Trade Receivables,asset_fixed,0,,tr224,
226,Deposits And Guarantees Given,asset,fixed_asset,debit,0,,Non-Current Assets / Trade Receivables,asset_fixed,0,,tr226,
229,Provision For Doubtful Receivables (-),asset,fixed_asset,debit,0,,Non-Current Assets / Trade Receivables,asset_fixed,0,,tr229,
231,Receivables From Shareholders,asset,fixed_asset,debit,0,,Non-Current Assets / Other Receivables,asset_fixed,0,,tr231,
232,Receivables From Subsidiaries,asset,fixed_asset,debit,0,,Non-Current Assets / Other Receivables,asset_fixed,0,,tr232,
233,Receivables From Affiliated Companies,asset,fixed_asset,debit,0,,Non-Current Assets / Other Receivables,asset_fixed,0,,tr233,
