code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1410,Property Income,income,other_income,credit,0,,,income_other,0,,1410,
1420,Sale of goods and services,income,income,credit,0,income,,income,0,,1420,default_for_income
14211,Rent & rates - produced assets,income,income,credit,0,,,income,0,,14211,
14212,Sale of produced assets,income,income,credit,0,,,income,0,,14212,
1440,Transfers,income,other_income,credit,0,,,income_other,0,,1440,
14511,Premiums receivable,income,other_income,credit,0,,,income_other,0,,14511,
14513,Current claims receivable,income,other_income,credit,0,,,income_other,0,,14513,
1452,Capital Claims receivable,income,other_income,credit,0,,,income_other,0,,1452,
191001,Clearing Account - Discount Taken,income,income,credit,0,,,income,0,,191001,
191002,Clearing Account - Unallocated Revenue,income,income,credit,0,,,income,0,,191002,
191003,Clearing Account - Income Offset Account,income,income,credit,0,,,income,0,,191003,
2111,Wages and Salaries - Cash,expense,expense,debit,0,,,expense,0,,2111,
2112,Wages and salaries - in kind,expense,expense,debit,0,,,expense,0,,2112,
2121,Employers' Social Contributions-Actual,expense,expense,debit,0,,,expense,0,,2121,
2122,Employer's Social Contributions-Imputed,expense,expense,debit,0,,,expense,0,,2122,
2210,General use of goods and services,expense,expense,debit,0,,,expense,0,,2210,
221018,Exchange losses/gains,expense,expense,debit,0,,,expense,0,,221018,
221019,Discounts Allowed,expense,expense,debit,0,,,expense,0,,221019,
2220,Communications,expense,expense,debit,0,,,expense,0,,2220,
2230,Utility and Property Expenses,expense,expense,debit,0,,,expense,0,,2230,
2240,Supplies and Services,expense,expense,debit,0,expense,,expense,0,,2240,default_for_expense
2251,Consultancy Services- Recurrent,expense,expense,debit,0,,,expense,0,,2251,
2252,Consultancy Services- Capital,expense,expense,debit,0,,,expense,0,,2252,
2260,Insurances and Licenses,expense,expense,debit,0,,,expense,0,,2260,
2270,Travel and Transport,expense,expense,debit,0,,,expense,0,,2270,
2280,Maintenance,expense,expense,debit,0,,,expense,0,,2280,
2291,Net change in inventories,expense,expense,debit,0,,,expense,0,,2291,
2292,Sale of goods purchased for resale,expense,expense,debit,0,,,expense,0,,2292,
2311,Depreciation of buildings and structures,expense,depreciation,debit,0,,,expense_depreciation,0,,2311,
2312,Depreciation of machinery and equipments,expense,depreciation,debit,0,,,expense_depreciation,0,,2312,
2314,Depreciation of other assets,expense,depreciation,debit,0,,,expense_depreciation,0,,2314,
2634,Other Transfers,expense,expense,debit,0,,,expense,0,,2634,
2711,Social security benefits in cash,expense,expense,debit,0,,,expense,0,,2711,
2712,Social security benefits in kind,expense,expense,debit,0,,,expense,0,,2712,
2721,Social assistance benefits in cash,expense,expense,debit,0,,,expense,0,,2721,
2722,Social assistance benefits in kind,expense,expense,debit,0,,,expense,0,,2722,
2731,Employment-related social benefits in cash,expense,expense,debit,0,,,expense,0,,2731,
2732,Employment-related social benefits in in kind,expense,expense,debit,0,,,expense,0,,2732,
2811,Dividends,expense,expense,debit,0,,,expense,0,,2811,
2812,Withdrawals from income of quasi - corporations,expense,expense,debit,0,,,expense,0,,2812,
2813,Property expense for investment income disbursements,expense,expense,debit,0,,,expense,0,,2813,
2814,Rent,expense,expense,debit,0,,,expense,0,,2814,
2815,Reinvested earnings on foreign direct investment,expense,expense,debit,0,,,expense,0,,2815,
2821,Current transfers not elsewhere classified,expense,expense,debit,0,,,expense,0,,2821,
