code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
001000,Technology,asset,fixed_asset,debit,0,,,asset_fixed,0,Technological products or services bought for your business,001000,
001100,Technology Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,001100,
002000,Patents & Trademarks,asset,fixed_asset,debit,0,,,asset_fixed,0,Registered patents and trademarks owned by the business,002000,
002100,Patents & Trademarks Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,002100,
003000,Installations,asset,fixed_asset,debit,0,,,asset_fixed,0,"Purchases of fixtures, fittings and installations related to buildings, like solar panels or heater",003000,
003100,Installations Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,003100,
004000,Land,asset,fixed_asset,debit,0,,,asset_fixed,0,Purchases of lands without buildings,004000,
004001,Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,Construction of buildings and costs associated to buildings,004001,
004100,Land Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,004100,
004101,Buildings Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,004101,
005000,Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,"Purchase of a car, including second hand or after-lease contract",005000,
005100,Vehicles Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,005100,
006000,Furniture & material,asset,fixed_asset,debit,0,,,asset_fixed,0,Large expenses related to workplaces,006000,
006100,Furniture & material Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,006100,
007000,Plant and machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,Machinery and tools directly related to your business,007000,
007100,Plant and machinery Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,007100,
008000,Other property,asset,fixed_asset,debit,0,,,asset_fixed,0,"Other type of property, like plants, machinery or various equipment",008000,
008100,Other property Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,008100,
009000,Vehicle accessories,asset,fixed_asset,debit,0,,,asset_fixed,0,All accessories purchases related to your professional vehicle,009000,
009100,Vehicle accessories Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,009100,
100100,Stock,asset,current_asset,debit,0,,,asset_current,1,,100100,
100200,Work in Progress,asset,current_asset,debit,0,,,asset_current,0,,100200,
100300,Finished Goods,asset,current_asset,debit,0,,,asset_current,0,,100300,
110000,Debtors Control Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,110000,
110100,Sundry Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,110100,
110200,Other Debtors,asset,current_asset,debit,0,,,asset_current,0,,110200,
110300,Prepayments,asset,current_asset,debit,0,,,asset_current,0,,110300,
