code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101000,Current Assets,asset,current_asset,debit,0,,,asset_current,0,,account_account_us_current_assets,
101300,Accounts Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_us_pos_receivable,
110100,Inventory Valuation,asset,current_asset,debit,0,,,asset_current,0,,account_account_us_inventory_valuation,
110400,Cost of Production,asset,current_asset,debit,0,,,asset_current,1,,account_account_us_cost_of_production,
110500,Work in Progress,asset,current_asset,debit,0,,,asset_current,1,,account_account_us_wip,
121000,Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_us_receivable,
121100,Products to receive,asset,current_asset,debit,0,,,asset_current,1,,account_account_us_to_receive_rec,
122000,Owner's Current Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_us_owner_current_account,
128000,Prepaid Expenses,asset,current_asset,debit,0,,,asset_current,0,,account_account_us_prepaid_expenses,
131000,Tax Paid,asset,current_asset,debit,0,,,asset_current,0,,account_account_us_tax_paid,
132000,Tax Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_account_us_tax_receivable,
141000,Prepayments,asset,prepayment,debit,0,,,asset_prepayments,0,,account_account_us_prepayments,
151000,Accumulated Depreciation,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_us_acc_depreciation,
152000,Technology,asset,fixed_asset,debit,0,,,asset_fixed,0,"Technological products like laptops, desktops, servers, etc.",account_account_us_technology,
152500,Land (not built),asset,fixed_asset,debit,0,,,asset_fixed,0,Purchases of land without buildings,account_account_us_land,
153000,Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,Construction of buildings and costs associated to buildings,account_account_us_buildings,
153500,Improvements,asset,fixed_asset,debit,0,,,asset_fixed,0,"Purchases of installations related to buildings, like solar panels or HVAC",account_account_us_improvements,
154000,Machines & Tools,asset,fixed_asset,debit,0,,,asset_fixed,0,"Equipment, machinery and tools directly related to your business",account_account_us_machines,
154500,Other property,asset,fixed_asset,debit,0,,,asset_fixed,0,"Other type of property, like plants, machinery or various equipment",account_account_us_other_property,
155000,Furniture & Fixtures,asset,fixed_asset,debit,0,,,asset_fixed,0,"Office desks, chairs, shelving, etc",account_account_us_furniture,
155500,Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,"Purchase of a car or truck, including second hand or after-lease contract",account_account_us_vehicles,
159000,Miscellaneous Fixed Assets,asset,fixed_asset,debit,0,,,asset_fixed,0,,account_account_us_misc_fixed_assets,
191000,Non-current assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,account_account_us_non_current_assets,
201000,Current Liabilities,liability,current_liability,credit,0,,,liability_current,0,,account_account_us_current_liabilities,
201100,Credit Card,liability,credit_card,credit,0,,,liability_credit_card,0,,account_account_us_credit_card,
211000,Accounts Payable,liability,payable,credit,0,payables,,liability_payable,1,,account_account_us_payable,
211100,Bills to receive,liability,current_liability,credit,0,,,liability_current,1,,account_account_us_to_receive_pay,
212000,Deferred Revenue,liability,current_liability,credit,0,,,liability_current,0,,account_account_us_deferred_revenue,
230000,Salary Payable,liability,current_liability,credit,0,,,liability_current,1,,account_account_us_salary_payable,
230100,Employee Payroll Taxes,liability,current_liability,credit,0,,,liability_current,1,,account_account_us_employee_payroll_taxes,
230200,Employer Payroll Taxes,liability,current_liability,credit,0,,,liability_current,1,,account_account_us_employer_payroll_taxes,
251000,Tax Received,liability,current_liability,credit,0,,,liability_current,0,,account_account_us_tax_received,
252000,Tax Payable,liability,payable,credit,0,payables,,liability_payable,1,,account_account_us_tax_payable,
291000,Non-current Liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,account_account_us_non_current_liabilities,
301000,Capital,equity,equity,credit,0,,,equity,0,,account_account_us_capital,
302000,Dividends,equity,equity,credit,0,,,equity,0,,account_account_us_dividends,
303000,Common Stock,equity,equity,credit,0,,,equity,0,,account_account_us_common_stock,
304000,Distributions,equity,equity,credit,0,,,equity,0,,account_account_us_distributions,
400000,Product Sales,income,income,credit,0,income,Revenue,income,0,,account_account_us_income,default_for_income
441000,Foreign Exchange Gain,income,income,credit,0,,Revenue,income,0,,account_account_us_income_currency_exchange,
442000,Cash Difference Gain,income,income,credit,0,,Revenue,income,0,,account_account_us_cash_diff_income,
443000,Cash Discount Gain,income,income,credit,0,,Revenue,income,0,,account_account_us_cash_discount_gain,
450000,Other Income,income,other_income,credit,0,,Revenue,income_other,0,,account_account_us_other_income,
500000,Cost of Goods Sold,expense,direct_cost,debit,0,,Cost of Goods Sold,expense_direct_cost,0,,account_account_us_cost_of_goods_sold,
601000,Raw Materials,expense,expense,debit,0,,Operating Expenses,expense,0,All goods purchased as raw materials used by your activity,account_account_us_raw_materials,
611000,Salaries & Wages,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,Compensation paid to employees and workers employed by the company,account_account_us_salaries,
612000,Employees Commissions,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,Employees commissions and bonuses,account_account_us_commissions,
613000,Pension,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,Retirement plans costs (401K match),account_account_us_pension,
614000,Healthcare Benefits,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,"Employees medical, dental, and vision benefits",account_account_us_healthcare,
615000,Workers Compensation Insurance,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,Insurance premiums that cover medical costs and wage replacement for employees injured on the job,account_account_us_compensation_insurance,
616000,Payroll Tax,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,"Employer's portion of payroll-related taxes (eg. Social Security, Medicare, FUTA/SUTA)",account_account_us_payroll_tax,
617000,Other Employees Benefits,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,"Company's personnel costs excluding compensations, contributions and vouchers",account_account_us_other_employees_benefits,
618000,Social Security,expense,expense,debit,0,,Operating Expenses / Payroll Expenses,expense,0,All fees related to social security contributions,account_account_us_social_security,
621000,Accounting,expense,expense,debit,0,,Operating Expenses / Professional Fees,expense,0,Bills from your bookkeeper or accounting firm,account_account_us_accounting,
622000,Legal,expense,expense,debit,0,,Operating Expenses / Professional Fees,expense,0,"Bills from lawyers, fees paid to the justice system",account_account_us_legal,
623000,General Subcontracting,expense,expense,debit,0,,Operating Expenses / Professional Fees,expense,0,Compensation to external workers and consultants for services,account_account_us_general_subcontracting,
