code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
11300,Sale Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,uy_code_11300,
11303,Notes Receivable MN,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11303,
11304,Notes Receivable ME,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11304,
11305,Checks in portfolio MN,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11305,
11306,Checks in ME Portfolio,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11306,
11307,Sundry Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,uy_code_11307,
11311,Allowance for Uncollectible Accounts Receivable,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11311,
11312,Provisions for expenses and bonuses,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11312,
11313,Interest received in advance,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11313,
11401,Advances to Suppliers,liability,current_liability,credit,0,,,liability_current,0,,uy_code_11401,
11404,Security Deposits,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11404,
11405,Advance payments,liability,current_liability,credit,0,,,liability_current,0,,uy_code_11405,
11406,Debit balances of Directors' accounts receivable,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11406,
11407,Deferred Expense,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11407,
11501,VAT Minimum Purchases,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11501,
11502,VAT Basic Purchases,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11502,
11503,VAT Exempt Purchases,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11503,
11504,VAT Reduced Purchases,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11504,
11505,VAT to be credited on purchases,asset,receivable,debit,0,receivables,,asset_receivable,1,,uy_code_11505,
11506,VAT Withholdings,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11506,
11507,Import VAT,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11507,
11508,Advance Import Tax,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11508,
11601,Tax on Income from Economic Activities - Advance,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11601,
11602,Equity Advances,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11602,
11603,Icosa Advance,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11603,
11621,Various,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11621,
11701,Resale Merchandise,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11701,
11702,Finished Products,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11702,
11703,Products in Process,asset,current_asset,debit,0,,,asset_current,0,,uy_code_11703,
