code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1115001,COMMERCIAL PAPERS,equity,equity,credit,0,,,equity,1,,account_activa_account_1115001,
1115002,TEMPORARY INVESTMENTS,equity,equity,credit,0,,,equity,1,,account_activa_account_1115002,
1115003,BOND INVESTMENTS M.N.,equity,equity,credit,0,,,equity,1,,account_activa_account_1115003,
1115004,BOND INVESTMENTS M.E.,equity,equity,credit,0,,,equity,1,,account_activa_account_1115004,
1121001,DOMESTIC RECEIVABLES,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1121001,
1122001,ACCOUNTS RECEIVABLE CUSTOMERS,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1122001,
1122002,CUSTOMER PREPAYMENTS,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1122002,
1122003,ACCOUNTS RECEIVABLE (POS),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1122003,
1122004,WHOLESALE ACCOUNTS RECEIVABLE,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1122004,
1122005,ACCOUNTS RECEIVABLE RETAILER,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1122005,
1124001,NATIONAL PROVISION FOR UNCOLLECTIBLE ACCOUNTS,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1124001,
1124002,PROVINCE UNCOLLECTIBLE FOREIGN,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1124002,
1125001,ACCOUNTS RECEIVABLE CUSTOMERS,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1125001,
1125002,PERSONAL LOANS,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1125002,
1125003,ACCOUNTS RECEIVABLE PARTNERS,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1125003,
1125004,SALESMEN TRAVEL EXPENSES,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1125004,
1125006,HOLIDAYS,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1125006,
1125007,UTILITIES,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1125007,
1125008,VEHICLE INSURANCE,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1125008,
1127001,"AMD COMPUTER ACCESSORIES,C.A.",asset,fixed_asset,debit,0,,,asset_fixed,1,,account_activa_account_1127001,
1127002,"MARKETING COMPANY M321,C.A.",asset,fixed_asset,debit,0,,,asset_fixed,1,,account_activa_account_1127002,
1127003,"AMD COMPUTER SHOP, C.A.",asset,fixed_asset,debit,0,,,asset_fixed,1,,account_activa_account_1127003,
1127004,"MARKETING COMPANY JGV 3000, C.A.",asset,fixed_asset,debit,0,,,asset_fixed,1,,account_activa_account_1127004,
1127005,"MARKETING COMPANY LVG ELECTRONIC, C.A.",asset,fixed_asset,debit,0,,,asset_fixed,1,,account_activa_account_1127005,
1128001,ACCOUNTS PAYABLE PARTNERS,liability,payable,credit,0,payables,,liability_payable,1,,account_activa_account_1128001,
1129001,ADVANCE TO SUPPLIERS,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1129001,
1129002,GOVERNMENTAL BODIES,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1129002,
1129004,VARIOUS DEPOSITS,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1129004,
1129005,INSURANCE CLAIM,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1129005,
1129009,OTHER ACCOUNTS RECEIVABLE OTHER ACCOUNTS RECEIVABLE,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_activa_account_1129009,
1131001,ENDING INVENTORY,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1131001,
1131002,INVENTORIES OF DOMESTIC MERCHANDISE,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1131002,
1131003,MERCHANDISE INVENTORY VALUE UPDATE,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1131003,
1131009,MERCHANDISE INVENTORY VALUE UPDATE,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1131009,
1134001,GOODS IN TRANSIT,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1134001,
1141001,ADVERTISING,asset,current_asset,debit,0,,,asset_current,1,,account_activa_account_1141001,
