code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
111,Cash,asset,cash_bank,debit,0,cash_bank,Cash,asset_cash,0,,chart1111,
112,Demand Deposit,asset,cash_bank,debit,0,cash_bank,Demand Deposit,asset_cash,0,,chart112,
1121,Bank Suspense Account,asset,current_asset,debit,0,,Demand Deposit,asset_current,0,,chart1121,
113,Money in transit,asset,cash_bank,debit,0,cash_bank,Money in transit,asset_cash,0,,chart1131,
1131,Outstanding Receipts,asset,current_asset,debit,0,,Money in transit,asset_current,1,,account_journal_payment_debit_account_id,
1132,Outstanding Payments,asset,current_asset,debit,0,,Money in transit,asset_current,1,,account_journal_payment_credit_account_id,
121,Trading Securities,asset,current_asset,debit,0,,Trading Securities,asset_current,0,,chart121,
12811,Time deposits - less than 3 months,asset,current_asset,debit,0,,Investment held to maturity / Time Deposits,asset_current,0,,chart12811,
12812,Time deposits - 3-12 months,asset,current_asset,debit,0,,Investment held to maturity / Time Deposits,asset_current,0,,chart12812,
12813,Time deposits - long term,asset,current_asset,debit,0,,Investment held to maturity / Time Deposits,asset_current,0,,chart12813,
12822,Bonds - 3-12 months,asset,current_asset,debit,0,,Investment held to maturity / Bonds,asset_current,0,,chart12822,
12823,Bonds - long term,asset,current_asset,debit,0,,Investment held to maturity / Bonds,asset_current,0,,chart12823,
12831,Loans - short term,asset,current_asset,debit,0,,Investment held to maturity / Loan,asset_current,0,,chart12831,
12832,Loans - long term,asset,current_asset,debit,0,,Investment held to maturity / Loan,asset_current,0,,chart12832,
12881,Other investments held to maturity - less than 3 months,asset,current_asset,debit,0,,Investment held to maturity / Securities and other financial instruments,asset_current,0,,chart12881,
12882,Other investments held to maturity - 3-12 months,asset,current_asset,debit,0,,Investment held to maturity / Securities and other financial instruments,asset_current,0,,chart12882,
12883,Other investments held to maturity - long term,asset,current_asset,debit,0,,Investment held to maturity / Securities and other financial instruments,asset_current,0,,chart12883,
1311,Trade receivables - short term,asset,receivable,debit,0,receivables,Trade receivables,asset_receivable,1,,chart1311,
1312,Trade receivables - long term,asset,receivable,debit,0,receivables,Trade receivables,asset_receivable,1,,chart1312,
1331,Deductible VAT of goods and services,asset,current_asset,debit,0,,Deductible VAT,asset_current,0,,chart1331,
1332,Deductible VAT of fixed assets,asset,current_asset,debit,0,,Deductible VAT,asset_current,0,,chart1332,
1361,Working capital provided to sub-units,asset,receivable,debit,0,receivables,Internal Receivables / Working capital provided to sub-units,asset_receivable,1,,chart1361,
13621,Internal receivables on foreign exchange difference - short term,asset,receivable,debit,0,receivables,Internal Receivables / Internal receivables on foreign exchange difference,asset_receivable,1,,chart13621,
13622,Internal receivables on foreign exchange difference - long term,asset,receivable,debit,0,receivables,Internal Receivables / Internal receivables on foreign exchange difference,asset_receivable,1,,chart13622,
13631,Internal receivables on borrowing costs eligible for capitalization - short term,asset,receivable,debit,0,receivables,Internal Receivables / Internal receivables on borrowing costs eligible for capitalization,asset_receivable,1,,chart13631,
13632,Internal receivables on borrowing costs eligible for capitalization - long term,asset,receivable,debit,0,receivables,Internal Receivables / Internal receivables on borrowing costs eligible for capitalization,asset_receivable,1,,chart13632,
13681,Other internal receivables - short term,asset,receivable,debit,0,receivables,Internal Receivables / Other internal receivables,asset_receivable,1,,chart13681,
13682,Other internal receivables - long term,asset,receivable,debit,0,receivables,Internal Receivables / Other internal receivables,asset_receivable,1,,chart13682,
13811,Shortage of assets awaiting resolution - short term,asset,receivable,debit,0,receivables,Other receivables / Shortage of assets awaiting resolution,asset_receivable,1,,chart13811,
13812,Shortage of assets awaiting resolution - long term,asset,receivable,debit,0,receivables,Other receivables / Shortage of assets awaiting resolution,asset_receivable,1,,chart13812,
13831,Special consumption tax of imported goods - short term,asset,receivable,debit,0,receivables,Other receivables / Special consumption tax of imported goods,asset_receivable,1,,chart13831,
13832,Special consumption tax of imported goods - long term,asset,receivable,debit,0,receivables,Other receivables / Special consumption tax of imported goods,asset_receivable,1,,chart13832,
13881,Other receivables - short term,asset,receivable,debit,0,receivables,Other receivables / Other receivables,asset_receivable,1,,chart13881,
13882,Other receivables - long term,asset,receivable,debit,0,receivables,Other receivables / Other receivables,asset_receivable,1,,chart13882,
1411,Advances - short term,asset,receivable,debit,0,receivables,Advances,asset_receivable,1,,chart1411,
1412,Advances - long term,asset,receivable,debit,0,receivables,Advances,asset_receivable,1,,chart1412,
151,Goods in transit,asset,current_asset,debit,0,,Goods in transit,asset_current,0,,chart151,
152,Raw materials,asset,current_asset,debit,0,,Raw materials,asset_current,0,,chart152,
1531,Tools & supplies - Short term,asset,current_asset,debit,0,,Tools & supplies,asset_current,0,,chart1531,
1532,Tools & supplies - Long term,asset,current_asset,debit,0,,Tools & supplies,asset_current,0,,chart1532,
1541,Work in Progress - Short term,asset,current_asset,debit,0,,Work in Progress,asset_current,0,,chart1541,
1542,Work in Progress - Long term,asset,current_asset,debit,0,,Work in Progress,asset_current,0,,chart1542,
155,Finished Goods,asset,current_asset,debit,0,,Finished Goods,asset_current,0,,chart1551,
156,Goods,asset,current_asset,debit,0,,Goods,asset_current,0,,chart1561,
157,Outward goods on consignment,asset,current_asset,debit,0,,Outward goods on consignment,asset_current,0,,chart157,
158,Goods in bonded warehouse,asset,current_asset,debit,0,,Goods in bonded warehouse,asset_current,0,,chart158,
171,Government bonds purchase-resale,asset,current_asset,debit,0,,Government bonds purchase-resale,asset_current,0,,chart171,
211,Tangible fixed assets,asset,fixed_asset,debit,0,,Tangile fixed assets,asset_fixed,0,,chart2111,
212,Financial leased tangible fixed assets,asset,fixed_asset,debit,0,,Financial leased tangible fixed assets,asset_fixed,0,,chart2121,
213,Intangible fixed assets,asset,fixed_asset,debit,0,,Intangible fixed assets,asset_fixed,0,,chart2131,
2141,Depreciation of tangible fixed assets,asset,non_current_asset,debit,0,,Depreciation of fixed assets,asset_non_current,0,,chart2141,
2142,Depreciation of financial leased assets,asset,non_current_asset,debit,0,,Depreciation of fixed assets,asset_non_current,0,,chart2142,
2143,Depreciation of intangible fixed assets,asset,non_current_asset,debit,0,,Depreciation of fixed assets,asset_non_current,0,,chart2143,
