code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100020,Stock Valuation,asset,current_asset,debit,0,,,asset_current,1,,100020,
100030,Stock Work In Progress,asset,current_asset,debit,0,,,asset_current,0,,100030,
100040,Stock Finished Goods,asset,current_asset,debit,0,,,asset_current,0,,100040,
100050,Stock Delivered Control,asset,current_asset,debit,0,,,asset_current,1,,100050,
100060,Purchase Tax Control,asset,current_asset,debit,0,,,asset_current,0,,100060,
100070,Other Current Assets,asset,current_asset,debit,0,,,asset_current,0,,100070,
100800,Cash Control Account,asset,current_asset,debit,0,,,asset_current,1,,100800,
110010,Debtors Control,asset,receivable,debit,0,receivables,,asset_receivable,1,,110010,
110020,Sundry Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,110020,
110030,Debtors Control Account (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,110030,
124010,Credit Card Merchant,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,124010,
126010,Cash In Hand,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,126010,
130010,Prepayments,asset,prepayment,debit,0,,,asset_prepayments,0,,130010,
140010,Software,asset,fixed_asset,debit,0,,,asset_fixed,0,,140010,
140020,Patents & Trademarks,asset,fixed_asset,debit,0,,,asset_fixed,0,,140020,
140030,Fixtures & Fittings,asset,fixed_asset,debit,0,,,asset_fixed,0,,140030,
140040,Land & Buildings,asset,fixed_asset,debit,0,,,asset_fixed,0,,140040,
140050,Motor Vehicles,asset,fixed_asset,debit,0,,,asset_fixed,0,,140050,
140060,Office Equipment (incl computer equipment),asset,fixed_asset,debit,0,,,asset_fixed,0,,140060,
140070,Plant & Machinery,asset,fixed_asset,debit,0,,,asset_fixed,0,,140070,
150010,Non-current assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,150010,
200010,Stock Received Control,liability,current_liability,credit,0,,,liability_current,1,,200010,
200020,Sundry Creditors,liability,current_liability,credit,0,,,liability_current,0,,200020,
200030,Other Creditors,liability,current_liability,credit,0,,,liability_current,0,,200030,
200040,Accruals,liability,current_liability,credit,0,,,liability_current,0,,200040,
200050,Bad debt provision,liability,current_liability,credit,0,,,liability_current,0,,200050,
200060,Sales Tax Control,liability,current_liability,credit,0,,,liability_current,0,,200060,
200070,Manual Adjustments & VAT,liability,current_liability,credit,0,,,liability_current,0,,200070,
