code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Sales,income,income,credit,0,income,Sales income,income,0,,zm_account_1000000,default_for_income
2,Cost of Sales / Purchases,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2000000,
21,Inventory Adjustment,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2100000,
215,Inventory Count Variance,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2150000,
22,Purchase Variance,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2200000,
240000,Recovery Account,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2400000,
240001,Labour Cost Manufacturing Variance,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2400010,
240002,Direct Cost Manufacturing Variance,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2400020,
240003,Other Cost Manufacturing Variance,expense,direct_cost,debit,0,,Sales extra incomes and fees,expense_direct_cost,0,,zm_account_2400030,
27,Discount Received for Cash,income,other_income,credit,0,,Sales extra incomes and fees / Discount and Interests,income_other,0,,zm_account_2700000,
275,Interest Received,income,other_income,credit,0,,Sales extra incomes and fees / Discount and Interests,income_other,0,,zm_account_2750000,
28,Profit on Sale of Non Current Assets,income,other_income,credit,0,,Sales extra incomes and fees / Non Current Assets Income,income_other,0,,zm_account_2800000,
285,Bad Debts Recovered,income,other_income,credit,0,,Sales extra incomes and fees / Non Current Assets Income,income_other,0,,zm_account_2850000,
29,Foreign Exchange Gain,income,other_income,credit,0,,Sales extra incomes and fees / Sundry Income,income_other,0,,zm_account_2900000,
305,Advertising & Promotions,expense,expense,debit,0,,"Accounting Fees / Accounting, Advertising and Promotion Costs",expense,0,,zm_account_3050000,
315,Bad Debts,expense,expense,debit,0,,Accounting Fees / Bad Debts,expense,0,,zm_account_3150000,
32,Bank Charges,expense,expense,debit,0,,Accounting Fees / Bank Charges and Cleaning,expense,0,,zm_account_3200000,
325,Cleaning,expense,expense,debit,0,,Accounting Fees / Bank Charges and Cleaning,expense,0,,zm_account_3250000,
